TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Alloprevotella	Keratinized_gingiva	#17cbe4	12	10.0	0.0	#ff4a26	#8000ff
Anaeroglobus	Subgingival_plaque	#ffac5c	12	10.0	0.0	#ff4a26	#8000ff
Bacteroides	Stool	#e8cb72	12	10.0	0.0	#ff4a26	#8000ff
Brochothrix	Saliva	#cbe486	2	3.0	4.0	#0ac0e8	#7effb5
Bulleidia	Throat	#ff5c2f	12	10.0	0.0	#ff4a26	#8000ff
Campylobacter	Attached	#622ffe	12	0.0	2.0	#8000ff	#01b3ec
Capnocytophaga	Supragingival_plaque	#ff8646	12	8.0	3.0	#f2c26b	#3febd5
Carnobacterium	Hard_palate	#08acee	12	0.0	3.0	#8000ff	#3febd5
Centipeda	Subgingival_plaque	#ffac5c	12	0.0	3.0	#8000ff	#3febd5
Corynebacterium	Supragingival_plaque	#ff8646	12	10.0	0.0	#ff4a26	#8000ff
Dialister	Stool	#e8cb72	12	9.0	2.0	#ff8c49	#01b3ec
Eggerthia	Subgingival_plaque	#ffac5c	4	7.0	5.0	#c4e88a	#beec8e
Escherichia	Stool	#e8cb72	2	3.0	4.0	#0ac0e8	#7effb5
Eubacterium	Palatine_Tonsils	#70febc	12	8.0	3.0	#f2c26b	#3febd5
Filifactor	Palatine_Tonsils	#70febc	12	0.0	2.0	#8000ff	#01b3ec
Fusobacterium	Throat	#ff5c2f	12	9.0	2.0	#ff8c49	#01b3ec
Gallibacterium	Keratinized_gingiva	#17cbe4	4	11.0	7.0	#ff0000	#ff6232
Gardnerella	Vaginal_introitus	#ff0000	2	3.0	4.0	#0ac0e8	#7effb5
Gemella	Buccal_mucosa	#445cfb	12	10.0	0.0	#ff4a26	#8000ff
Granulicatella	Keratinized_gingiva	#17cbe4	12	8.0	3.0	#f2c26b	#3febd5
Haemophilus	Buccal_mucosa_NA	#2686f5	12	10.0	0.0	#ff4a26	#8000ff
Hallella	Subgingival_plaque	#ffac5c	2	4.0	1.0	#38e7d7	#425ffa
Isoptericola	Tongue_dorsum	#ff2f18	12	0.0	3.0	#8000ff	#3febd5
Johnsonella	Subgingival_plaque	#ffac5c	8	5.0	1.0	#66fcc2	#425ffa
Kingella	Supragingival_plaque	#ff8646	12	8.0	3.0	#f2c26b	#3febd5
Lachnoanaerobaculum	Tongue_dorsum	#ff2f18	12	0.0	3.0	#8000ff	#3febd5
Leptotrichia	Tongue_dorsum	#ff2f18	12	8.0	3.0	#f2c26b	#3febd5
Leuconostoc	L_Retroauricular_crease	#34e4d9	2	3.0	4.0	#0ac0e8	#7effb5
Mannheimia	Buccal_mucosa_NA	#2686f5	5	2.0	8.0	#2489f5	#ff0000
Megasphaera	Saliva	#cbe486	12	3.0	4.0	#0ac0e8	#7effb5
Mitsuokella	Subgingival_plaque	#ffac5c	2	3.0	4.0	#0ac0e8	#7effb5
Mobiluncus	Stool	#e8cb72	2	3.0	4.0	#0ac0e8	#7effb5
Mogibacterium	Palatine_Tonsils	#70febc	10	6.0	8.0	#96fca7	#ff0000
Morococcus	Palatine_Tonsils	#70febc	8	5.0	1.0	#66fcc2	#425ffa
Mycoplasma	Subgingival_plaque	#ffac5c	12	8.0	3.0	#f2c26b	#3febd5
Neisseria	Keratinized_gingiva	#17cbe4	12	4.0	1.0	#38e7d7	#425ffa
Oribacterium	Throat	#ff5c2f	12	0.0	3.0	#8000ff	#3febd5
Oscillibacter	Stool	#e8cb72	2	4.0	1.0	#38e7d7	#425ffa
Parabacteroides	Stool	#e8cb72	4	6.0	8.0	#96fca7	#ff0000
Paraprevotella	Stool	#e8cb72	11	10.0	0.0	#ff4a26	#8000ff
Parvimonas	Subgingival_plaque	#ffac5c	12	8.0	3.0	#f2c26b	#3febd5
