TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Bacteroides	Stool	#e8cb72	17	3.0	0.0	#7effb5	#8000ff
Bulleidia	Throat	#ff5c2f	14	6.0	4.0	#ff0000	#d4dd80
Capnocytophaga	Supragingival_plaque	#ff8646	19	4.0	0.0	#d4dd80	#8000ff
Catonella	Subgingival_plaque	#ffac5c	19	3.0	3.0	#7effb5	#7effb5
Centipeda	Subgingival_plaque	#ffac5c	17	3.0	3.0	#7effb5	#7effb5
Corynebacterium	Supragingival_plaque	#ff8646	19	4.0	0.0	#d4dd80	#8000ff
Cryptobacterium	Saliva	#cbe486	4	3.0	3.0	#7effb5	#7effb5
Dialister	Stool	#e8cb72	19	1.0	5.0	#2c7ef7	#ff8143
Eggerthia	Subgingival_plaque	#ffac5c	5	1.0	5.0	#2c7ef7	#ff8143
Eikenella	Subgingival_plaque	#ffac5c	19	0.0	2.0	#8000ff	#2adddd
Eubacterium	Palatine_Tonsils	#70febc	19	1.0	4.0	#2c7ef7	#d4dd80
Filifactor	Palatine_Tonsils	#70febc	10	1.0	5.0	#2c7ef7	#ff8143
Gallibacterium	Keratinized_gingiva	#17cbe4	2	3.0	3.0	#7effb5	#7effb5
Gemella	Buccal_mucosa	#445cfb	19	4.0	4.0	#d4dd80	#d4dd80
Gordonia	L_Retroauricular_crease	#34e4d9	4	0.0	2.0	#8000ff	#2adddd
Granulicatella	Keratinized_gingiva	#17cbe4	16	4.0	4.0	#d4dd80	#d4dd80
Haemophilus	Buccal_mucosa_NA	#2686f5	19	0.0	2.0	#8000ff	#2adddd
Johnsonella	Subgingival_plaque	#ffac5c	10	0.0	2.0	#8000ff	#2adddd
Kineosphaera	Subgingival_plaque	#ffac5c	5	0.0	2.0	#8000ff	#2adddd
Kingella	Supragingival_plaque	#ff8646	19	4.0	0.0	#d4dd80	#8000ff
Kytococcus	Throat	#ff5c2f	7	3.0	3.0	#7effb5	#7effb5
Lachnoanaerobaculum	Tongue_dorsum	#ff2f18	19	4.0	0.0	#d4dd80	#8000ff
Lautropia	Supragingival_plaque	#ff8646	19	4.0	0.0	#d4dd80	#8000ff
Leptotrichia	Tongue_dorsum	#ff2f18	19	4.0	0.0	#d4dd80	#8000ff
Megasphaera	Saliva	#cbe486	8	6.0	4.0	#ff0000	#d4dd80
Mogibacterium	Palatine_Tonsils	#70febc	6	1.0	5.0	#2c7ef7	#ff8143
Morococcus	Palatine_Tonsils	#70febc	4	0.0	2.0	#8000ff	#2adddd
Mycoplasma	Subgingival_plaque	#ffac5c	15	1.0	5.0	#2c7ef7	#ff8143
Neisseria	Keratinized_gingiva	#17cbe4	19	0.0	2.0	#8000ff	#2adddd
Olsenella	Palatine_Tonsils	#70febc	13	3.0	3.0	#7effb5	#7effb5
Oribacterium	Throat	#ff5c2f	19	3.0	3.0	#7effb5	#7effb5
Oscillibacter	Stool	#e8cb72	3	3.0	3.0	#7effb5	#7effb5
Parabacteroides	Stool	#e8cb72	3	3.0	3.0	#7effb5	#7effb5
Paraprevotella	Stool	#e8cb72	19	4.0	0.0	#d4dd80	#8000ff
Parasutterella	Stool	#e8cb72	3	3.0	3.0	#7effb5	#7effb5
Parvimonas	Subgingival_plaque	#ffac5c	16	1.0	5.0	#2c7ef7	#ff8143
Pasteurella	Buccal_mucosa	#445cfb	8	3.0	3.0	#7effb5	#7effb5
Peptoclostridium	L_Retroauricular_crease	#34e4d9	19	0.0	2.0	#8000ff	#2adddd
Peptoniphilus	Anterior_nares	#8000ff	2	6.0	4.0	#ff0000	#d4dd80
Peptostreptococcus	Throat	#ff5c2f	11	1.0	5.0	#2c7ef7	#ff8143
Phocaeicola	Subgingival_plaque	#ffac5c	4	6.0	4.0	#ff0000	#d4dd80
Porphyrobacter	Saliva	#cbe486	13	4.0	0.0	#d4dd80	#8000ff
Porphyromonas	Saliva	#cbe486	19	4.0	5.0	#d4dd80	#ff8143
Prevotella	Palatine_Tonsils	#70febc	19	3.0	3.0	#7effb5	#7effb5
Propionibacterium	R_Retroauricular_crease	#acf59a	19	0.0	2.0	#8000ff	#2adddd
Pseudomonas	Vaginal_introitus	#ff0000	4	2.0	1.0	#2adddd	#2c7ef7
Pseudoramibacter	Subgingival_plaque	#ffac5c	4	6.0	4.0	#ff0000	#d4dd80
Riemerella	Buccal_mucosa	#445cfb	2	0.0	2.0	#8000ff	#2adddd
Roseburia	Stool	#e8cb72	3	3.0	3.0	#7effb5	#7effb5
Rothia	Hard_palate	#08acee	19	1.0	1.0	#2c7ef7	#2c7ef7
Ruminococcus	Stool	#e8cb72	4	3.0	3.0	#7effb5	#7effb5
Scardovia	Buccal_mucosa	#445cfb	2	6.0	4.0	#ff0000	#d4dd80
Shuttleworthia	Saliva	#cbe486	9	0.0	2.0	#8000ff	#2adddd
Simonsiella	Keratinized_gingiva	#17cbe4	2	2.0	1.0	#2adddd	#2c7ef7
Slackia	Palatine_Tonsils	#70febc	4	6.0	4.0	#ff0000	#d4dd80
Solobacterium	Palatine_Tonsils	#70febc	13	1.0	5.0	#2c7ef7	#ff8143
Stomatobaculum	Tongue_dorsum	#ff2f18	15	4.0	0.0	#d4dd80	#8000ff
Streptococcus	Buccal_mucosa_NA	#2686f5	19	4.0	0.0	#d4dd80	#8000ff
Tannerella	Subgingival_plaque	#ffac5c	19	5.0	6.0	#ff8143	#ff0000
Treponema	Subgingival_plaque	#ffac5c	19	3.0	3.0	#7effb5	#7effb5
Veillonella	Attached	#622ffe	19	4.0	4.0	#d4dd80	#d4dd80
Actinomyces	Tongue_dorsum	#ff2f18	19	4.0	0.0	#d4dd80	#8000ff
Anaerococcus	L_Retroauricular_crease	#34e4d9	2	6.0	4.0	#ff0000	#d4dd80
Abiotrophia	Buccal_mucosa	#445cfb	19	4.0	0.0	#d4dd80	#8000ff
Aggregatibacter	Saliva	#cbe486	19	4.0	1.0	#d4dd80	#2c7ef7
Alistipes	Stool	#e8cb72	5	3.0	3.0	#7effb5	#7effb5
Anaeroglobus	Subgingival_plaque	#ffac5c	10	3.0	3.0	#7effb5	#7effb5
Atopobium	Posterior_fornix	#8efeac	18	1.0	5.0	#2c7ef7	#ff8143
Cardiobacterium	Subgingival_plaque	#ffac5c	19	0.0	2.0	#8000ff	#2adddd
Campylobacter	Attached	#622ffe	19	3.0	4.0	#7effb5	#d4dd80
Actinobacillus	Attached	#622ffe	2	0.0	2.0	#8000ff	#2adddd
Chryseobacterium	R_Retroauricular_crease	#acf59a	2	0.0	2.0	#8000ff	#2adddd
Escherichia	Stool	#e8cb72	2	0.0	2.0	#8000ff	#2adddd
Fusobacterium	Throat	#ff5c2f	19	6.0	4.0	#ff0000	#d4dd80
Ottowia	Supragingival_plaque	#ff8646	11	4.0	0.0	#d4dd80	#8000ff
Acidovorax	L_Retroauricular_crease	#34e4d9	2	2.0	1.0	#2adddd	#2c7ef7
Afipia	Anterior_nares	#8000ff	2	2.0	1.0	#2adddd	#2c7ef7
Lactobacillus	Mid_vagina	#52f5cb	2	2.0	1.0	#2adddd	#2c7ef7
Selenomonas	Supragingival_plaque	#ff8646	19	1.0	5.0	#2c7ef7	#ff8143
Carnobacterium	Hard_palate	#08acee	4	5.0	6.0	#ff8143	#ff0000
Hallella	Subgingival_plaque	#ffac5c	4	5.0	6.0	#ff8143	#ff0000
