TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinobaculum	Subgingival_plaque	#ffac5c	241	6.0	0.0	#ff0000	#8000ff
Actinomyces	Tongue_dorsum	#ff2f18	271	6.0	0.0	#ff0000	#8000ff
Aggregatibacter	Saliva	#cbe486	264	6.0	0.0	#ff0000	#8000ff
Alloprevotella	Keratinized_gingiva	#17cbe4	226	6.0	3.0	#ff0000	#7effb5
Anaeroglobus	Subgingival_plaque	#ffac5c	35	6.0	3.0	#ff0000	#7effb5
Arcanobacterium	L_Retroauricular_crease	#34e4d9	23	6.0	0.0	#ff0000	#8000ff
Atopobium	Posterior_fornix	#8efeac	150	6.0	3.0	#ff0000	#7effb5
Bacteroides	Stool	#e8cb72	127	6.0	1.0	#ff0000	#2c7ef7
Barnesiella	Stool	#e8cb72	14	6.0	1.0	#ff0000	#2c7ef7
Bergeyella	R_Retroauricular_crease	#acf59a	46	0.0	1.0	#8000ff	#2c7ef7
Blautia	Stool	#e8cb72	5	6.0	3.0	#ff0000	#7effb5
Burkholderia	Posterior_fornix	#8efeac	10	2.0	1.0	#2adddd	#2c7ef7
Butyricimonas	Stool	#e8cb72	1	6.0	1.0	#ff0000	#2c7ef7
Butyrivibrio	Stool	#e8cb72	1	6.0	1.0	#ff0000	#2c7ef7
Campylobacter	Attached	#622ffe	271	6.0	0.0	#ff0000	#8000ff
Capnocytophaga	Supragingival_plaque	#ff8646	271	6.0	0.0	#ff0000	#8000ff
Cardiobacterium	Subgingival_plaque	#ffac5c	268	6.0	0.0	#ff0000	#8000ff
Carnobacterium	Hard_palate	#08acee	129	6.0	3.0	#ff0000	#7effb5
Catonella	Subgingival_plaque	#ffac5c	212	6.0	3.0	#ff0000	#7effb5
Cellulomonas	Stool	#e8cb72	22	6.0	3.0	#ff0000	#7effb5
Centipeda	Subgingival_plaque	#ffac5c	172	6.0	3.0	#ff0000	#7effb5
Chryseobacterium	R_Retroauricular_crease	#acf59a	81	6.0	0.0	#ff0000	#8000ff
Clostridium	Stool	#e8cb72	17	6.0	3.0	#ff0000	#7effb5
Collinsella	Stool	#e8cb72	2	6.0	1.0	#ff0000	#2c7ef7
Conchiformibius	R_Retroauricular_crease	#acf59a	4	0.0	1.0	#8000ff	#2c7ef7
Coprococcus	Stool	#e8cb72	3	6.0	1.0	#ff0000	#2c7ef7
Corynebacterium	Supragingival_plaque	#ff8646	271	6.0	0.0	#ff0000	#8000ff
Cryptobacterium	Saliva	#cbe486	14	6.0	3.0	#ff0000	#7effb5
Deinococcus	Anterior_nares	#8000ff	1	2.0	1.0	#2adddd	#2c7ef7
Dialister	Stool	#e8cb72	169	6.0	3.0	#ff0000	#7effb5
Dolosigranulum	Anterior_nares	#8000ff	2	1.0	2.0	#2c7ef7	#2adddd
Eggerthia	Subgingival_plaque	#ffac5c	22	6.0	3.0	#ff0000	#7effb5
Eikenella	Subgingival_plaque	#ffac5c	268	6.0	0.0	#ff0000	#8000ff
Escherichia	Stool	#e8cb72	4	6.0	1.0	#ff0000	#2c7ef7
Eubacterium	Palatine_Tonsils	#70febc	162	6.0	3.0	#ff0000	#7effb5
Faecalibacterium	Stool	#e8cb72	10	6.0	3.0	#ff0000	#7effb5
Ferrimonas	Supragingival_plaque	#ff8646	23	0.0	1.0	#8000ff	#2c7ef7
Filifactor	Palatine_Tonsils	#70febc	55	6.0	3.0	#ff0000	#7effb5
Flavobacterium	Anterior_nares	#8000ff	11	0.0	1.0	#8000ff	#2c7ef7
Fusobacterium	Throat	#ff5c2f	265	6.0	3.0	#ff0000	#7effb5
Gallibacterium	Keratinized_gingiva	#17cbe4	15	6.0	0.0	#ff0000	#8000ff
