TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acinetobacter	Anterior_nares	#8000ff	2	0.0	1.0	#8000ff	#386df9
Afipia	Anterior_nares	#8000ff	2	0.0	1.0	#8000ff	#386df9
Atopobium	Posterior_fornix	#8efeac	15	0.0	3.0	#8000ff	#5af8c8
Bacillus	Anterior_nares	#8000ff	2	0.0	1.0	#8000ff	#386df9
Blautia	Stool	#e8cb72	1	0.0	1.0	#8000ff	#386df9
Bradyrhizobium	Anterior_nares	#8000ff	2	0.0	1.0	#8000ff	#386df9
Brochothrix	Saliva	#cbe486	2	0.0	5.0	#8000ff	#ecc86f
Bulleidia	Throat	#ff5c2f	6	0.0	5.0	#8000ff	#ecc86f
Capnocytophaga	Supragingival_plaque	#ff8646	15	0.0	6.0	#8000ff	#ff703a
Cardiobacterium	Subgingival_plaque	#ffac5c	5	0.0	0.0	#8000ff	#8000ff
Carnobacterium	Hard_palate	#08acee	15	0.0	3.0	#8000ff	#5af8c8
Catonella	Subgingival_plaque	#ffac5c	15	0.0	6.0	#8000ff	#ff703a
Citrobacter	Anterior_nares	#8000ff	1	0.0	1.0	#8000ff	#386df9
Clostridium	Stool	#e8cb72	6	0.0	0.0	#8000ff	#8000ff
Conchiformibius	R_Retroauricular_crease	#acf59a	2	0.0	1.0	#8000ff	#386df9
Corynebacterium	Supragingival_plaque	#ff8646	15	0.0	6.0	#8000ff	#ff703a
Enterococcus	Anterior_nares	#8000ff	5	0.0	0.0	#8000ff	#8000ff
Faecalibacterium	Stool	#e8cb72	3	0.0	0.0	#8000ff	#8000ff
Filifactor	Palatine_Tonsils	#70febc	8	0.0	5.0	#8000ff	#ecc86f
Flavobacterium	Anterior_nares	#8000ff	3	0.0	0.0	#8000ff	#8000ff
Fusobacterium	Throat	#ff5c2f	15	0.0	4.0	#8000ff	#a2f9a0
Gemella	Buccal_mucosa	#445cfb	15	0.0	3.0	#8000ff	#5af8c8
Gordonia	L_Retroauricular_crease	#34e4d9	1	0.0	1.0	#8000ff	#386df9
Granulicatella	Keratinized_gingiva	#17cbe4	13	0.0	2.0	#8000ff	#10c6e6
Janibacter	Anterior_nares	#8000ff	2	0.0	1.0	#8000ff	#386df9
Johnsonella	Subgingival_plaque	#ffac5c	6	0.0	0.0	#8000ff	#8000ff
Kingella	Supragingival_plaque	#ff8646	13	0.0	6.0	#8000ff	#ff703a
Kytococcus	Throat	#ff5c2f	12	0.0	7.0	#8000ff	#ff0000
Lachnoanaerobaculum	Tongue_dorsum	#ff2f18	15	0.0	2.0	#8000ff	#10c6e6
Lactococcus	Anterior_nares	#8000ff	4	0.0	6.0	#8000ff	#ff703a
Lautropia	Supragingival_plaque	#ff8646	12	0.0	0.0	#8000ff	#8000ff
Leptotrichia	Tongue_dorsum	#ff2f18	15	0.0	2.0	#8000ff	#10c6e6
Mannheimia	Buccal_mucosa_NA	#2686f5	3	0.0	3.0	#8000ff	#5af8c8
Megasphaera	Saliva	#cbe486	15	0.0	7.0	#8000ff	#ff0000
Mitsuokella	Subgingival_plaque	#ffac5c	2	0.0	1.0	#8000ff	#386df9
Mobiluncus	Stool	#e8cb72	2	0.0	1.0	#8000ff	#386df9
Mogibacterium	Palatine_Tonsils	#70febc	9	0.0	6.0	#8000ff	#ff703a
Morococcus	Palatine_Tonsils	#70febc	7	0.0	3.0	#8000ff	#5af8c8
Mycobacterium	Mid_vagina	#52f5cb	2	0.0	1.0	#8000ff	#386df9
Necropsobacter	Attached	#622ffe	1	0.0	1.0	#8000ff	#386df9
Neisseria	Keratinized_gingiva	#17cbe4	13	0.0	6.0	#8000ff	#ff703a
Novosphingobium	Mid_vagina	#52f5cb	2	0.0	1.0	#8000ff	#386df9
Odoribacter	Stool	#e8cb72	2	0.0	1.0	#8000ff	#386df9
Olsenella	Palatine_Tonsils	#70febc	3	0.0	5.0	#8000ff	#ecc86f
Oribacterium	Throat	#ff5c2f	15	0.0	0.0	#8000ff	#8000ff
Ottowia	Supragingival_plaque	#ff8646	1	0.0	1.0	#8000ff	#386df9
Paraprevotella	Stool	#e8cb72	10	0.0	2.0	#8000ff	#10c6e6
Parvimonas	Subgingival_plaque	#ffac5c	13	0.0	6.0	#8000ff	#ff703a
Pasteurella	Buccal_mucosa	#445cfb	9	0.0	1.0	#8000ff	#386df9
Peptoclostridium	L_Retroauricular_crease	#34e4d9	6	0.0	0.0	#8000ff	#8000ff
Peptoniphilus	Anterior_nares	#8000ff	13	0.0	3.0	#8000ff	#5af8c8
Peptostreptococcus	Throat	#ff5c2f	15	0.0	6.0	#8000ff	#ff703a
Porphyrobacter	Saliva	#cbe486	5	0.0	0.0	#8000ff	#8000ff
Porphyromonas	Saliva	#cbe486	15	0.0	0.0	#8000ff	#8000ff
Prevotella	Palatine_Tonsils	#70febc	15	0.0	2.0	#8000ff	#10c6e6
Propionibacterium	R_Retroauricular_crease	#acf59a	9	0.0	0.0	#8000ff	#8000ff
Pseudoflavonifractor	Stool	#e8cb72	1	0.0	1.0	#8000ff	#386df9
Pseudomonas	Vaginal_introitus	#ff0000	4	0.0	2.0	#8000ff	#10c6e6
Psychrobacter	Saliva	#cbe486	2	0.0	5.0	#8000ff	#ecc86f
Roseburia	Stool	#e8cb72	1	0.0	5.0	#8000ff	#ecc86f
Rothia	Hard_palate	#08acee	15	0.0	3.0	#8000ff	#5af8c8
Ruminococcus	Stool	#e8cb72	10	0.0	2.0	#8000ff	#10c6e6
Sanguibacter	Throat	#ff5c2f	15	0.0	7.0	#8000ff	#ff0000
Scardovia	Buccal_mucosa	#445cfb	2	0.0	7.0	#8000ff	#ff0000
Selenomonas	Supragingival_plaque	#ff8646	15	0.0	6.0	#8000ff	#ff703a
Simonsiella	Keratinized_gingiva	#17cbe4	9	0.0	0.0	#8000ff	#8000ff
Snodgrassella	Throat	#ff5c2f	5	0.0	0.0	#8000ff	#8000ff
Solobacterium	Palatine_Tonsils	#70febc	15	0.0	0.0	#8000ff	#8000ff
Sphingobium	Vaginal_introitus	#ff0000	2	0.0	1.0	#8000ff	#386df9
Staphylococcus	L_Retroauricular_crease	#34e4d9	15	0.0	6.0	#8000ff	#ff703a
Stenotrophomonas	Anterior_nares	#8000ff	1	0.0	1.0	#8000ff	#386df9
Stenoxybacter	Throat	#ff5c2f	2	0.0	1.0	#8000ff	#386df9
Stomatobaculum	Tongue_dorsum	#ff2f18	15	0.0	3.0	#8000ff	#5af8c8
Streptococcus	Buccal_mucosa_NA	#2686f5	15	0.0	3.0	#8000ff	#5af8c8
Tannerella	Subgingival_plaque	#ffac5c	12	0.0	6.0	#8000ff	#ff703a
Thiomicrospira	Throat	#ff5c2f	4	0.0	0.0	#8000ff	#8000ff
Treponema	Subgingival_plaque	#ffac5c	15	0.0	6.0	#8000ff	#ff703a
Trueperella	Tongue_dorsum	#ff2f18	11	0.0	6.0	#8000ff	#ff703a
Varibaculum	R_Retroauricular_crease	#acf59a	5	0.0	0.0	#8000ff	#8000ff
Veillonella	Attached	#622ffe	15	0.0	2.0	#8000ff	#10c6e6
Xylanimonas	Throat	#ff5c2f	11	0.0	7.0	#8000ff	#ff0000
Acidovorax	L_Retroauricular_crease	#34e4d9	1	0.0	1.0	#8000ff	#386df9
Actinomyces	Tongue_dorsum	#ff2f18	15	0.0	3.0	#8000ff	#5af8c8
Anaerococcus	L_Retroauricular_crease	#34e4d9	1	0.0	5.0	#8000ff	#ecc86f
Bacteroides	Stool	#e8cb72	15	0.0	6.0	#8000ff	#ff703a
Abiotrophia	Buccal_mucosa	#445cfb	13	0.0	0.0	#8000ff	#8000ff
Alistipes	Stool	#e8cb72	3	0.0	0.0	#8000ff	#8000ff
Alloprevotella	Keratinized_gingiva	#17cbe4	15	0.0	4.0	#8000ff	#a2f9a0
Aggregatibacter	Saliva	#cbe486	13	0.0	3.0	#8000ff	#5af8c8
Actinobaculum	Subgingival_plaque	#ffac5c	11	0.0	2.0	#8000ff	#10c6e6
Cellulomonas	Stool	#e8cb72	6	0.0	7.0	#8000ff	#ff0000
Dialister	Stool	#e8cb72	11	0.0	7.0	#8000ff	#ff0000
Campylobacter	Attached	#622ffe	15	0.0	2.0	#8000ff	#10c6e6
Eikenella	Subgingival_plaque	#ffac5c	3	0.0	2.0	#8000ff	#10c6e6
Eggerthia	Subgingival_plaque	#ffac5c	8	0.0	1.0	#8000ff	#386df9
Leucobacter	L_Retroauricular_crease	#34e4d9	2	0.0	7.0	#8000ff	#ff0000
Eubacterium	Palatine_Tonsils	#70febc	13	0.0	6.0	#8000ff	#ff703a
Lachnoclostridium	Stool	#e8cb72	2	0.0	1.0	#8000ff	#386df9
Haemophilus	Buccal_mucosa_NA	#2686f5	15	0.0	3.0	#8000ff	#5af8c8
Lactobacillus	Mid_vagina	#52f5cb	6	0.0	7.0	#8000ff	#ff0000
Centipeda	Subgingival_plaque	#ffac5c	6	0.0	6.0	#8000ff	#ff703a
Saccharophagus	Throat	#ff5c2f	1	0.0	1.0	#8000ff	#386df9
Isoptericola	Tongue_dorsum	#ff2f18	13	0.0	7.0	#8000ff	#ff0000
