TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Agarivorans	Aggregatibacter	Alistipes	Alloprevotella	Alloscardovia	Anaerococcus	Anaeroglobus	Anaerostipes	Arcanobacterium	Atopobium	Avibacterium	Bacteroides	Barnesiella	Basfia	Bergeyella	Bifidobacterium	Blautia	Bulleidia	Burkholderia	Butyricimonas	Butyrivibrio	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Chlamydia	Chryseobacterium	Clostridium	Collinsella	Conchiformibius	Coprobacillus	Corynebacterium	Dialister	Eggerthella	Eggerthia	Eikenella	Enterococcus	Escherichia	Eubacterium	Faecalibacterium	Filifactor	Flavobacterium	Fusobacterium	Gallibacterium	Gardnerella	Gemella	Gordonibacter	Granulicatella	Gulbenkiania	Haemophilus	Helcobacillus	Helicobacter	Histophilus	Holdemanella	Isoptericola	Johnsonella	Kingella	Kocuria	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Leucobacter	Mannheimia	Megasphaera	Methylibium	Microbacterium	Mitsuokella	Mobiluncus	Mogibacterium	Moraxella	Moritella	Morococcus	Mycobacterium	Mycoplasma	Necropsobacter	Neisseria	Nitrospira	Odoribacter	Olsenella	Oribacterium	Ottowia	Parabacteroides	Paracoccus	Paraprevotella	Parvimonas	Pasteurella	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Propionimicrobium	Pseudomonas	Psychrobacter	Riemerella	Roseburia	Rothia	Ruminiclostridium	Ruminococcus	Sanguibacter	Scardovia	Sebaldella	Selenomonas	Shuttleworthia	Simonsiella	Slackia	Solobacterium	Staphylococcus	Stomatobaculum	Streptococcus	Sutterella	Tannerella	Treponema	Trueperella	Varibaculum	Veillonella	Vibrio	Vitreoscilla	Xylanimonas	Yersinia
Abiotrophia	0.0	0.0	0.0	0.0	3.0	13.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	0.0	0.0	10.0	11.0	0.0	0.0	0.0	4.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	11.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	11.0	0.0	0.0	5.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	9.0	0.0
Acidovorax	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.0	0.0	0.0	14.0	0.0	16.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	11.0	13.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	10.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	6.0	0.0	10.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	14.0	0.0	0.0	58.0	0.0	52.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	30.0	0.0	59.0	48.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	19.0	0.0	36.0	12.0	0.0	49.0	0.0	60.0	0.0	22.0	0.0	0.0	0.0	0.0	31.0	21.0	31.0	0.0	44.0	51.0	0.0	43.0	14.0	0.0	48.0	12.0	20.0	24.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	15.0	0.0	29.0	0.0	33.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	33.0	32.0	64.0	0.0	52.0	48.0	13.0	27.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	27.0	41.0	65.0	0.0	11.0	31.0	47.0	7.0	0.0	0.0	0.0	56.0	0.0
Actinobaculum	3.0	2.0	0.0	0.0	0.0	12.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	5.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	0.0	14.0	0.0	0.0	11.0	0.0	12.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	12.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	11.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
Actinomyces	13.0	0.0	16.0	58.0	12.0	0.0	0.0	69.0	16.0	37.0	0.0	0.0	15.0	0.0	19.0	98.0	0.0	37.0	0.0	0.0	0.0	9.0	10.0	0.0	0.0	0.0	0.0	100.0	29.0	0.0	80.0	125.0	30.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	11.0	0.0	0.0	28.0	12.0	45.0	0.0	69.0	9.0	13.0	85.0	0.0	79.0	0.0	52.0	0.0	0.0	0.0	0.0	57.0	33.0	51.0	0.0	60.0	111.0	31.0	54.0	20.0	0.0	75.0	19.0	28.0	63.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	24.0	11.0	50.0	0.0	53.0	0.0	0.0	0.0	126.0	0.0	4.0	0.0	38.0	50.0	83.0	0.0	72.0	87.0	16.0	52.0	84.0	0.0	7.0	12.0	0.0	0.0	7.0	73.0	0.0	25.0	102.0	8.0	0.0	16.0	0.0	2.0	0.0	75.0	34.0	85.0	93.0	0.0	14.0	48.0	72.0	14.0	69.0	0.0	0.0	93.0	0.0
Agarivorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aggregatibacter	13.0	0.0	10.0	52.0	14.0	69.0	0.0	0.0	20.0	35.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	37.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	77.0	33.0	10.0	81.0	77.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	11.0	26.0	0.0	0.0	14.0	0.0	0.0	32.0	0.0	39.0	0.0	52.0	0.0	0.0	75.0	0.0	79.0	0.0	47.0	0.0	0.0	0.0	0.0	68.0	35.0	60.0	0.0	75.0	83.0	0.0	58.0	0.0	7.0	74.0	16.0	28.0	41.0	0.0	0.0	0.0	0.0	34.0	5.0	0.0	21.0	10.0	34.0	0.0	50.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	31.0	50.0	94.0	6.0	80.0	70.0	13.0	38.0	37.0	14.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	87.0	0.0	0.0	14.0	0.0	0.0	0.0	73.0	43.0	73.0	91.0	0.0	19.0	42.0	61.0	0.0	16.0	0.0	0.0	79.0	0.0
Alistipes	0.0	0.0	0.0	0.0	0.0	16.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	22.0	0.0	0.0	29.0	13.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	15.0	0.0	0.0	18.0	0.0	21.0	0.0	14.0	0.0	0.0	0.0	0.0	17.0	11.0	15.0	0.0	20.0	16.0	0.0	17.0	0.0	0.0	17.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	18.0	0.0	2.0	0.0	3.0	9.0	16.0	0.0	13.0	19.0	0.0	11.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	11.0	23.0	20.0	0.0	10.0	14.0	19.0	0.0	0.0	0.0	0.0	17.0	0.0
Alloprevotella	0.0	0.0	0.0	20.0	0.0	37.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	9.0	23.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	47.0	27.0	0.0	51.0	45.0	0.0	16.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	17.0	0.0	0.0	16.0	0.0	29.0	0.0	28.0	0.0	15.0	41.0	0.0	24.0	0.0	33.0	0.0	0.0	0.0	0.0	38.0	48.0	26.0	0.0	60.0	37.0	0.0	39.0	10.0	0.0	40.0	0.0	13.0	27.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	18.0	0.0	35.0	0.0	27.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	28.0	35.0	49.0	6.0	47.0	42.0	6.0	27.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	8.0	55.0	0.0	0.0	24.0	0.0	0.0	0.0	47.0	24.0	54.0	57.0	0.0	16.0	31.0	52.0	10.0	15.0	0.0	0.0	47.0	0.0
