TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinobacillus	Attached	#622ffe	88	4.0	1.0	#ff0000	#01b3ec
Actinobaculum	Subgingival_plaque	#ffac5c	145	4.0	1.0	#ff0000	#01b3ec
Actinomyces	Tongue_dorsum	#ff2f18	279	4.0	2.0	#ff0000	#7effb5
Aggregatibacter	Saliva	#cbe486	265	4.0	1.0	#ff0000	#01b3ec
Alistipes	Stool	#e8cb72	41	4.0	1.0	#ff0000	#01b3ec
Alloprevotella	Keratinized_gingiva	#17cbe4	275	4.0	0.0	#ff0000	#8000ff
Anaeroglobus	Subgingival_plaque	#ffac5c	36	4.0	2.0	#ff0000	#7effb5
Anaerostipes	Stool	#e8cb72	2	1.0	1.0	#01b3ec	#01b3ec
Arcanobacterium	L_Retroauricular_crease	#34e4d9	33	4.0	2.0	#ff0000	#7effb5
Atopobium	Posterior_fornix	#8efeac	279	4.0	2.0	#ff0000	#7effb5
Avibacterium	Attached	#622ffe	23	4.0	2.0	#ff0000	#7effb5
Bacteroides	Stool	#e8cb72	203	4.0	0.0	#ff0000	#8000ff
Bergeyella	R_Retroauricular_crease	#acf59a	2	1.0	1.0	#01b3ec	#01b3ec
Bifidobacterium	Posterior_fornix	#8efeac	63	4.0	0.0	#ff0000	#8000ff
Blautia	Stool	#e8cb72	16	4.0	2.0	#ff0000	#7effb5
Burkholderia	Posterior_fornix	#8efeac	1	1.0	1.0	#01b3ec	#01b3ec
Butyrivibrio	Stool	#e8cb72	17	4.0	0.0	#ff0000	#8000ff
Campylobacter	Attached	#622ffe	279	4.0	2.0	#ff0000	#7effb5
Capnocytophaga	Supragingival_plaque	#ff8646	277	4.0	1.0	#ff0000	#01b3ec
Cardiobacterium	Subgingival_plaque	#ffac5c	57	4.0	1.0	#ff0000	#01b3ec
Carnobacterium	Hard_palate	#08acee	279	4.0	0.0	#ff0000	#8000ff
Catonella	Subgingival_plaque	#ffac5c	277	4.0	2.0	#ff0000	#7effb5
Cellulomonas	Stool	#e8cb72	91	4.0	2.0	#ff0000	#7effb5
Centipeda	Subgingival_plaque	#ffac5c	111	4.0	0.0	#ff0000	#8000ff
Chryseobacterium	R_Retroauricular_crease	#acf59a	16	1.0	1.0	#01b3ec	#01b3ec
Clostridium	Stool	#e8cb72	127	4.0	0.0	#ff0000	#8000ff
Conchiformibius	R_Retroauricular_crease	#acf59a	4	1.0	1.0	#01b3ec	#01b3ec
Coprobacillus	Stool	#e8cb72	7	3.0	3.0	#feb562	#feb562
Corynebacterium	Supragingival_plaque	#ff8646	271	4.0	1.0	#ff0000	#01b3ec
Dialister	Stool	#e8cb72	169	4.0	1.0	#ff0000	#01b3ec
Eggerthia	Subgingival_plaque	#ffac5c	22	4.0	2.0	#ff0000	#7effb5
Eikenella	Subgingival_plaque	#ffac5c	71	4.0	0.0	#ff0000	#8000ff
Enterococcus	Anterior_nares	#8000ff	11	1.0	1.0	#01b3ec	#01b3ec
Eubacterium	Palatine_Tonsils	#70febc	188	4.0	1.0	#ff0000	#01b3ec
Faecalibacterium	Stool	#e8cb72	37	4.0	2.0	#ff0000	#7effb5
Filifactor	Palatine_Tonsils	#70febc	103	4.0	2.0	#ff0000	#7effb5
Flavobacterium	Anterior_nares	#8000ff	1	1.0	1.0	#01b3ec	#01b3ec
Fusobacterium	Throat	#ff5c2f	279	4.0	2.0	#ff0000	#7effb5
Gallibacterium	Keratinized_gingiva	#17cbe4	13	4.0	1.0	#ff0000	#01b3ec
Gardnerella	Vaginal_introitus	#ff0000	47	4.0	0.0	#ff0000	#8000ff
Gemella	Buccal_mucosa	#445cfb	279	4.0	0.0	#ff0000	#8000ff
Gordonibacter	Stool	#e8cb72	20	4.0	2.0	#ff0000	#7effb5
Granulicatella	Keratinized_gingiva	#17cbe4	279	4.0	1.0	#ff0000	#01b3ec
Gulbenkiania	L_Retroauricular_crease	#34e4d9	2	1.0	1.0	#01b3ec	#01b3ec
Haemophilus	Buccal_mucosa_NA	#2686f5	279	4.0	2.0	#ff0000	#7effb5
Helcobacillus	R_Retroauricular_crease	#acf59a	2	2.0	2.0	#7effb5	#7effb5
Histophilus	Buccal_mucosa	#445cfb	6	4.0	1.0	#ff0000	#01b3ec
Holdemanella	L_Retroauricular_crease	#34e4d9	2	1.0	1.0	#01b3ec	#01b3ec
Isoptericola	Tongue_dorsum	#ff2f18	276	4.0	0.0	#ff0000	#8000ff
Johnsonella	Subgingival_plaque	#ffac5c	107	4.0	0.0	#ff0000	#8000ff
Kingella	Supragingival_plaque	#ff8646	247	4.0	1.0	#ff0000	#01b3ec
Kocuria	Anterior_nares	#8000ff	2	0.0	4.0	#8000ff	#ff0000
Kytococcus	Throat	#ff5c2f	270	4.0	0.0	#ff0000	#8000ff
Lachnoanaerobaculum	Tongue_dorsum	#ff2f18	279	4.0	2.0	#ff0000	#7effb5
Lachnoclostridium	Stool	#e8cb72	77	4.0	2.0	#ff0000	#7effb5
Lactobacillus	Mid_vagina	#52f5cb	126	4.0	0.0	#ff0000	#8000ff
Lactococcus	Anterior_nares	#8000ff	42	4.0	2.0	#ff0000	#7effb5
Lautropia	Supragingival_plaque	#ff8646	223	4.0	1.0	#ff0000	#01b3ec
Leptotrichia	Tongue_dorsum	#ff2f18	279	4.0	0.0	#ff0000	#8000ff
Leucobacter	L_Retroauricular_crease	#34e4d9	49	4.0	2.0	#ff0000	#7effb5
Mannheimia	Buccal_mucosa_NA	#2686f5	36	4.0	0.0	#ff0000	#8000ff
Megasphaera	Saliva	#cbe486	275	4.0	2.0	#ff0000	#7effb5
Methylibium	Tongue_dorsum	#ff2f18	1	1.0	1.0	#01b3ec	#01b3ec
Microbacterium	R_Retroauricular_crease	#acf59a	2	4.0	2.0	#ff0000	#7effb5
Mitsuokella	Subgingival_plaque	#ffac5c	17	1.0	1.0	#01b3ec	#01b3ec
Mogibacterium	Palatine_Tonsils	#70febc	125	4.0	0.0	#ff0000	#8000ff
