	source	target	weight	edge_sample	edge_color
0	Acinetobacter	Abiotrophia	0.816496580928	Mixed	#cccccc
1	Alysiella	Acidovorax	1.0	Mixed	#cccccc
2	Anaeroglobus	Actinobaculum	1.0	Subgingival_plaque	#ffac5c
3	Atopobium	Actinobaculum	1.0	Mixed	#cccccc
4	Atopobium	Anaeroglobus	1.0	Mixed	#cccccc
5	Avibacterium	Acidovorax	1.0	Mixed	#cccccc
6	Avibacterium	Alysiella	1.0	Mixed	#cccccc
7	Bacteroides	Alloprevotella	1.0	Mixed	#cccccc
8	Brochothrix	Acidovorax	1.0	Mixed	#cccccc
9	Brochothrix	Alysiella	1.0	Mixed	#cccccc
10	Brochothrix	Avibacterium	1.0	Mixed	#cccccc
11	Bulleidia	Actinobaculum	1.0	Mixed	#cccccc
12	Bulleidia	Anaeroglobus	1.0	Mixed	#cccccc
13	Bulleidia	Atopobium	1.0	Mixed	#cccccc
14	Campylobacter	Alloprevotella	1.0	Mixed	#cccccc
15	Campylobacter	Bacteroides	1.0	Mixed	#cccccc
16	Capnocytophaga	Alloprevotella	1.0	Mixed	#cccccc
17	Capnocytophaga	Bacteroides	1.0	Mixed	#cccccc
18	Capnocytophaga	Campylobacter	1.0	Mixed	#cccccc
19	Cardiobacterium	Acinetobacter	0.816496580928	Mixed	#cccccc
20	Carnobacterium	Abiotrophia	0.801783725737	Mixed	#cccccc
21	Cellulomonas	Actinobaculum	1.0	Mixed	#cccccc
22	Cellulomonas	Anaeroglobus	1.0	Mixed	#cccccc
23	Cellulomonas	Atopobium	1.0	Mixed	#cccccc
24	Cellulomonas	Bulleidia	1.0	Mixed	#cccccc
25	Chlamydia	Centipeda	1.0	Mixed	#cccccc
26	Corynebacterium	Acinetobacter	0.816496580928	Mixed	#cccccc
27	Corynebacterium	Cardiobacterium	1.0	Mixed	#cccccc
28	Cryptobacterium	Actinobaculum	1.0	Mixed	#cccccc
29	Cryptobacterium	Anaeroglobus	1.0	Mixed	#cccccc
30	Cryptobacterium	Atopobium	1.0	Mixed	#cccccc
31	Cryptobacterium	Bulleidia	1.0	Mixed	#cccccc
32	Cryptobacterium	Cellulomonas	1.0	Mixed	#cccccc
33	Dechloromonas	Acidovorax	1.0	Mixed	#cccccc
34	Dechloromonas	Alysiella	1.0	Mixed	#cccccc
35	Dechloromonas	Avibacterium	1.0	Mixed	#cccccc
36	Dechloromonas	Brochothrix	1.0	Mixed	#cccccc
37	Dialister	Actinobaculum	1.0	Mixed	#cccccc
38	Dialister	Anaeroglobus	1.0	Mixed	#cccccc
39	Dialister	Atopobium	1.0	Mixed	#cccccc
40	Dialister	Bulleidia	1.0	Mixed	#cccccc
41	Dialister	Cellulomonas	1.0	Stool	#e8cb72
42	Dialister	Cryptobacterium	1.0	Mixed	#cccccc
43	Eggerthia	Actinobaculum	1.0	Subgingival_plaque	#ffac5c
44	Eggerthia	Anaeroglobus	1.0	Subgingival_plaque	#ffac5c
45	Eggerthia	Atopobium	1.0	Mixed	#cccccc
46	Eggerthia	Bulleidia	1.0	Mixed	#cccccc
47	Eggerthia	Cellulomonas	1.0	Mixed	#cccccc
48	Eggerthia	Cryptobacterium	1.0	Mixed	#cccccc
49	Eggerthia	Dialister	1.0	Mixed	#cccccc
50	Eikenella	Acinetobacter	0.816496580928	Mixed	#cccccc
51	Eikenella	Cardiobacterium	1.0	Subgingival_plaque	#ffac5c
