TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Agrobacterium	R_Retroauricular_crease	#acf59a	30	17.0	2.0	#34e4d9	#6e1cff
Aliterella	Anterior_nares	#8000ff	24	15.0	0.0	#1fd3e1	#8000ff
Azohydromonas	Anterior_nares	#8000ff	6	15.0	0.0	#1fd3e1	#8000ff
Bdellovibrio	Anterior_nares	#8000ff	1	33.0	10.0	#ded579	#208ef4
Brevundimonas	R_Retroauricular_crease	#acf59a	68	27.0	4.0	#9efaa2	#5a3bfd
Candidatus Hamiltonella	Stool	#e8cb72	3	16.0	17.0	#2adddd	#22d6e0
Casaltella	L_Retroauricular_crease	#34e4d9	12	23.0	7.0	#74feba	#3e65fa
Catabacter	Stool	#e8cb72	43	12.0	8.0	#01b3ec	#3473f8
Celeribacter	Buccal_mucosa	#445cfb	1	38.0	11.0	#ff9d53	#1898f2
Chloroflexus	Buccal_mucosa	#445cfb	1	39.0	27.0	#ff8e4a	#82ffb3
Chryseobacterium	R_Retroauricular_crease	#acf59a	284	27.0	4.0	#9efaa2	#5a3bfd
Chthoniobacter	Stool	#e8cb72	2	12.0	8.0	#01b3ec	#3473f8
Conchiformibius	R_Retroauricular_crease	#acf59a	37	31.0	13.0	#c8e688	#04b0ed
Cylindrospermum	Anterior_nares	#8000ff	1	6.0	28.0	#425ffa	#8cfead
Dactylosporangium	Anterior_nares	#8000ff	1	26.0	1.0	#94fda8	#780dff
Demetria	Anterior_nares	#8000ff	1	32.0	34.0	#d4dd80	#c6e789
Devosia	L_Retroauricular_crease	#34e4d9	75	30.0	5.0	#beec8e	#504afc
Dysgonomonas	L_Retroauricular_crease	#34e4d9	54	40.0	30.0	#ff8143	#a0faa1
Eggerthella	Stool	#e8cb72	77	12.0	8.0	#01b3ec	#3473f8
Empedobacter	Anterior_nares	#8000ff	54	3.0	15.0	#622ffe	#10c6e6
Ensifer	R_Retroauricular_crease	#acf59a	3	31.0	13.0	#c8e688	#04b0ed
Enterococcus	Anterior_nares	#8000ff	319	48.0	29.0	#ff0000	#96fca7
Erwinia	Anterior_nares	#8000ff	6	16.0	17.0	#2adddd	#22d6e0
Ethanoligenens	Stool	#e8cb72	2	43.0	35.0	#ff532a	#d0e082
Fermentimonas	R_Retroauricular_crease	#acf59a	2	34.0	20.0	#e8cb72	#40ecd4
Filifactor	Palatine_Tonsils	#70febc	291	41.0	19.0	#ff733b	#37e6d8
Flavihumibacter	Anterior_nares	#8000ff	2	3.0	15.0	#622ffe	#10c6e6
Frateuria	R_Retroauricular_crease	#acf59a	3	27.0	4.0	#9efaa2	#5a3bfd
Gloeocapsa	Anterior_nares	#8000ff	3	26.0	1.0	#94fda8	#780dff
