TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Aggregatibacter	Saliva	#cbe486	12	10.0	1.0	#ff0000	#425ffa
Alistipes	Stool	#e8cb72	2	7.0	3.0	#e4cf74	#3febd5
Alloprevotella	Keratinized_gingiva	#17cbe4	12	7.0	3.0	#e4cf74	#3febd5
Atopobium	Posterior_fornix	#8efeac	12	8.0	2.0	#ff964f	#01b3ec
Bacteroides	Stool	#e8cb72	11	7.0	3.0	#e4cf74	#3febd5
Barnesiella	Stool	#e8cb72	2	7.0	3.0	#e4cf74	#3febd5
Brochothrix	Saliva	#cbe486	2	6.0	0.0	#b2f396	#8000ff
Bulleidia	Throat	#ff5c2f	12	6.0	0.0	#b2f396	#8000ff
Campylobacter	Attached	#622ffe	12	8.0	2.0	#ff964f	#01b3ec
Cellulomonas	Stool	#e8cb72	2	8.0	2.0	#ff964f	#01b3ec
Dialister	Stool	#e8cb72	10	8.0	2.0	#ff964f	#01b3ec
Eggerthia	Subgingival_plaque	#ffac5c	2	0.0	5.0	#8000ff	#beec8e
Eikenella	Subgingival_plaque	#ffac5c	2	7.0	3.0	#e4cf74	#3febd5
Eubacterium	Palatine_Tonsils	#70febc	12	6.0	0.0	#b2f396	#8000ff
Faecalibacterium	Stool	#e8cb72	3	7.0	3.0	#e4cf74	#3febd5
Filifactor	Palatine_Tonsils	#70febc	10	6.0	0.0	#b2f396	#8000ff
Finegoldia	R_Retroauricular_crease	#acf59a	2	0.0	5.0	#8000ff	#beec8e
Fusobacterium	Throat	#ff5c2f	12	0.0	5.0	#8000ff	#beec8e
Gemella	Buccal_mucosa	#445cfb	12	10.0	1.0	#ff0000	#425ffa
Gordonibacter	Stool	#e8cb72	1	9.0	4.0	#ff5029	#7effb5
Granulicatella	Keratinized_gingiva	#17cbe4	12	5.0	6.0	#7effb5	#feb562
Haemophilus	Buccal_mucosa_NA	#2686f5	12	10.0	1.0	#ff0000	#425ffa
Isoptericola	Tongue_dorsum	#ff2f18	12	8.0	2.0	#ff964f	#01b3ec
Johnsonella	Subgingival_plaque	#ffac5c	4	6.0	0.0	#b2f396	#8000ff
Kingella	Supragingival_plaque	#ff8646	8	7.0	3.0	#e4cf74	#3febd5
Kytococcus	Throat	#ff5c2f	12	8.0	2.0	#ff964f	#01b3ec
Lachnoanaerobaculum	Tongue_dorsum	#ff2f18	12	0.0	5.0	#8000ff	#beec8e
Lautropia	Supragingival_plaque	#ff8646	10	5.0	6.0	#7effb5	#feb562
Leptotrichia	Tongue_dorsum	#ff2f18	12	8.0	2.0	#ff964f	#01b3ec
Leuconostoc	L_Retroauricular_crease	#34e4d9	1	6.0	0.0	#b2f396	#8000ff
Mannheimia	Buccal_mucosa_NA	#2686f5	2	10.0	1.0	#ff0000	#425ffa
Megasphaera	Saliva	#cbe486	12	8.0	2.0	#ff964f	#01b3ec
Mogibacterium	Palatine_Tonsils	#70febc	10	6.0	0.0	#b2f396	#8000ff
Morococcus	Palatine_Tonsils	#70febc	8	6.0	0.0	#b2f396	#8000ff
Mycoplasma	Subgingival_plaque	#ffac5c	12	7.0	3.0	#e4cf74	#3febd5
Neisseria	Keratinized_gingiva	#17cbe4	10	0.0	1.0	#8000ff	#425ffa
Odoribacter	Stool	#e8cb72	2	7.0	3.0	#e4cf74	#3febd5
Olsenella	Palatine_Tonsils	#70febc	10	6.0	0.0	#b2f396	#8000ff
Oribacterium	Throat	#ff5c2f	12	0.0	5.0	#8000ff	#beec8e
Oscillibacter	Stool	#e8cb72	2	7.0	3.0	#e4cf74	#3febd5
Parabacteroides	Stool	#e8cb72	2	7.0	3.0	#e4cf74	#3febd5
Paraprevotella	Stool	#e8cb72	2	0.0	5.0	#8000ff	#beec8e
Parvimonas	Subgingival_plaque	#ffac5c	12	6.0	0.0	#b2f396	#8000ff
Pasteurella	Buccal_mucosa	#445cfb	6	10.0	1.0	#ff0000	#425ffa
Peptoclostridium	L_Retroauricular_crease	#34e4d9	1	3.0	8.0	#18cde4	#ff0000
Peptoniphilus	Anterior_nares	#8000ff	11	10.0	1.0	#ff0000	#425ffa
Peptostreptococcus	Throat	#ff5c2f	12	2.0	6.0	#1996f3	#feb562
Porphyrobacter	Saliva	#cbe486	2	6.0	0.0	#b2f396	#8000ff
Porphyromonas	Saliva	#cbe486	12	10.0	1.0	#ff0000	#425ffa
Prevotella	Palatine_Tonsils	#70febc	12	4.0	7.0	#4df3ce	#ff6232
Pseudomonas	Vaginal_introitus	#ff0000	2	6.0	0.0	#b2f396	#8000ff
Pseudoramibacter	Subgingival_plaque	#ffac5c	2	8.0	2.0	#ff964f	#01b3ec
Psychrobacter	Saliva	#cbe486	2	6.0	0.0	#b2f396	#8000ff
Roseburia	Stool	#e8cb72	3	7.0	3.0	#e4cf74	#3febd5
Rothia	Hard_palate	#08acee	12	10.0	1.0	#ff0000	#425ffa
Ruminiclostridium	L_Retroauricular_crease	#34e4d9	2	7.0	3.0	#e4cf74	#3febd5
Ruminococcus	Stool	#e8cb72	8	7.0	3.0	#e4cf74	#3febd5
Sanguibacter	Throat	#ff5c2f	12	1.0	3.0	#4e4dfc	#3febd5
Selenomonas	Supragingival_plaque	#ff8646	12	4.0	7.0	#4df3ce	#ff6232
Simonsiella	Keratinized_gingiva	#17cbe4	6	5.0	6.0	#7effb5	#feb562
Slackia	Palatine_Tonsils	#70febc	3	6.0	0.0	#b2f396	#8000ff
Solobacterium	Palatine_Tonsils	#70febc	12	0.0	5.0	#8000ff	#beec8e
Stomatobaculum	Tongue_dorsum	#ff2f18	12	8.0	2.0	#ff964f	#01b3ec
Sutterella	Stool	#e8cb72	2	7.0	3.0	#e4cf74	#3febd5
Tannerella	Subgingival_plaque	#ffac5c	12	8.0	2.0	#ff964f	#01b3ec
Treponema	Subgingival_plaque	#ffac5c	12	4.0	7.0	#4df3ce	#ff6232
Trueperella	Tongue_dorsum	#ff2f18	12	8.0	2.0	#ff964f	#01b3ec
Varibaculum	R_Retroauricular_crease	#acf59a	2	0.0	5.0	#8000ff	#beec8e
Veillonella	Attached	#622ffe	12	0.0	5.0	#8000ff	#beec8e
Xylanimonas	Throat	#ff5c2f	12	8.0	2.0	#ff964f	#01b3ec
Actinobacillus	Attached	#622ffe	2	10.0	1.0	#ff0000	#425ffa
Actinobaculum	Subgingival_plaque	#ffac5c	8	10.0	1.0	#ff0000	#425ffa
Akkermansia	Stool	#e8cb72	2	7.0	3.0	#e4cf74	#3febd5
Actinomyces	Tongue_dorsum	#ff2f18	12	8.0	2.0	#ff964f	#01b3ec
Abiotrophia	Buccal_mucosa	#445cfb	12	6.0	0.0	#b2f396	#8000ff
Capnocytophaga	Supragingival_plaque	#ff8646	12	0.0	5.0	#8000ff	#beec8e
Centipeda	Subgingival_plaque	#ffac5c	8	4.0	7.0	#4df3ce	#ff6232
Anaeroglobus	Subgingival_plaque	#ffac5c	8	6.0	0.0	#b2f396	#8000ff
Catonella	Subgingival_plaque	#ffac5c	12	6.0	0.0	#b2f396	#8000ff
Butyricimonas	Stool	#e8cb72	1	9.0	4.0	#ff5029	#7effb5
Carnobacterium	Hard_palate	#08acee	12	5.0	6.0	#7effb5	#feb562
Clostridium	Stool	#e8cb72	4	2.0	6.0	#1996f3	#feb562
Chlamydia	Keratinized_gingiva	#17cbe4	1	3.0	8.0	#18cde4	#ff0000
Lactococcus	Anterior_nares	#8000ff	2	2.0	6.0	#1996f3	#feb562
Corynebacterium	Supragingival_plaque	#ff8646	12	1.0	3.0	#4e4dfc	#3febd5
