TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidithiobacillus	Buccal_mucosa	#445cfb	1	6.0	3.0	#18cde4	#3c68f9
Aerococcus	Posterior_fornix	#8efeac	5	16.0	2.0	#ff964f	#5247fc
Aeromonas	L_Retroauricular_crease	#34e4d9	3	16.0	2.0	#ff964f	#5247fc
Agrobacterium	R_Retroauricular_crease	#acf59a	11	16.0	2.0	#ff964f	#5247fc
Akkermansia	Stool	#e8cb72	10	18.0	1.0	#ff5029	#6a22fe
Alcaligenes	Anterior_nares	#8000ff	1	18.0	1.0	#ff5029	#6a22fe
Aliihoeflea	R_Retroauricular_crease	#acf59a	3	16.0	2.0	#ff964f	#5247fc
Alkaliphilus	Anterior_nares	#8000ff	2	6.0	1.0	#18cde4	#6a22fe
Alloprevotella	Keratinized_gingiva	#17cbe4	34	1.0	0.0	#6826fe	#8000ff
Altererythrobacter	L_Retroauricular_crease	#34e4d9	1	14.0	0.0	#e4cf74	#8000ff
Arcobacter	L_Retroauricular_crease	#34e4d9	2	18.0	1.0	#ff5029	#6a22fe
Asticcacaulis	R_Retroauricular_crease	#acf59a	1	14.0	0.0	#e4cf74	#8000ff
Aureimonas	R_Retroauricular_crease	#acf59a	8	16.0	2.0	#ff964f	#5247fc
Azohydromonas	Anterior_nares	#8000ff	1	4.0	4.0	#1996f3	#2489f5
Azotobacter	R_Retroauricular_crease	#acf59a	1	9.0	3.0	#64fbc3	#3c68f9
Bacteroides	Stool	#e8cb72	40	6.0	6.0	#18cde4	#0ac0e8
Barnesiella	Stool	#e8cb72	14	7.0	6.0	#32e3da	#0ac0e8
Bergeyella	R_Retroauricular_crease	#acf59a	7	8.0	7.0	#4df3ce	#22d6e0
Bhargavaea	R_Retroauricular_crease	#acf59a	2	1.0	0.0	#6826fe	#8000ff
Bilophila	Stool	#e8cb72	1	9.0	3.0	#64fbc3	#3c68f9
Blautia	Stool	#e8cb72	12	9.0	6.0	#64fbc3	#0ac0e8
Bradyrhizobium	Anterior_nares	#8000ff	13	14.0	0.0	#e4cf74	#8000ff
Brevundimonas	R_Retroauricular_crease	#acf59a	16	16.0	2.0	#ff964f	#5247fc
Brochothrix	Saliva	#cbe486	5	6.0	1.0	#18cde4	#6a22fe
Butyricicoccus	Stool	#e8cb72	3	9.0	1.0	#64fbc3	#6a22fe
Butyrivibrio	Stool	#e8cb72	7	9.0	6.0	#64fbc3	#0ac0e8
Caballeronia	R_Retroauricular_crease	#acf59a	1	4.0	4.0	#1996f3	#2489f5
Campylobacter	Attached	#622ffe	35	3.0	5.0	#3473f8	#0ea5ef
Casaltella	L_Retroauricular_crease	#34e4d9	7	3.0	5.0	#3473f8	#0ea5ef
Cellulomonas	Stool	#e8cb72	1	12.0	4.0	#b2f396	#2489f5
Centipeda	Subgingival_plaque	#ffac5c	1	0.0	10.0	#8000ff	#66fcc2
Chlamydia	Keratinized_gingiva	#17cbe4	6	16.0	2.0	#ff964f	#5247fc
Chryseobacterium	R_Retroauricular_crease	#acf59a	17	16.0	2.0	#ff964f	#5247fc
Citrobacter	Anterior_nares	#8000ff	2	9.0	1.0	#64fbc3	#6a22fe
Conchiformibius	R_Retroauricular_crease	#acf59a	8	14.0	0.0	#e4cf74	#8000ff
Coprococcus	Stool	#e8cb72	6	18.0	1.0	#ff5029	#6a22fe
Cryptobacterium	Saliva	#cbe486	2	1.0	0.0	#6826fe	#8000ff
Cupriavidus	Mid_vagina	#52f5cb	1	4.0	4.0	#1996f3	#2489f5
Curtobacterium	L_Retroauricular_crease	#34e4d9	2	12.0	4.0	#b2f396	#2489f5
Curvibacter	Anterior_nares	#8000ff	2	12.0	4.0	#b2f396	#2489f5
Dechloromonas	Buccal_mucosa	#445cfb	3	9.0	1.0	#64fbc3	#6a22fe
Defluviitalea	L_Retroauricular_crease	#34e4d9	9	15.0	18.0	#feb562	#ff8c49
Dermacoccus	Anterior_nares	#8000ff	4	16.0	2.0	#ff964f	#5247fc
Desulfovibrio	Stool	#e8cb72	1	12.0	4.0	#b2f396	#2489f5
Devosia	L_Retroauricular_crease	#34e4d9	24	11.0	11.0	#99fca6	#7effb5
Dialister	Stool	#e8cb72	22	9.0	1.0	#64fbc3	#6a22fe
Diaphorobacter	Buccal_mucosa	#445cfb	1	9.0	1.0	#64fbc3	#6a22fe
Dietzia	L_Retroauricular_crease	#34e4d9	11	17.0	9.0	#ff763d	#50f4cc
Dolosigranulum	Anterior_nares	#8000ff	22	14.0	0.0	#e4cf74	#8000ff
Dorea	Stool	#e8cb72	8	6.0	1.0	#18cde4	#6a22fe
Dyadobacter	R_Retroauricular_crease	#acf59a	2	18.0	1.0	#ff5029	#6a22fe
Dysgonomonas	L_Retroauricular_crease	#34e4d9	6	6.0	1.0	#18cde4	#6a22fe
Empedobacter	Anterior_nares	#8000ff	9	16.0	2.0	#ff964f	#5247fc
Enhydrobacter	R_Retroauricular_crease	#acf59a	27	16.0	2.0	#ff964f	#5247fc
Enorma	R_Retroauricular_crease	#acf59a	1	17.0	9.0	#ff763d	#50f4cc
Ensifer	R_Retroauricular_crease	#acf59a	2	14.0	0.0	#e4cf74	#8000ff
Epilithonimonas	R_Retroauricular_crease	#acf59a	3	16.0	2.0	#ff964f	#5247fc
Erysipelatoclostridium	Stool	#e8cb72	2	6.0	6.0	#18cde4	#0ac0e8
Escherichia	Stool	#e8cb72	12	14.0	0.0	#e4cf74	#8000ff
Eubacterium	Palatine_Tonsils	#70febc	23	6.0	1.0	#18cde4	#6a22fe
Ewingella	Anterior_nares	#8000ff	2	16.0	2.0	#ff964f	#5247fc
Facklamia	R_Retroauricular_crease	#acf59a	21	3.0	5.0	#3473f8	#0ea5ef
Faecalibacterium	Stool	#e8cb72	33	9.0	6.0	#64fbc3	#0ac0e8
Fenollaria	Anterior_nares	#8000ff	3	9.0	1.0	#64fbc3	#6a22fe
Fermentimonas	R_Retroauricular_crease	#acf59a	1	12.0	4.0	#b2f396	#2489f5
Finegoldia	R_Retroauricular_crease	#acf59a	40	3.0	5.0	#3473f8	#0ea5ef
Flavonifractor	Stool	#e8cb72	1	18.0	3.0	#ff5029	#3c68f9
Frateuria	R_Retroauricular_crease	#acf59a	3	16.0	2.0	#ff964f	#5247fc
Gardnerella	Vaginal_introitus	#ff0000	29	8.0	7.0	#4df3ce	#22d6e0
Gemella	Buccal_mucosa	#445cfb	41	18.0	1.0	#ff5029	#6a22fe
