TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Afipia	Anterior_nares	#8000ff	2	12.0	1.0	#ff964f	#642cfe
Alkaliflexus	Stool	#e8cb72	2	7.0	2.0	#6efebe	#4856fb
Bradyrhizobium	Anterior_nares	#8000ff	3	12.0	1.0	#ff964f	#642cfe
Brevibacillus	Anterior_nares	#8000ff	1	10.0	4.0	#d4dd80	#10a2f0
Dorea	Stool	#e8cb72	357	8.0	7.0	#90feab	#46efd1
Eubacterium	Palatine_Tonsils	#70febc	359	7.0	6.0	#6efebe	#2adddd
Gardnerella	Vaginal_introitus	#ff0000	2	5.0	13.0	#2adddd	#f0c46c
Kluyvera	L_Retroauricular_crease	#34e4d9	2	9.0	14.0	#b2f396	#ffa558
Lachnoclostridium	Stool	#e8cb72	357	8.0	7.0	#90feab	#46efd1
Leptotrichia	Tongue_dorsum	#ff2f18	1	11.0	11.0	#f6be68	#b6f193
Marinilabilia	L_Retroauricular_crease	#34e4d9	3	14.0	9.0	#ff351b	#7effb5
Marinomonas	Anterior_nares	#8000ff	1	7.0	18.0	#6efebe	#ff0000
Mobiluncus	Stool	#e8cb72	3	15.0	5.0	#ff0000	#0dc2e8
Mycobacterium	Mid_vagina	#52f5cb	2	14.0	9.0	#ff351b	#7effb5
Neisseria	Keratinized_gingiva	#17cbe4	3	0.0	0.0	#8000ff	#8000ff
Novosphingobium	Mid_vagina	#52f5cb	2	12.0	1.0	#ff964f	#642cfe
Ornithobacterium	Buccal_mucosa	#445cfb	1	7.0	12.0	#6efebe	#d4dd80
Paludibacter	Stool	#e8cb72	2	13.0	3.0	#ff6835	#2c7ef7
Pantoea	R_Retroauricular_crease	#acf59a	2	9.0	14.0	#b2f396	#ffa558
Polaromonas	Anterior_nares	#8000ff	2	12.0	1.0	#ff964f	#642cfe
Pontibacter	R_Retroauricular_crease	#acf59a	4	2.0	15.0	#3c68f9	#ff8143
Providencia	Buccal_mucosa	#445cfb	1	6.0	8.0	#4df3ce	#62fbc4
Pyramidobacter	Stool	#e8cb72	21	3.0	16.0	#1996f3	#ff592d
Sedimentibacter	Stool	#e8cb72	2	5.0	13.0	#2adddd	#f0c46c
Serratia	Saliva	#cbe486	2	9.0	14.0	#b2f396	#ffa558
Shigella	Stool	#e8cb72	2	9.0	14.0	#b2f396	#ffa558
Sinorhizobium	Stool	#e8cb72	75	1.0	10.0	#5e35fe	#9bfba5
Sphingomonas	Anterior_nares	#8000ff	2	5.0	13.0	#2adddd	#f0c46c
Terrisporobacter	Stool	#e8cb72	2	4.0	17.0	#08bee9	#ff2f18
Turicibacter	Stool	#e8cb72	2	4.0	17.0	#08bee9	#ff2f18
Varibaculum	R_Retroauricular_crease	#acf59a	2	5.0	13.0	#2adddd	#f0c46c
Verrucomicrobium	Stool	#e8cb72	1	7.0	18.0	#6efebe	#ff0000
Vibrio	Anterior_nares	#8000ff	1	6.0	8.0	#4df3ce	#62fbc4
Yersinia	Stool	#e8cb72	2	9.0	14.0	#b2f396	#ffa558
Acidovorax	L_Retroauricular_crease	#34e4d9	2	12.0	1.0	#ff964f	#642cfe
Actinotignum	Buccal_mucosa	#445cfb	2	7.0	2.0	#6efebe	#4856fb
Anoxybacillus	Anterior_nares	#8000ff	1	10.0	4.0	#d4dd80	#10a2f0
Blautia	Stool	#e8cb72	359	8.0	7.0	#90feab	#46efd1
Bacteroides	Stool	#e8cb72	359	7.0	6.0	#6efebe	#2adddd
Chthoniobacter	Stool	#e8cb72	2	5.0	13.0	#2adddd	#f0c46c
Fermentimonas	R_Retroauricular_crease	#acf59a	2	9.0	14.0	#b2f396	#ffa558
Cellulosilyticum	Stool	#e8cb72	1	11.0	11.0	#f6be68	#b6f193
Candidatus Hamiltonella	Stool	#e8cb72	3	14.0	9.0	#ff351b	#7effb5
Mahella	Stool	#e8cb72	1	7.0	18.0	#6efebe	#ff0000
Atopobium	Posterior_fornix	#8efeac	4	15.0	5.0	#ff0000	#0dc2e8
Acetobacterium	Stool	#e8cb72	2	0.0	0.0	#8000ff	#8000ff
Chryseobacterium	R_Retroauricular_crease	#acf59a	1	7.0	12.0	#6efebe	#d4dd80
Algoriphagus	Attached	#622ffe	2	13.0	3.0	#ff6835	#2c7ef7
Fibrella	L_Retroauricular_crease	#34e4d9	4	2.0	15.0	#3c68f9	#ff8143
Buttiauxella	Stool	#e8cb72	1	6.0	8.0	#4df3ce	#62fbc4
Hallella	Subgingival_plaque	#ffac5c	19	3.0	16.0	#1996f3	#ff592d
Mitsuokella	Subgingival_plaque	#ffac5c	27	3.0	16.0	#1996f3	#ff592d
Cellulomonas	Stool	#e8cb72	69	1.0	10.0	#5e35fe	#9bfba5
Leuconostoc	L_Retroauricular_crease	#34e4d9	2	4.0	17.0	#08bee9	#ff2f18
