TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinobacillus	Attached	#622ffe	2	5.0	0.0	#9bfba5	#8000ff
Bacteroides	Stool	#e8cb72	17	7.0	5.0	#ffa558	#66fcc2
Bulleidia	Throat	#ff5c2f	14	9.0	7.0	#ff0000	#c4e88a
Cardiobacterium	Subgingival_plaque	#ffac5c	19	5.0	0.0	#9bfba5	#8000ff
Chryseobacterium	R_Retroauricular_crease	#acf59a	2	5.0	0.0	#9bfba5	#8000ff
Cryptobacterium	Saliva	#cbe486	4	1.0	2.0	#4856fb	#2489f5
Dialister	Stool	#e8cb72	19	8.0	6.0	#ff592d	#96fca7
Eggerthia	Subgingival_plaque	#ffac5c	5	9.0	7.0	#ff0000	#c4e88a
Eikenella	Subgingival_plaque	#ffac5c	19	5.0	0.0	#9bfba5	#8000ff
Escherichia	Stool	#e8cb72	2	5.0	0.0	#9bfba5	#8000ff
Eubacterium	Palatine_Tonsils	#70febc	19	9.0	7.0	#ff0000	#c4e88a
Faecalibacterium	Stool	#e8cb72	3	7.0	5.0	#ffa558	#66fcc2
Filifactor	Palatine_Tonsils	#70febc	10	9.0	7.0	#ff0000	#c4e88a
Gallibacterium	Keratinized_gingiva	#17cbe4	2	7.0	5.0	#ffa558	#66fcc2
Gemella	Buccal_mucosa	#445cfb	19	9.0	7.0	#ff0000	#c4e88a
Gordonia	L_Retroauricular_crease	#34e4d9	4	5.0	0.0	#9bfba5	#8000ff
Granulicatella	Keratinized_gingiva	#17cbe4	16	9.0	7.0	#ff0000	#c4e88a
Haemophilus	Buccal_mucosa_NA	#2686f5	19	5.0	0.0	#9bfba5	#8000ff
Hallella	Subgingival_plaque	#ffac5c	4	9.0	7.0	#ff0000	#c4e88a
Johnsonella	Subgingival_plaque	#ffac5c	10	5.0	0.0	#9bfba5	#8000ff
Kineosphaera	Subgingival_plaque	#ffac5c	5	5.0	0.0	#9bfba5	#8000ff
Kytococcus	Throat	#ff5c2f	7	9.0	8.0	#ff0000	#f2c26b
Lactobacillus	Mid_vagina	#52f5cb	2	2.0	3.0	#10a2f0	#0ac0e8
Leptotrichia	Tongue_dorsum	#ff2f18	19	3.0	11.0	#2adddd	#ff0000
Megasphaera	Saliva	#cbe486	8	9.0	7.0	#ff0000	#c4e88a
Mitsuokella	Subgingival_plaque	#ffac5c	7	1.0	2.0	#4856fb	#2489f5
Mogibacterium	Palatine_Tonsils	#70febc	6	9.0	7.0	#ff0000	#c4e88a
Morococcus	Palatine_Tonsils	#70febc	4	5.0	0.0	#9bfba5	#8000ff
Mycoplasma	Subgingival_plaque	#ffac5c	15	8.0	6.0	#ff592d	#96fca7
Neisseria	Keratinized_gingiva	#17cbe4	19	5.0	0.0	#9bfba5	#8000ff
Olsenella	Palatine_Tonsils	#70febc	13	7.0	5.0	#ffa558	#66fcc2
Oribacterium	Throat	#ff5c2f	19	0.0	10.0	#8000ff	#ff4a26
Oscillibacter	Stool	#e8cb72	3	7.0	5.0	#ffa558	#66fcc2
Ottowia	Supragingival_plaque	#ff8646	11	2.0	3.0	#10a2f0	#0ac0e8
Parabacteroides	Stool	#e8cb72	3	7.0	5.0	#ffa558	#66fcc2
Paraprevotella	Stool	#e8cb72	19	6.0	9.0	#d4dd80	#ff8c49
Parasutterella	Stool	#e8cb72	3	7.0	5.0	#ffa558	#66fcc2
Parvimonas	Subgingival_plaque	#ffac5c	16	9.0	7.0	#ff0000	#c4e88a
Pasteurella	Buccal_mucosa	#445cfb	8	7.0	4.0	#ffa558	#38e7d7
Peptoclostridium	L_Retroauricular_crease	#34e4d9	19	5.0	0.0	#9bfba5	#8000ff
Peptoniphilus	Anterior_nares	#8000ff	2	9.0	7.0	#ff0000	#c4e88a
Peptostreptococcus	Throat	#ff5c2f	11	9.0	7.0	#ff0000	#c4e88a
Phocaeicola	Subgingival_plaque	#ffac5c	4	9.0	7.0	#ff0000	#c4e88a
Porphyrobacter	Saliva	#cbe486	13	5.0	0.0	#9bfba5	#8000ff
Porphyromonas	Saliva	#cbe486	19	9.0	7.0	#ff0000	#c4e88a
Prevotella	Palatine_Tonsils	#70febc	19	8.0	6.0	#ff592d	#96fca7
Propionibacterium	R_Retroauricular_crease	#acf59a	19	5.0	0.0	#9bfba5	#8000ff
Pseudoramibacter	Subgingival_plaque	#ffac5c	4	9.0	7.0	#ff0000	#c4e88a
Riemerella	Buccal_mucosa	#445cfb	2	5.0	0.0	#9bfba5	#8000ff
Roseburia	Stool	#e8cb72	3	7.0	5.0	#ffa558	#66fcc2
Rothia	Hard_palate	#08acee	19	4.0	1.0	#62fbc4	#5247fc
Ruminococcus	Stool	#e8cb72	4	7.0	5.0	#ffa558	#66fcc2
Scardovia	Buccal_mucosa	#445cfb	2	9.0	7.0	#ff0000	#c4e88a
Selenomonas	Supragingival_plaque	#ff8646	19	3.0	11.0	#2adddd	#ff0000
Shuttleworthia	Saliva	#cbe486	9	8.0	6.0	#ff592d	#96fca7
Simonsiella	Keratinized_gingiva	#17cbe4	2	2.0	3.0	#10a2f0	#0ac0e8
Slackia	Palatine_Tonsils	#70febc	4	9.0	7.0	#ff0000	#c4e88a
Solobacterium	Palatine_Tonsils	#70febc	13	9.0	7.0	#ff0000	#c4e88a
Staphylococcus	L_Retroauricular_crease	#34e4d9	6	9.0	7.0	#ff0000	#c4e88a
Stomatobaculum	Tongue_dorsum	#ff2f18	15	9.0	7.0	#ff0000	#c4e88a
Veillonella	Attached	#622ffe	19	9.0	6.0	#ff0000	#96fca7
Abiotrophia	Buccal_mucosa	#445cfb	19	5.0	0.0	#9bfba5	#8000ff
Alistipes	Stool	#e8cb72	5	7.0	5.0	#ffa558	#66fcc2
Anaerococcus	L_Retroauricular_crease	#34e4d9	2	9.0	7.0	#ff0000	#c4e88a
Atopobium	Posterior_fornix	#8efeac	18	8.0	6.0	#ff592d	#96fca7
Anaeroglobus	Subgingival_plaque	#ffac5c	10	1.0	2.0	#4856fb	#2489f5
Carnobacterium	Hard_palate	#08acee	4	9.0	7.0	#ff0000	#c4e88a
Actinobaculum	Subgingival_plaque	#ffac5c	19	1.0	2.0	#4856fb	#2489f5
Campylobacter	Attached	#622ffe	19	9.0	8.0	#ff0000	#f2c26b
Afipia	Anterior_nares	#8000ff	2	2.0	3.0	#10a2f0	#0ac0e8
Corynebacterium	Supragingival_plaque	#ff8646	19	3.0	11.0	#2adddd	#ff0000
Lautropia	Supragingival_plaque	#ff8646	19	5.0	0.0	#9bfba5	#8000ff
Fusobacterium	Throat	#ff5c2f	19	8.0	6.0	#ff592d	#96fca7
Centipeda	Subgingival_plaque	#ffac5c	17	0.0	10.0	#8000ff	#ff4a26
Capnocytophaga	Supragingival_plaque	#ff8646	19	6.0	9.0	#d4dd80	#ff8c49
