	source	target	weight	edge_sample	edge_color
0	Bacteroides	Alloprevotella	1.0	Mixed	#cccccc
1	Centipeda	Alloprevotella	1.0	Mixed	#cccccc
2	Centipeda	Bacteroides	1.0	Mixed	#cccccc
3	Chryseobacterium	Actinobacillus	1.0	Mixed	#cccccc
4	Dialister	Alloprevotella	1.0	Mixed	#cccccc
5	Dialister	Bacteroides	1.0	Stool	#e8cb72
6	Dialister	Centipeda	1.0	Mixed	#cccccc
7	Escherichia	Actinobacillus	1.0	Mixed	#cccccc
8	Escherichia	Chryseobacterium	1.0	Mixed	#cccccc
9	Faecalibacterium	Bacillus	1.0	Mixed	#cccccc
10	Hallella	Eggerthia	0.864098759788	Subgingival_plaque	#ffac5c
11	Kineosphaera	Gordonia	0.864098759788	Mixed	#cccccc
12	Lactobacillus	Afipia	1.0	Mixed	#cccccc
13	Megasphaera	Kytococcus	0.895591052509	Mixed	#cccccc
14	Mogibacterium	Eggerthia	0.879664438186	Mixed	#cccccc
15	Neisseria	Lautropia	1.0	Mixed	#cccccc
16	Oscillibacter	Bacillus	1.0	Mixed	#cccccc
17	Oscillibacter	Faecalibacterium	1.0	Stool	#e8cb72
18	Parabacteroides	Bacillus	1.0	Mixed	#cccccc
19	Parabacteroides	Faecalibacterium	1.0	Stool	#e8cb72
20	Parabacteroides	Oscillibacter	1.0	Stool	#e8cb72
21	Parasutterella	Bacillus	1.0	Mixed	#cccccc
22	Parasutterella	Faecalibacterium	1.0	Stool	#e8cb72
23	Parasutterella	Oscillibacter	1.0	Stool	#e8cb72
24	Parasutterella	Parabacteroides	1.0	Stool	#e8cb72
25	Parvimonas	Granulicatella	1.0	Mixed	#cccccc
26	Pasteurella	Anaeroglobus	0.809039834956	Mixed	#cccccc
27	Peptoniphilus	Anaerococcus	1.0	Mixed	#cccccc
28	Phocaeicola	Eggerthia	0.864098759788	Subgingival_plaque	#ffac5c
29	Phocaeicola	Hallella	1.0	Subgingival_plaque	#ffac5c
30	Propionibacterium	Lautropia	1.0	Mixed	#cccccc
31	Propionibacterium	Neisseria	1.0	Mixed	#cccccc
32	Pseudoramibacter	Eggerthia	0.864098759788	Subgingival_plaque	#ffac5c
33	Pseudoramibacter	Hallella	1.0	Subgingival_plaque	#ffac5c
34	Pseudoramibacter	Phocaeicola	1.0	Subgingival_plaque	#ffac5c
35	Riemerella	Actinobacillus	1.0	Mixed	#cccccc
36	Riemerella	Chryseobacterium	1.0	Mixed	#cccccc
37	Riemerella	Escherichia	1.0	Mixed	#cccccc
38	Roseburia	Bacillus	1.0	Mixed	#cccccc
39	Roseburia	Faecalibacterium	1.0	Stool	#e8cb72
40	Roseburia	Oscillibacter	1.0	Stool	#e8cb72
41	Roseburia	Parabacteroides	1.0	Stool	#e8cb72
42	Roseburia	Parasutterella	1.0	Stool	#e8cb72
43	Ruminococcus	Alistipes	0.864098759788	Stool	#e8cb72
44	Ruminococcus	Bacillus	0.838525491562	Mixed	#cccccc
45	Ruminococcus	Faecalibacterium	0.838525491562	Stool	#e8cb72
46	Ruminococcus	Oscillibacter	0.838525491562	Stool	#e8cb72
47	Ruminococcus	Parabacteroides	0.838525491562	Stool	#e8cb72
48	Ruminococcus	Parasutterella	0.838525491562	Stool	#e8cb72
49	Ruminococcus	Roseburia	0.838525491562	Stool	#e8cb72
50	Scardovia	Anaerococcus	1.0	Mixed	#cccccc
51	Scardovia	Peptoniphilus	1.0	Mixed	#cccccc
52	Simonsiella	Afipia	1.0	Mixed	#cccccc
53	Simonsiella	Lactobacillus	1.0	Mixed	#cccccc
54	Slackia	Eggerthia	0.864098759788	Mixed	#cccccc
55	Slackia	Hallella	1.0	Mixed	#cccccc
56	Slackia	Phocaeicola	1.0	Mixed	#cccccc
57	Slackia	Pseudoramibacter	1.0	Mixed	#cccccc
58	Staphylococcus	Eggerthia	0.879664438186	Mixed	#cccccc
59	Staphylococcus	Mogibacterium	1.0	Mixed	#cccccc
60	Tannerella	Alloprevotella	1.0	Mixed	#cccccc
61	Tannerella	Bacteroides	1.0	Mixed	#cccccc
62	Tannerella	Centipeda	1.0	Subgingival_plaque	#ffac5c
63	Tannerella	Dialister	1.0	Mixed	#cccccc
