	source	target	weight	edge_sample	edge_color
0	Bacillus	Alistipes	0.952483958134	Mixed	#cccccc
1	Bacteroides	Acetivibrio	0.816672316667	Stool	#e8cb72
2	Barnesiella	Alistipes	0.979116918038	Stool	#e8cb72
3	Barnesiella	Bacillus	0.941845587482	Mixed	#cccccc
4	Basfia	Avibacterium	0.864408174728	Mixed	#cccccc
5	Blautia	Bifidobacterium	0.894767302085	Mixed	#cccccc
6	Carnobacterium	Acinetobacter	0.826857490139	Mixed	#cccccc
7	Clostridium	Akkermansia	0.990419725377	Stool	#e8cb72
8	Collinsella	Akkermansia	0.978761685993	Stool	#e8cb72
9	Collinsella	Clostridium	0.970838103017	Stool	#e8cb72
10	Coprococcus	Akkermansia	0.821195558671	Stool	#e8cb72
11	Coprococcus	Clostridium	0.827332332425	Stool	#e8cb72
12	Cryptobacterium	Atopobium	0.929036112322	Mixed	#cccccc
13	Deinococcus	Bifidobacterium	1.0	Mixed	#cccccc
14	Deinococcus	Blautia	0.894767302085	Mixed	#cccccc
15	Dolosigranulum	Afipia	1.0	Anterior_nares	#8000ff
16	Escherichia	Akkermansia	0.999462421808	Stool	#e8cb72
17	Escherichia	Clostridium	0.990367896115	Stool	#e8cb72
18	Escherichia	Collinsella	0.973551647578	Stool	#e8cb72
19	Escherichia	Coprococcus	0.814412894789	Stool	#e8cb72
20	Faecalibacterium	Akkermansia	0.977317478207	Stool	#e8cb72
21	Faecalibacterium	Clostridium	0.981631318677	Stool	#e8cb72
22	Faecalibacterium	Collinsella	0.96502018127	Stool	#e8cb72
23	Faecalibacterium	Coprococcus	0.869983757168	Stool	#e8cb72
24	Faecalibacterium	Escherichia	0.976141254048	Stool	#e8cb72
25	Gemella	Alistipes	0.931708238757	Mixed	#cccccc
26	Gemella	Bacillus	0.981560656342	Mixed	#cccccc
27	Gemella	Barnesiella	0.92328507385	Mixed	#cccccc
28	Granulicatella	Alistipes	0.847405217742	Mixed	#cccccc
29	Granulicatella	Bacillus	0.900730760216	Mixed	#cccccc
30	Granulicatella	Barnesiella	0.842576597946	Mixed	#cccccc
31	Granulicatella	Gemella	0.932385644262	Mixed	#cccccc
32	Intestinimonas	Akkermansia	0.978761685993	Stool	#e8cb72
33	Intestinimonas	Clostridium	0.970838103017	Stool	#e8cb72
34	Intestinimonas	Collinsella	1.0	Stool	#e8cb72
35	Intestinimonas	Escherichia	0.973551647578	Stool	#e8cb72
36	Intestinimonas	Faecalibacterium	0.96502018127	Stool	#e8cb72
37	Isoptericola	Carnobacterium	0.962434029461	Mixed	#cccccc
38	Kineosphaera	Gordonia	1.0	Mixed	#cccccc
39	Lactococcus	Bifidobacterium	0.848856075453	Mixed	#cccccc
40	Lactococcus	Deinococcus	0.848856075453	Anterior_nares	#8000ff
41	Listeria	Bifidobacterium	1.0	Mixed	#cccccc
42	Listeria	Blautia	0.894767302085	Mixed	#cccccc
43	Listeria	Deinococcus	1.0	Mixed	#cccccc
44	Listeria	Lactococcus	0.848856075453	Mixed	#cccccc
45	Megamonas	Bifidobacterium	1.0	Mixed	#cccccc
46	Megamonas	Blautia	0.894767302085	Stool	#e8cb72
47	Megamonas	Deinococcus	1.0	Mixed	#cccccc
48	Megamonas	Lactococcus	0.848856075453	Mixed	#cccccc
49	Megamonas	Listeria	1.0	Mixed	#cccccc
50	Novosphingobium	Afipia	1.0	Mixed	#cccccc
51	Novosphingobium	Dolosigranulum	1.0	Mixed	#cccccc
52	Odoribacter	Acetivibrio	0.980508581317	Stool	#e8cb72
53	Odoribacter	Bacteroides	0.818936291522	Stool	#e8cb72
54	Olsenella	Atopobium	0.866702585968	Mixed	#cccccc
55	Olsenella	Cryptobacterium	0.883477456562	Mixed	#cccccc
56	Oribacterium	Carnobacterium	0.948686827559	Mixed	#cccccc
57	Oribacterium	Isoptericola	0.923835630982	Mixed	#cccccc
58	Oscillibacter	Akkermansia	0.949402692561	Stool	#e8cb72
59	Oscillibacter	Clostridium	0.953981101991	Stool	#e8cb72
60	Oscillibacter	Collinsella	0.946753393073	Stool	#e8cb72
61	Oscillibacter	Coprococcus	0.878672709778	Stool	#e8cb72
62	Oscillibacter	Escherichia	0.944832526803	Stool	#e8cb72
63	Oscillibacter	Faecalibacterium	0.984148715704	Stool	#e8cb72
64	Oscillibacter	Intestinimonas	0.946753393073	Stool	#e8cb72
65	Parabacteroides	Akkermansia	0.998734276727	Stool	#e8cb72
66	Parabacteroides	Clostridium	0.991383492642	Stool	#e8cb72
67	Parabacteroides	Collinsella	0.971356943399	Stool	#e8cb72
68	Parabacteroides	Coprococcus	0.822836127709	Stool	#e8cb72
69	Parabacteroides	Escherichia	0.999482143999	Stool	#e8cb72
70	Parabacteroides	Faecalibacterium	0.980422437852	Stool	#e8cb72
71	Parabacteroides	Intestinimonas	0.971356943399	Stool	#e8cb72
72	Parabacteroides	Oscillibacter	0.948847762173	Stool	#e8cb72
73	Parasutterella	Bacillus	0.814977516206	Mixed	#cccccc
74	Parasutterella	Gemella	0.82121059234	Mixed	#cccccc
75	Parasutterella	Granulicatella	0.809017378725	Mixed	#cccccc
76	Pseudoflavonifractor	Akkermansia	0.999849551164	Stool	#e8cb72
77	Pseudoflavonifractor	Clostridium	0.990206035367	Stool	#e8cb72
78	Pseudoflavonifractor	Collinsella	0.980440502625	Stool	#e8cb72
79	Pseudoflavonifractor	Coprococcus	0.814977516206	Stool	#e8cb72
80	Pseudoflavonifractor	Escherichia	0.999366831156	Stool	#e8cb72
81	Pseudoflavonifractor	Faecalibacterium	0.97638257769	Stool	#e8cb72
82	Pseudoflavonifractor	Intestinimonas	0.980440502625	Stool	#e8cb72
83	Pseudoflavonifractor	Oscillibacter	0.948230911899	Stool	#e8cb72
84	Pseudoflavonifractor	Parabacteroides	0.998418641248	Stool	#e8cb72
85	Psychrobacter	Moraxella	0.970037730941	Mixed	#cccccc
86	Roseburia	Acetivibrio	0.899724646295	Stool	#e8cb72
87	Roseburia	Bacteroides	0.977053451835	Stool	#e8cb72
88	Roseburia	Odoribacter	0.906157211976	Stool	#e8cb72
89	Ruminiclostridium	Akkermansia	0.999849551164	Mixed	#cccccc
90	Ruminiclostridium	Clostridium	0.990206035367	Mixed	#cccccc
91	Ruminiclostridium	Collinsella	0.980440502625	Mixed	#cccccc
92	Ruminiclostridium	Coprococcus	0.814977516206	Mixed	#cccccc
93	Ruminiclostridium	Escherichia	0.999366831156	Mixed	#cccccc
94	Ruminiclostridium	Faecalibacterium	0.97638257769	Mixed	#cccccc
95	Ruminiclostridium	Intestinimonas	0.980440502625	Mixed	#cccccc
96	Ruminiclostridium	Oscillibacter	0.948230911899	Mixed	#cccccc
97	Ruminiclostridium	Parabacteroides	0.998418641248	Mixed	#cccccc
98	Ruminiclostridium	Pseudoflavonifractor	1.0	Mixed	#cccccc
99	Ruminococcus	Akkermansia	0.895764919566	Stool	#e8cb72
100	Ruminococcus	Clostridium	0.915610515023	Stool	#e8cb72
101	Ruminococcus	Collinsella	0.875520392508	Stool	#e8cb72
102	Ruminococcus	Coprococcus	0.883997594057	Stool	#e8cb72
103	Ruminococcus	Escherichia	0.896428316721	Stool	#e8cb72
104	Ruminococcus	Faecalibacterium	0.962674211622	Stool	#e8cb72
105	Ruminococcus	Intestinimonas	0.875520392508	Stool	#e8cb72
106	Ruminococcus	Oscillibacter	0.93991397318	Stool	#e8cb72
107	Ruminococcus	Parabacteroides	0.908274469725	Stool	#e8cb72
108	Ruminococcus	Pseudoflavonifractor	0.89298676479	Stool	#e8cb72
109	Ruminococcus	Ruminiclostridium	0.89298676479	Mixed	#cccccc
110	Sinorhizobium	Akkermansia	0.981824306992	Stool	#e8cb72
111	Sinorhizobium	Butyrivibrio	0.831418293825	Stool	#e8cb72
112	Sinorhizobium	Clostridium	0.970838103017	Stool	#e8cb72
113	Sinorhizobium	Collinsella	0.922527158376	Stool	#e8cb72
114	Sinorhizobium	Escherichia	0.986087788913	Stool	#e8cb72
115	Sinorhizobium	Faecalibacterium	0.949549869179	Stool	#e8cb72
116	Sinorhizobium	Intestinimonas	0.922527158376	Stool	#e8cb72
117	Sinorhizobium	Oscillibacter	0.912614590662	Stool	#e8cb72
118	Sinorhizobium	Parabacteroides	0.986423205513	Stool	#e8cb72
119	Sinorhizobium	Pseudoflavonifractor	0.980440502625	Stool	#e8cb72
120	Sinorhizobium	Ruminiclostridium	0.980440502625	Mixed	#cccccc
121	Sinorhizobium	Ruminococcus	0.875520392508	Stool	#e8cb72
122	Solobacterium	Carnobacterium	0.844499129269	Mixed	#cccccc
123	Solobacterium	Isoptericola	0.813663140669	Mixed	#cccccc
124	Solobacterium	Oribacterium	0.876532625948	Mixed	#cccccc
125	Sphingomonas	Kocuria	1.0	Anterior_nares	#8000ff
126	Staphylococcus	Alistipes	0.903457556217	Mixed	#cccccc
127	Staphylococcus	Bacillus	0.954538169765	Mixed	#cccccc
128	Staphylococcus	Barnesiella	0.89237536282	Mixed	#cccccc
129	Staphylococcus	Gemella	0.964954814849	Mixed	#cccccc
130	Staphylococcus	Granulicatella	0.96888695876	Mixed	#cccccc
131	Staphylococcus	Parasutterella	0.801622084311	Mixed	#cccccc
132	Stenotrophomonas	Kocuria	1.0	Anterior_nares	#8000ff
133	Stenotrophomonas	Sphingomonas	1.0	Anterior_nares	#8000ff
134	Stomatobaculum	Cryptobacterium	0.805047722079	Mixed	#cccccc
135	Stomatobaculum	Olsenella	0.852723799164	Mixed	#cccccc
136	Streptococcus	Alistipes	0.829271503987	Mixed	#cccccc
137	Streptococcus	Bacillus	0.866070243533	Mixed	#cccccc
138	Streptococcus	Barnesiella	0.812010133591	Mixed	#cccccc
139	Streptococcus	Staphylococcus	0.87955281094	Mixed	#cccccc
140	Subdoligranulum	Akkermansia	0.999849551164	Stool	#e8cb72
141	Subdoligranulum	Clostridium	0.990206035367	Stool	#e8cb72
142	Subdoligranulum	Collinsella	0.980440502625	Stool	#e8cb72
143	Subdoligranulum	Coprococcus	0.814977516206	Stool	#e8cb72
144	Subdoligranulum	Escherichia	0.999366831156	Stool	#e8cb72
145	Subdoligranulum	Faecalibacterium	0.97638257769	Stool	#e8cb72
146	Subdoligranulum	Intestinimonas	0.980440502625	Stool	#e8cb72
147	Subdoligranulum	Oscillibacter	0.948230911899	Stool	#e8cb72
148	Subdoligranulum	Parabacteroides	0.998418641248	Stool	#e8cb72
149	Subdoligranulum	Pseudoflavonifractor	1.0	Stool	#e8cb72
150	Subdoligranulum	Ruminiclostridium	1.0	Mixed	#cccccc
151	Subdoligranulum	Ruminococcus	0.89298676479	Stool	#e8cb72
152	Subdoligranulum	Sinorhizobium	0.980440502625	Stool	#e8cb72
153	Tyzzerella	Bifidobacterium	1.0	Mixed	#cccccc
154	Tyzzerella	Blautia	0.894767302085	Stool	#e8cb72
155	Tyzzerella	Deinococcus	1.0	Mixed	#cccccc
156	Tyzzerella	Lactococcus	0.848856075453	Mixed	#cccccc
157	Tyzzerella	Listeria	1.0	Mixed	#cccccc
158	Tyzzerella	Megamonas	1.0	Stool	#e8cb72
159	Verminephrobacter	Aquabacterium	1.0	L_Retroauricular_crease	#34e4d9
160	Vibrio	Alistipes	0.952483958134	Mixed	#cccccc
161	Vibrio	Bacillus	1.0	Anterior_nares	#8000ff
162	Vibrio	Barnesiella	0.941845587482	Mixed	#cccccc
163	Vibrio	Gemella	0.981560656342	Mixed	#cccccc
164	Vibrio	Granulicatella	0.900730760216	Mixed	#cccccc
165	Vibrio	Parasutterella	0.814977516206	Mixed	#cccccc
166	Vibrio	Staphylococcus	0.954538169765	Mixed	#cccccc
167	Vibrio	Streptococcus	0.866070243533	Mixed	#cccccc
