TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Basfia	Buccal_mucosa	#445cfb	4	0.0	3.0	#8000ff	#2adddd
Coprococcus	Stool	#e8cb72	3	5.0	1.0	#beec8e	#4856fb
Deinococcus	Anterior_nares	#8000ff	1	0.0	5.0	#8000ff	#9bfba5
Dolosigranulum	Anterior_nares	#8000ff	2	3.0	0.0	#3febd5	#8000ff
Escherichia	Stool	#e8cb72	4	4.0	6.0	#7effb5	#d4dd80
Intestinimonas	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb
Kineosphaera	Subgingival_plaque	#ffac5c	2	2.0	8.0	#01b3ec	#ff592d
Listeria	L_Retroauricular_crease	#34e4d9	1	0.0	5.0	#8000ff	#9bfba5
Megamonas	Stool	#e8cb72	1	0.0	5.0	#8000ff	#9bfba5
Novosphingobium	Mid_vagina	#52f5cb	2	3.0	0.0	#3febd5	#8000ff
Oscillibacter	Stool	#e8cb72	4	5.0	1.0	#beec8e	#4856fb
Parabacteroides	Stool	#e8cb72	15	0.0	7.0	#8000ff	#ffa558
Parasutterella	Stool	#e8cb72	3	7.0	4.0	#ff6232	#62fbc4
Pseudoflavonifractor	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb
Ruminiclostridium	L_Retroauricular_crease	#34e4d9	2	5.0	1.0	#beec8e	#4856fb
Ruminococcus	Stool	#e8cb72	10	0.0	7.0	#8000ff	#ffa558
Sinorhizobium	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb
Sphingomonas	Anterior_nares	#8000ff	2	6.0	9.0	#feb562	#ff0000
Stenotrophomonas	Anterior_nares	#8000ff	2	6.0	9.0	#feb562	#ff0000
Subdoligranulum	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb
Tyzzerella	Stool	#e8cb72	1	0.0	5.0	#8000ff	#9bfba5
Verminephrobacter	L_Retroauricular_crease	#34e4d9	1	1.0	2.0	#425ffa	#10a2f0
Vibrio	Anterior_nares	#8000ff	2	8.0	4.0	#ff0000	#62fbc4
Avibacterium	Attached	#622ffe	3	0.0	3.0	#8000ff	#2adddd
Akkermansia	Stool	#e8cb72	4	5.0	1.0	#beec8e	#4856fb
Collinsella	Stool	#e8cb72	2	5.0	1.0	#beec8e	#4856fb
Bifidobacterium	Posterior_fornix	#8efeac	1	0.0	5.0	#8000ff	#9bfba5
Afipia	Anterior_nares	#8000ff	2	3.0	0.0	#3febd5	#8000ff
Blautia	Stool	#e8cb72	5	4.0	6.0	#7effb5	#d4dd80
Gordonia	L_Retroauricular_crease	#34e4d9	2	2.0	8.0	#01b3ec	#ff592d
Faecalibacterium	Stool	#e8cb72	10	0.0	7.0	#8000ff	#ffa558
Bacillus	Anterior_nares	#8000ff	2	8.0	4.0	#ff0000	#62fbc4
Kocuria	Anterior_nares	#8000ff	2	6.0	9.0	#feb562	#ff0000
Aquabacterium	L_Retroauricular_crease	#34e4d9	1	1.0	2.0	#425ffa	#10a2f0
