TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobaculum	Actinomyces	Afipia	Aggregatibacter	Alistipes	Anaerococcus	Anaeroglobus	Atopobium	Bacillus	Bacteroides	Blautia	Bradyrhizobium	Brochothrix	Bulleidia	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Citrobacter	Conchiformibius	Corynebacterium	Dialister	Dolosigranulum	Eikenella	Enterococcus	Eubacterium	Faecalibacterium	Filifactor	Fusobacterium	Gemella	Gordonia	Granulicatella	Haemophilus	Isoptericola	Janibacter	Johnsonella	Kingella	Kytococcus	Lachnoanaerobaculum	Lachnoclostridium	Lactobacillus	Lactococcus	Lautropia	Leucobacter	Mannheimia	Megasphaera	Mitsuokella	Mobiluncus	Mogibacterium	Morococcus	Mycobacterium	Mycoplasma	Necropsobacter	Neisseria	Novosphingobium	Olsenella	Oribacterium	Ottowia	Parabacteroides	Paraprevotella	Parvimonas	Peptoclostridium	Peptoniphilus	Peptostreptococcus	Porphyrobacter	Porphyromonas	Propionibacterium	Pseudoflavonifractor	Pseudomonas	Psychrobacter	Roseburia	Rothia	Sanguibacter	Scardovia	Selenomonas	Simonsiella	Slackia	Snodgrassella	Solobacterium	Sphingobium	Staphylococcus	Stenotrophomonas	Stenoxybacter	Stomatobaculum	Streptococcus	Tannerella	Thiomicrospira	Treponema	Trueperella	Varibaculum	Veillonella	Xylanimonas
Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9985905362958944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.902385105321295	0.0	0.0	0.0	0.0	0.0	0.935662837569789	0.0	0.0	0.0	0.0	0.0	0.0	0.9760704896167505	0.0	0.9859198930735427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8393828063467862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8813315440786258	0.9753353140619729	0.0	0.0	0.0	0.0	0.8778770164807965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8094386775304407	0.0	0.0	0.0	0.0	0.0
Acidovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999992	0.8882347881956875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.0	0.0	0.0	0.8480976248744169	0.0	0.9983057145186077	0.0	0.9338345313707025	0.0	0.0	0.0	0.9988101372060192	0.0	0.0	0.9988101372060192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9567883146733019	0.9942023875867091	0.0	0.0	0.0	0.0	0.0	0.9338345313707025	0.0	0.0	0.0	0.0	0.8593903307047788	0.0	0.0	0.9988101372060192	0.0	0.9824763758168273	0.0	0.0	0.0	0.0	0.9611268029242575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9239089911450099	0.0	0.0	0.9104929245932724	0.9988101372060192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8906112477219255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9988101372060192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum	0.0	0.0	0.8480976248744169	0.0	0.0	0.8442512361807037	0.0	0.8290094679567831	0.0	0.0	0.0	0.8491079468284212	0.0	0.0	0.8491079468284212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8632962270744002	0.0	0.0	0.0	0.0	0.0	0.8290094679567831	0.0	0.0	0.0	0.0	0.0	0.8377594999678449	0.0	0.8491079468284212	0.0	0.8924577005563304	0.0	0.0	0.0	0.0	0.9007416351534886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8956127137248091	0.8491079468284212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8458133505103143	0.0	0.0	0.0	0.0	0.0	0.8212432071637313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8491079468284212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8998719000081201	0.0	0.0	0.0	0.8443952518368643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8311590448417051	0.0	0.0	0.0	0.0	0.8037785631301042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8296287189705551
Afipia	0.0	0.0	0.9983057145186077	0.8442512361807037	0.0	0.0	0.0	0.9295992989187841	0.0	0.0	0.0	0.994280220005173	0.0	0.0	0.994280220005173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9720871029068046	0.9931084402570464	0.0	0.0	0.0	0.0	0.0	0.9295992989187841	0.0	0.0	0.0	0.0	0.8524798383420259	0.0	0.0	0.994280220005173	0.0	0.9759704186001387	0.0	0.0	0.0	0.0	0.9497982162914358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9000806508396338	0.0	0.0	0.9058426431740931	0.994280220005173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8745462010240196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.994280220005173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aggregatibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.957859722879066	0.0	0.0	0.838304761455005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9381377416183643	0.0	0.0	0.0	0.8475947458101385	0.0	0.0	0.0	0.0	0.8248232618301755	0.0	0.0	0.0	0.8016958017919993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes	0.0	0.0	0.9338345313707025	0.8290094679567831	0.0	0.9295992989187841	0.0	0.0	0.0	0.0	0.0	0.9349469900084572	0.0	0.0	0.9349469900084572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.880223487774413	0.9548713696126344	0.0	0.0	0.0	0.0	0.0	0.8636363636363635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9349469900084572	0.0	0.931160010316841	0.0	0.0	0.0	0.0	0.8955224420057923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.880223487774413	0.0	0.0	0.9463861607986458	0.9349469900084572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9343093086861127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9349469900084572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9230769230769238	0.9236597958737752	0.0	0.0	0.0	0.0	0.8317368033995682	0.0	0.0	0.0	0.0	0.0	0.0	0.9123969231379409	0.0	0.0	0.9184776561195185	0.0	0.9247792084700145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8451796496070468	0.0	0.0	0.0	0.0	0.0	0.0	0.9207935600791485	0.0	0.0	0.0	0.0	0.9176827463582063	0.0	0.0	0.9126682823464415	0.0	0.0	0.0	0.0	0.0	0.9123969231379409	0.0	0.0	0.0	0.0	0.0	0.0	0.8690481892534818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9180644810265393	0.0	0.0	0.0	0.0
Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8533227443442523	0.0	0.8925915027440303	0.0	0.0	0.9130402631712115	0.0	0.0	0.0
