TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinobaculum	Subgingival_plaque	#ffac5c	11	7.0	1.0	#ffa558	#386df9
Afipia	Anterior_nares	#8000ff	2	7.0	1.0	#ffa558	#386df9
Alistipes	Stool	#e8cb72	3	7.0	1.0	#ffa558	#386df9
Bacillus	Anterior_nares	#8000ff	2	7.0	1.0	#ffa558	#386df9
Bradyrhizobium	Anterior_nares	#8000ff	2	7.0	1.0	#ffa558	#386df9
Brochothrix	Saliva	#cbe486	2	6.0	4.0	#d4dd80	#a2f9a0
Bulleidia	Throat	#ff5c2f	6	6.0	4.0	#d4dd80	#a2f9a0
Cardiobacterium	Subgingival_plaque	#ffac5c	5	8.0	0.0	#ff592d	#8000ff
Catonella	Subgingival_plaque	#ffac5c	15	6.0	4.0	#d4dd80	#a2f9a0
Centipeda	Subgingival_plaque	#ffac5c	6	4.0	6.0	#62fbc4	#ff703a
Citrobacter	Anterior_nares	#8000ff	1	7.0	1.0	#ffa558	#386df9
Conchiformibius	R_Retroauricular_crease	#acf59a	2	7.0	1.0	#ffa558	#386df9
Corynebacterium	Supragingival_plaque	#ff8646	15	7.0	1.0	#ffa558	#386df9
Dolosigranulum	Anterior_nares	#8000ff	2	6.0	4.0	#d4dd80	#a2f9a0
Eubacterium	Palatine_Tonsils	#70febc	13	6.0	4.0	#d4dd80	#a2f9a0
Faecalibacterium	Stool	#e8cb72	3	7.0	1.0	#ffa558	#386df9
Filifactor	Palatine_Tonsils	#70febc	8	6.0	4.0	#d4dd80	#a2f9a0
Gemella	Buccal_mucosa	#445cfb	15	5.0	0.0	#9bfba5	#8000ff
Gordonia	L_Retroauricular_crease	#34e4d9	1	3.0	5.0	#2adddd	#ecc86f
Granulicatella	Keratinized_gingiva	#17cbe4	13	7.0	1.0	#ffa558	#386df9
Haemophilus	Buccal_mucosa_NA	#2686f5	15	5.0	0.0	#9bfba5	#8000ff
Isoptericola	Tongue_dorsum	#ff2f18	13	2.0	2.0	#10a2f0	#10c6e6
Janibacter	Anterior_nares	#8000ff	2	7.0	1.0	#ffa558	#386df9
Johnsonella	Subgingival_plaque	#ffac5c	6	8.0	0.0	#ff592d	#8000ff
Kingella	Supragingival_plaque	#ff8646	13	7.0	1.0	#ffa558	#386df9
Kytococcus	Throat	#ff5c2f	12	2.0	2.0	#10a2f0	#10c6e6
Lachnoanaerobaculum	Tongue_dorsum	#ff2f18	15	1.0	7.0	#4856fb	#ff0000
Lachnoclostridium	Stool	#e8cb72	2	0.0	2.0	#8000ff	#10c6e6
Lactobacillus	Mid_vagina	#52f5cb	6	2.0	2.0	#10a2f0	#10c6e6
Lactococcus	Anterior_nares	#8000ff	4	7.0	1.0	#ffa558	#386df9
Lautropia	Supragingival_plaque	#ff8646	12	8.0	0.0	#ff592d	#8000ff
Leucobacter	L_Retroauricular_crease	#34e4d9	2	2.0	2.0	#10a2f0	#10c6e6
Mannheimia	Buccal_mucosa_NA	#2686f5	3	8.0	0.0	#ff592d	#8000ff
Megasphaera	Saliva	#cbe486	15	2.0	2.0	#10a2f0	#10c6e6
Mitsuokella	Subgingival_plaque	#ffac5c	2	4.0	6.0	#62fbc4	#ff703a
Mobiluncus	Stool	#e8cb72	2	1.0	7.0	#4856fb	#ff0000
Mogibacterium	Palatine_Tonsils	#70febc	9	6.0	4.0	#d4dd80	#a2f9a0
Morococcus	Palatine_Tonsils	#70febc	7	9.0	0.0	#ff0000	#8000ff
Mycobacterium	Mid_vagina	#52f5cb	2	7.0	5.0	#ffa558	#ecc86f
Mycoplasma	Subgingival_plaque	#ffac5c	4	6.0	4.0	#d4dd80	#a2f9a0
Necropsobacter	Attached	#622ffe	1	3.0	5.0	#2adddd	#ecc86f
Neisseria	Keratinized_gingiva	#17cbe4	13	7.0	1.0	#ffa558	#386df9
Novosphingobium	Mid_vagina	#52f5cb	2	7.0	1.0	#ffa558	#386df9
Olsenella	Palatine_Tonsils	#70febc	3	6.0	4.0	#d4dd80	#a2f9a0
Oribacterium	Throat	#ff5c2f	15	9.0	0.0	#ff0000	#8000ff
Ottowia	Supragingival_plaque	#ff8646	1	7.0	1.0	#ffa558	#386df9
Parabacteroides	Stool	#e8cb72	4	6.0	4.0	#d4dd80	#a2f9a0
Paraprevotella	Stool	#e8cb72	10	1.0	7.0	#4856fb	#ff0000
Parvimonas	Subgingival_plaque	#ffac5c	13	6.0	4.0	#d4dd80	#a2f9a0
Peptoclostridium	L_Retroauricular_crease	#34e4d9	6	9.0	0.0	#ff0000	#8000ff
Peptoniphilus	Anterior_nares	#8000ff	13	5.0	0.0	#9bfba5	#8000ff
Peptostreptococcus	Throat	#ff5c2f	15	6.0	4.0	#d4dd80	#a2f9a0
Porphyrobacter	Saliva	#cbe486	5	9.0	0.0	#ff0000	#8000ff
Porphyromonas	Saliva	#cbe486	15	8.0	0.0	#ff592d	#8000ff
Propionibacterium	R_Retroauricular_crease	#acf59a	9	5.0	0.0	#9bfba5	#8000ff
Pseudoflavonifractor	Stool	#e8cb72	1	3.0	5.0	#2adddd	#ecc86f
Pseudomonas	Vaginal_introitus	#ff0000	4	7.0	1.0	#ffa558	#386df9
Psychrobacter	Saliva	#cbe486	2	6.0	4.0	#d4dd80	#a2f9a0
Roseburia	Stool	#e8cb72	1	4.0	3.0	#62fbc4	#5af8c8
Rothia	Hard_palate	#08acee	15	5.0	0.0	#9bfba5	#8000ff
Sanguibacter	Throat	#ff5c2f	15	2.0	2.0	#10a2f0	#10c6e6
Scardovia	Buccal_mucosa	#445cfb	2	2.0	2.0	#10a2f0	#10c6e6
Selenomonas	Supragingival_plaque	#ff8646	15	4.0	6.0	#62fbc4	#ff703a
Simonsiella	Keratinized_gingiva	#17cbe4	9	5.0	0.0	#9bfba5	#8000ff
Slackia	Palatine_Tonsils	#70febc	2	6.0	4.0	#d4dd80	#a2f9a0
Snodgrassella	Throat	#ff5c2f	5	9.0	0.0	#ff0000	#8000ff
Solobacterium	Palatine_Tonsils	#70febc	15	2.0	2.0	#10a2f0	#10c6e6
Sphingobium	Vaginal_introitus	#ff0000	2	7.0	1.0	#ffa558	#386df9
Staphylococcus	L_Retroauricular_crease	#34e4d9	15	4.0	6.0	#62fbc4	#ff703a
Stenotrophomonas	Anterior_nares	#8000ff	1	3.0	5.0	#2adddd	#ecc86f
Stenoxybacter	Throat	#ff5c2f	2	8.0	0.0	#ff592d	#8000ff
Stomatobaculum	Tongue_dorsum	#ff2f18	15	2.0	2.0	#10a2f0	#10c6e6
Streptococcus	Buccal_mucosa_NA	#2686f5	15	7.0	1.0	#ffa558	#386df9
Tannerella	Subgingival_plaque	#ffac5c	12	0.0	2.0	#8000ff	#10c6e6
Thiomicrospira	Throat	#ff5c2f	4	9.0	0.0	#ff0000	#8000ff
Treponema	Subgingival_plaque	#ffac5c	15	6.0	4.0	#d4dd80	#a2f9a0
Trueperella	Tongue_dorsum	#ff2f18	11	2.0	2.0	#10a2f0	#10c6e6
Varibaculum	R_Retroauricular_crease	#acf59a	5	9.0	0.0	#ff0000	#8000ff
Veillonella	Attached	#622ffe	15	2.0	2.0	#10a2f0	#10c6e6
Xylanimonas	Throat	#ff5c2f	11	2.0	2.0	#10a2f0	#10c6e6
Acinetobacter	Anterior_nares	#8000ff	2	7.0	1.0	#ffa558	#386df9
Anaeroglobus	Subgingival_plaque	#ffac5c	5	6.0	4.0	#d4dd80	#a2f9a0
Bacteroides	Stool	#e8cb72	15	6.0	4.0	#d4dd80	#a2f9a0
Abiotrophia	Buccal_mucosa	#445cfb	13	8.0	0.0	#ff592d	#8000ff
Campylobacter	Attached	#622ffe	15	4.0	6.0	#62fbc4	#ff703a
Acidovorax	L_Retroauricular_crease	#34e4d9	1	7.0	1.0	#ffa558	#386df9
Aggregatibacter	Saliva	#cbe486	13	5.0	0.0	#9bfba5	#8000ff
Blautia	Stool	#e8cb72	1	3.0	5.0	#2adddd	#ecc86f
Carnobacterium	Hard_palate	#08acee	15	7.0	1.0	#ffa558	#386df9
Actinomyces	Tongue_dorsum	#ff2f18	15	2.0	2.0	#10a2f0	#10c6e6
Cellulomonas	Stool	#e8cb72	6	2.0	2.0	#10a2f0	#10c6e6
Dialister	Stool	#e8cb72	11	2.0	2.0	#10a2f0	#10c6e6
Capnocytophaga	Supragingival_plaque	#ff8646	15	1.0	7.0	#4856fb	#ff0000
Eikenella	Subgingival_plaque	#ffac5c	3	0.0	2.0	#8000ff	#10c6e6
Enterococcus	Anterior_nares	#8000ff	5	9.0	0.0	#ff0000	#8000ff
Fusobacterium	Throat	#ff5c2f	15	1.0	7.0	#4856fb	#ff0000
Anaerococcus	L_Retroauricular_crease	#34e4d9	1	4.0	3.0	#62fbc4	#5af8c8
Atopobium	Posterior_fornix	#8efeac	15	0.0	2.0	#8000ff	#10c6e6
