TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Afipia	Anterior_nares	#8000ff	2	6.0	2.0	#6afdc0	#3c68f9
Bacillus	Anterior_nares	#8000ff	2	6.0	2.0	#6afdc0	#3c68f9
Bradyrhizobium	Anterior_nares	#8000ff	2	6.0	2.0	#6afdc0	#3c68f9
Bulleidia	Throat	#ff5c2f	6	9.0	8.0	#e0d377	#90feab
Capnocytophaga	Supragingival_plaque	#ff8646	15	5.0	4.0	#44eed2	#08bee9
Citrobacter	Anterior_nares	#8000ff	1	0.0	1.0	#8000ff	#5e35fe
Conchiformibius	R_Retroauricular_crease	#acf59a	2	6.0	2.0	#6afdc0	#3c68f9
Dolosigranulum	Anterior_nares	#8000ff	2	9.0	8.0	#e0d377	#90feab
Gordonia	L_Retroauricular_crease	#34e4d9	1	6.0	7.0	#6afdc0	#6efebe
Granulicatella	Keratinized_gingiva	#17cbe4	13	7.0	0.0	#92fda9	#8000ff
Isoptericola	Tongue_dorsum	#ff2f18	13	7.0	0.0	#92fda9	#8000ff
Janibacter	Anterior_nares	#8000ff	2	6.0	2.0	#6afdc0	#3c68f9
Lactococcus	Anterior_nares	#8000ff	4	12.0	9.0	#ff3e1f	#b2f396
Lautropia	Supragingival_plaque	#ff8646	12	0.0	3.0	#8000ff	#1996f3
Mogibacterium	Palatine_Tonsils	#70febc	9	8.0	12.0	#b9ef92	#ff964f
Mycobacterium	Mid_vagina	#52f5cb	2	6.0	2.0	#6afdc0	#3c68f9
Mycoplasma	Subgingival_plaque	#ffac5c	4	1.0	5.0	#5a3bfd	#2adddd
Necropsobacter	Attached	#622ffe	1	6.0	7.0	#6afdc0	#6efebe
Neisseria	Keratinized_gingiva	#17cbe4	13	0.0	3.0	#8000ff	#1996f3
Novosphingobium	Mid_vagina	#52f5cb	2	6.0	2.0	#6afdc0	#3c68f9
Olsenella	Palatine_Tonsils	#70febc	3	1.0	5.0	#5a3bfd	#2adddd
Ottowia	Supragingival_plaque	#ff8646	1	0.0	1.0	#8000ff	#5e35fe
Parabacteroides	Stool	#e8cb72	4	1.0	5.0	#5a3bfd	#2adddd
Parvimonas	Subgingival_plaque	#ffac5c	13	4.0	11.0	#1dd1e2	#f6be68
Peptoclostridium	L_Retroauricular_crease	#34e4d9	6	2.0	10.0	#3176f8	#d4dd80
Peptoniphilus	Anterior_nares	#8000ff	13	5.0	4.0	#44eed2	#08bee9
Porphyrobacter	Saliva	#cbe486	5	2.0	10.0	#3176f8	#d4dd80
Pseudoflavonifractor	Stool	#e8cb72	1	6.0	7.0	#6afdc0	#6efebe
Pseudomonas	Vaginal_introitus	#ff0000	4	1.0	5.0	#5a3bfd	#2adddd
Psychrobacter	Saliva	#cbe486	2	9.0	8.0	#e0d377	#90feab
Roseburia	Stool	#e8cb72	1	3.0	6.0	#0ca7ef	#4df3ce
Scardovia	Buccal_mucosa	#445cfb	2	13.0	14.0	#ff0000	#ff351b
Slackia	Palatine_Tonsils	#70febc	2	9.0	8.0	#e0d377	#90feab
Snodgrassella	Throat	#ff5c2f	5	2.0	10.0	#3176f8	#d4dd80
Sphingobium	Vaginal_introitus	#ff0000	2	6.0	2.0	#6afdc0	#3c68f9
Stenotrophomonas	Anterior_nares	#8000ff	1	6.0	7.0	#6afdc0	#6efebe
Tannerella	Subgingival_plaque	#ffac5c	12	11.0	13.0	#ff793e	#ff6835
Thiomicrospira	Throat	#ff5c2f	4	2.0	10.0	#3176f8	#d4dd80
Treponema	Subgingival_plaque	#ffac5c	15	10.0	15.0	#ffa95b	#ff0000
Trueperella	Tongue_dorsum	#ff2f18	11	11.0	13.0	#ff793e	#ff6835
Varibaculum	R_Retroauricular_crease	#acf59a	5	2.0	10.0	#3176f8	#d4dd80
Xylanimonas	Throat	#ff5c2f	11	11.0	13.0	#ff793e	#ff6835
Acinetobacter	Anterior_nares	#8000ff	2	6.0	2.0	#6afdc0	#3c68f9
Brochothrix	Saliva	#cbe486	2	9.0	8.0	#e0d377	#90feab
Aggregatibacter	Saliva	#cbe486	13	5.0	4.0	#44eed2	#08bee9
Acidovorax	L_Retroauricular_crease	#34e4d9	1	0.0	1.0	#8000ff	#5e35fe
Blautia	Stool	#e8cb72	1	6.0	7.0	#6afdc0	#6efebe
Abiotrophia	Buccal_mucosa	#445cfb	13	7.0	0.0	#92fda9	#8000ff
Cardiobacterium	Subgingival_plaque	#ffac5c	5	12.0	9.0	#ff3e1f	#b2f396
Actinobaculum	Subgingival_plaque	#ffac5c	11	0.0	3.0	#8000ff	#1996f3
Filifactor	Palatine_Tonsils	#70febc	8	8.0	12.0	#b9ef92	#ff964f
Alistipes	Stool	#e8cb72	3	1.0	5.0	#5a3bfd	#2adddd
Faecalibacterium	Stool	#e8cb72	3	1.0	5.0	#5a3bfd	#2adddd
Eubacterium	Palatine_Tonsils	#70febc	13	4.0	11.0	#1dd1e2	#f6be68
Enterococcus	Anterior_nares	#8000ff	5	2.0	10.0	#3176f8	#d4dd80
Morococcus	Palatine_Tonsils	#70febc	7	2.0	10.0	#3176f8	#d4dd80
Anaerococcus	L_Retroauricular_crease	#34e4d9	1	3.0	6.0	#0ca7ef	#4df3ce
Leucobacter	L_Retroauricular_crease	#34e4d9	2	13.0	14.0	#ff0000	#ff351b
Kytococcus	Throat	#ff5c2f	12	11.0	13.0	#ff793e	#ff6835
Mannheimia	Buccal_mucosa_NA	#2686f5	3	2.0	10.0	#3176f8	#d4dd80
Megasphaera	Saliva	#cbe486	15	10.0	15.0	#ffa95b	#ff0000
