	Holdouts
0	1340
1	1232
2	845
3	929
4	1546
5	295
6	110
7	1373
8	719
9	65
10	872
11	646
12	1481
13	1648
14	718
15	1002
16	1593
17	476
18	1452
19	1208
20	187
21	814
22	306
23	545
24	233
25	554
26	404
27	1412
28	249
29	943
30	1113
31	1074
32	1586
33	1079
34	1131
35	674
36	1354
37	620
38	758
39	154
40	596
41	905
42	1009
43	59
44	1427
45	1617
46	480
47	1484
48	282
49	1063
50	1350
51	369
52	495
53	1282
54	550
55	32
56	852
57	1053
58	1130
59	1294
60	1303
61	1381
62	89
63	1635
64	1379
65	1328
66	90
67	1049
68	640
69	442
70	509
71	95
72	1199
73	822
74	1490
75	625
76	1566
77	54
78	825
79	986
80	1198
81	1181
82	983
83	1247
84	220
85	1018
86	1330
87	786
88	118
89	633
90	859
91	1654
92	69
93	1141
94	1312
95	411
96	620
97	1344
98	464
99	143
