TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax sp. MR-S7	Buccal_mucosa	#445cfb	4	1.0	1.0	#2c7ef7	#4856fb
Acidovorax sp. NO-1	R_Retroauricular_crease	#acf59a	2	1.0	1.0	#2c7ef7	#4856fb
Acinetobacter indicus	Anterior_nares	#8000ff	2	5.0	2.0	#ff8143	#10a2f0
Acinetobacter junii	Anterior_nares	#8000ff	88	5.0	0.0	#ff8143	#8000ff
Acinetobacter sp. 243_ASPC	Anterior_nares	#8000ff	1	3.0	1.0	#7effb5	#4856fb
Acinetobacter sp. CIP 101966	R_Retroauricular_crease	#acf59a	2	6.0	1.0	#ff0000	#4856fb
Acinetobacter sp. CIP 102136	Anterior_nares	#8000ff	1	6.0	2.0	#ff0000	#10a2f0
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	10	5.0	2.0	#ff8143	#10a2f0
Acinetobacter sp. NIPH 284	L_Retroauricular_crease	#34e4d9	3	3.0	1.0	#7effb5	#4856fb
Acinetobacter sp. NIPH 713	Anterior_nares	#8000ff	2	0.0	4.0	#8000ff	#62fbc4
Acinetobacter sp. P8-3-8	R_Retroauricular_crease	#acf59a	2	3.0	1.0	#7effb5	#4856fb
Acinetobacter sp. VT 511	Anterior_nares	#8000ff	1	0.0	4.0	#8000ff	#62fbc4
Acinetobacter tandoii	Anterior_nares	#8000ff	1	3.0	1.0	#7effb5	#4856fb
Acinetobacter towneri	Anterior_nares	#8000ff	8	5.0	2.0	#ff8143	#10a2f0
Actinobacteria bacterium UC5.1-1B11	Anterior_nares	#8000ff	1	6.0	1.0	#ff0000	#4856fb
Actinobaculum suis	Throat	#ff5c2f	3	6.0	1.0	#ff0000	#4856fb
Actinomyces dentalis	Subgingival_plaque	#ffac5c	45	5.0	3.0	#ff8143	#2adddd
Actinomyces europaeus	Anterior_nares	#8000ff	2	6.0	1.0	#ff0000	#4856fb
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	36	5.0	3.0	#ff8143	#2adddd
Actinomyces massiliensis	Supragingival_plaque	#ff8646	121	5.0	0.0	#ff8143	#8000ff
Actinomyces meyeri	Subgingival_plaque	#ffac5c	12	5.0	3.0	#ff8143	#2adddd
Actinomyces naeslundii	Supragingival_plaque	#ff8646	91	5.0	0.0	#ff8143	#8000ff
Actinomyces neuii	Posterior_fornix	#8efeac	11	1.0	1.0	#2c7ef7	#4856fb
Actinomyces odontolyticus	Throat	#ff5c2f	82	5.0	3.0	#ff8143	#2adddd
Actinomyces oris	Supragingival_plaque	#ff8646	114	5.0	0.0	#ff8143	#8000ff
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	7	1.0	1.0	#2c7ef7	#4856fb
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	49	5.0	3.0	#ff8143	#2adddd
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	112	5.0	0.0	#ff8143	#8000ff
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	10	1.0	3.0	#2c7ef7	#2adddd
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	18	5.0	3.0	#ff8143	#2adddd
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	67	5.0	0.0	#ff8143	#8000ff
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	90	5.0	0.0	#ff8143	#8000ff
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	25	5.0	3.0	#ff8143	#2adddd
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	53	5.0	0.0	#ff8143	#8000ff
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	12	5.0	3.0	#ff8143	#2adddd
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	23	5.0	3.0	#ff8143	#2adddd
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	70	5.0	3.0	#ff8143	#2adddd
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	27	5.0	3.0	#ff8143	#2adddd
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	11	1.0	1.0	#2c7ef7	#4856fb
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff2f18	45	5.0	3.0	#ff8143	#2adddd
Actinomyces sp. SD1	L_Retroauricular_crease	#34e4d9	5	5.0	3.0	#ff8143	#2adddd
Actinomyces timonensis	Subgingival_plaque	#ffac5c	7	3.0	1.0	#7effb5	#4856fb
