TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax temperans	L_Retroauricular_crease	#34e4d9	2	10.0	1.0	#ff4a26	#4e4dfc
Acinetobacter baumannii	Keratinized_gingiva	#17cbe4	3	10.0	1.0	#ff4a26	#4e4dfc
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces dentalis	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	4	7.0	2.0	#c4e88a	#1996f3
Actinomyces massiliensis	Supragingival_plaque	#ff8646	4	10.0	1.0	#ff4a26	#4e4dfc
Actinomyces naeslundii	Supragingival_plaque	#ff8646	4	10.0	1.0	#ff4a26	#4e4dfc
Actinomyces odontolyticus	Throat	#ff5c2f	8	2.0	0.0	#2489f5	#8000ff
Actinomyces oris	Supragingival_plaque	#ff8646	5	2.0	0.0	#2489f5	#8000ff
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	5	3.0	4.0	#0ac0e8	#4df3ce
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	6	7.0	2.0	#c4e88a	#1996f3
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	2	11.0	5.0	#ff0000	#7effb5
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff8646	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	4	2.0	0.0	#2489f5	#8000ff
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	2	7.0	2.0	#c4e88a	#1996f3
Actinomyces viscosus	Attached	#622ffe	6	3.0	4.0	#0ac0e8	#4df3ce
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	6	11.0	0.0	#ff0000	#8000ff
Aggregatibacter aphrophilus	Saliva	#cbe486	10	8.0	0.0	#f2c26b	#8000ff
Aggregatibacter segnis	Supragingival_plaque	#ff8646	10	8.0	0.0	#f2c26b	#8000ff
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	4	7.0	2.0	#c4e88a	#1996f3
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	8	7.0	2.0	#c4e88a	#1996f3
Alysiella crassa	Keratinized_gingiva	#17cbe4	2	10.0	1.0	#ff4a26	#4e4dfc
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Atopobium parvulum	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Atopobium rimae	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Atopobium sp. ICM42b	Saliva	#cbe486	2	7.0	2.0	#c4e88a	#1996f3
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	2	7.0	2.0	#c4e88a	#1996f3
Avibacterium paragallinarum	Attached	#622ffe	2	10.0	1.0	#ff4a26	#4e4dfc
Bacteroides caccae	Stool	#e8cb72	2	7.0	2.0	#c4e88a	#1996f3
Brochothrix thermosphacta	Saliva	#cbe486	2	10.0	1.0	#ff4a26	#4e4dfc
Bulleidia extructa	Throat	#ff5c2f	2	7.0	2.0	#c4e88a	#1996f3
Campylobacter gracilis	Subgingival_plaque	#ffac5c	8	8.0	0.0	#f2c26b	#8000ff
