TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax sp. JHL-9	Anterior_nares	#8000ff	1	2.0	1.0	#4df3ce	#2c7ef7
Acidovorax sp. JS42	Buccal_mucosa	#445cfb	20	2.0	2.0	#4df3ce	#2adddd
Acidovorax sp. MR-S7	Buccal_mucosa	#445cfb	10	2.0	1.0	#4df3ce	#2c7ef7
Acidovorax temperans	L_Retroauricular_crease	#34e4d9	57	2.0	2.0	#4df3ce	#2adddd
Acinetobacter johnsonii	Anterior_nares	#8000ff	10	2.0	1.0	#4df3ce	#2c7ef7
Acinetobacter junii	Anterior_nares	#8000ff	28	2.0	1.0	#4df3ce	#2c7ef7
Actinobacillus minor	Buccal_mucosa_NA	#2686f5	85	2.0	0.0	#4df3ce	#8000ff
Actinobacillus succinogenes	Keratinized_gingiva	#17cbe4	7	2.0	1.0	#4df3ce	#2c7ef7
Actinobacillus ureae	Keratinized_gingiva	#17cbe4	83	2.0	2.0	#4df3ce	#2adddd
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	226	2.0	0.0	#4df3ce	#8000ff
Actinomyces georgiae	Subgingival_plaque	#ffac5c	46	2.0	2.0	#4df3ce	#2adddd
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	191	2.0	2.0	#4df3ce	#2adddd
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	251	2.0	2.0	#4df3ce	#2adddd
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	225	2.0	0.0	#4df3ce	#8000ff
Actinomyces massiliensis	Supragingival_plaque	#ff8646	233	2.0	2.0	#4df3ce	#2adddd
Actinomyces meyeri	Subgingival_plaque	#ffac5c	81	2.0	2.0	#4df3ce	#2adddd
Actinomyces naeslundii	Supragingival_plaque	#ff8646	242	2.0	2.0	#4df3ce	#2adddd
Actinomyces odontolyticus	Throat	#ff5c2f	246	2.0	2.0	#4df3ce	#2adddd
Actinomyces oris	Supragingival_plaque	#ff8646	252	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	78	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	206	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	243	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	95	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	126	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	232	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	246	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	147	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	233	2.0	0.0	#4df3ce	#8000ff
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff8646	34	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff2f18	35	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	95	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	95	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	137	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	104	2.0	0.0	#4df3ce	#8000ff
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	126	2.0	0.0	#4df3ce	#8000ff
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	33	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	112	2.0	2.0	#4df3ce	#2adddd
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff2f18	208	2.0	2.0	#4df3ce	#2adddd
Actinomyces timonensis	Subgingival_plaque	#ffac5c	116	2.0	0.0	#4df3ce	#8000ff
Actinomyces viscosus	Attached	#622ffe	242	2.0	0.0	#4df3ce	#8000ff
Actinotignum schaalii	Buccal_mucosa	#445cfb	2	2.0	2.0	#4df3ce	#2adddd
Aeromonas fluvialis	Buccal_mucosa	#445cfb	1	2.0	1.0	#4df3ce	#2c7ef7
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	229	2.0	0.0	#4df3ce	#8000ff
Aggregatibacter aphrophilus	Saliva	#cbe486	257	2.0	0.0	#4df3ce	#8000ff
Aggregatibacter segnis	Supragingival_plaque	#ff8646	235	2.0	0.0	#4df3ce	#8000ff
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	249	2.0	0.0	#4df3ce	#8000ff
Alicycliphilus denitrificans	L_Retroauricular_crease	#34e4d9	12	2.0	1.0	#4df3ce	#2c7ef7
Alicycliphilus sp. B1	Anterior_nares	#8000ff	6	2.0	1.0	#4df3ce	#2c7ef7
Alistipes obesi	Stool	#e8cb72	41	2.0	1.0	#4df3ce	#2c7ef7
Alistipes onderdonkii	Stool	#e8cb72	15	2.0	1.0	#4df3ce	#2c7ef7
Alistipes putredinis	Stool	#e8cb72	91	2.0	1.0	#4df3ce	#2c7ef7
Alistipes senegalensis	Stool	#e8cb72	13	2.0	1.0	#4df3ce	#2c7ef7
Alistipes shahii	Stool	#e8cb72	53	2.0	1.0	#4df3ce	#2c7ef7
Alistipes sp. AL-1	Stool	#e8cb72	5	2.0	1.0	#4df3ce	#2c7ef7
Alistipes sp. HGB5	Stool	#e8cb72	5	2.0	1.0	#4df3ce	#2c7ef7
Alistipes timonensis	Stool	#e8cb72	5	2.0	1.0	#4df3ce	#2c7ef7
Alkaliphilus oremlandii	Anterior_nares	#8000ff	8	2.0	1.0	#4df3ce	#2c7ef7
Alloprevotella rava	Saliva	#cbe486	174	2.0	2.0	#4df3ce	#2adddd
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	197	2.0	2.0	#4df3ce	#2adddd
Anaerococcus prevotii	L_Retroauricular_crease	#34e4d9	2	2.0	1.0	#4df3ce	#2c7ef7
Anaerococcus provenciensis	L_Retroauricular_crease	#34e4d9	1	2.0	1.0	#4df3ce	#2c7ef7
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	48	2.0	2.0	#4df3ce	#2adddd
Anaerostipes hadrus	Stool	#e8cb72	2	2.0	1.0	#4df3ce	#2c7ef7
Anaerotruncus colihominis	Stool	#e8cb72	2	2.0	1.0	#4df3ce	#2c7ef7
Aquabacterium parvum	L_Retroauricular_crease	#34e4d9	7	2.0	1.0	#4df3ce	#2c7ef7
Aquabacterium sp. NJ1	Anterior_nares	#8000ff	1	2.0	1.0	#4df3ce	#2c7ef7
Aromatoleum aromaticum	Buccal_mucosa	#445cfb	1	2.0	1.0	#4df3ce	#2c7ef7
Atopobium parvulum	Saliva	#cbe486	203	2.0	2.0	#4df3ce	#2adddd
Atopobium rimae	Subgingival_plaque	#ffac5c	144	2.0	2.0	#4df3ce	#2adddd
Atopobium sp. BS2	Saliva	#cbe486	105	2.0	2.0	#4df3ce	#2adddd
Atopobium sp. ICM42b	Saliva	#cbe486	111	2.0	2.0	#4df3ce	#2adddd
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	13	2.0	1.0	#4df3ce	#2c7ef7
Atopobium sp. oral taxon 810	Buccal_mucosa	#445cfb	2	2.0	1.0	#4df3ce	#2c7ef7
Avibacterium paragallinarum	Attached	#622ffe	39	2.0	0.0	#4df3ce	#8000ff
Azonexus hydrophilus	Buccal_mucosa	#445cfb	2	2.0	1.0	#4df3ce	#2c7ef7
Azospira oryzae	Anterior_nares	#8000ff	1	2.0	1.0	#4df3ce	#2c7ef7
Azospirillum brasilense	Anterior_nares	#8000ff	1	2.0	1.0	#4df3ce	#2c7ef7
