TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces georgiae	Subgingival_plaque	#ffac5c	17	1.0	2.0	#ff0000	#4df3ce
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	19	1.0	2.0	#ff0000	#4df3ce
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	5	1.0	2.0	#ff0000	#4df3ce
Actinomyces israelii	Subgingival_plaque	#ffac5c	15	0.0	1.0	#8000ff	#1996f3
Actinomyces massiliensis	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Actinomyces oris	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff2f18	3	0.0	2.0	#8000ff	#4df3ce
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	19	1.0	2.0	#ff0000	#4df3ce
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	11	0.0	2.0	#8000ff	#4df3ce
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Actinomyces viscosus	Attached	#622ffe	19	1.0	0.0	#ff0000	#8000ff
Afipia birgiae	Throat	#ff5c2f	2	1.0	3.0	#ff0000	#b2f396
Aggregatibacter segnis	Supragingival_plaque	#ff8646	13	0.0	0.0	#8000ff	#8000ff
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	19	1.0	0.0	#ff0000	#8000ff
Alistipes obesi	Stool	#e8cb72	3	0.0	2.0	#8000ff	#4df3ce
Alistipes putredinis	Stool	#e8cb72	2	1.0	4.0	#ff0000	#ff964f
Alloprevotella rava	Saliva	#cbe486	18	0.0	5.0	#8000ff	#ff0000
Alloprevotella tannerae	Subgingival_plaque	#ffac5c	17	1.0	5.0	#ff0000	#ff0000
Atopobium parvulum	Saliva	#cbe486	17	0.0	0.0	#8000ff	#8000ff
Atopobium rimae	Subgingival_plaque	#ffac5c	17	1.0	5.0	#ff0000	#ff0000
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	4	0.0	1.0	#8000ff	#1996f3
Bacteroides coprocola	Stool	#e8cb72	2	1.0	4.0	#ff0000	#ff964f
Bacteroides dorei	Stool	#e8cb72	3	0.0	2.0	#8000ff	#4df3ce
Bacteroides fragilis	Stool	#e8cb72	3	1.0	2.0	#ff0000	#4df3ce
Bacteroides gallinarum	Stool	#e8cb72	3	0.0	2.0	#8000ff	#4df3ce
Bacteroides plebeius	Stool	#e8cb72	2	0.0	4.0	#8000ff	#ff964f
Bacteroides pyogenes	Stool	#e8cb72	2	0.0	1.0	#8000ff	#1996f3
Bacteroides uniformis	Stool	#e8cb72	3	1.0	2.0	#ff0000	#4df3ce
Bacteroides vulgatus	Stool	#e8cb72	3	1.0	2.0	#ff0000	#4df3ce
Bacteroidetes oral taxon 274	Subgingival_plaque	#ffac5c	18	0.0	2.0	#8000ff	#4df3ce
Bulleidia extructa	Throat	#ff5c2f	14	0.0	1.0	#8000ff	#1996f3
Burkholderiales bacterium 1_1_47	Stool	#e8cb72	3	1.0	2.0	#ff0000	#4df3ce
Campylobacter concisus	Attached	#622ffe	19	0.0	0.0	#8000ff	#8000ff
Campylobacter gracilis	Subgingival_plaque	#ffac5c	19	1.0	5.0	#ff0000	#ff0000
Campylobacter rectus	Subgingival_plaque	#ffac5c	19	0.0	2.0	#8000ff	#4df3ce
Campylobacter showae	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
candidate division TM7 genomosp. GTL1	Subgingival_plaque	#ffac5c	1	1.0	2.0	#ff0000	#4df3ce
Candidatus Alistipes marseilloanorexicus	Stool	#e8cb72	3	1.0	2.0	#ff0000	#4df3ce
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Attached	#622ffe	3	1.0	2.0	#ff0000	#4df3ce
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#cbe486	19	1.0	2.0	#ff0000	#4df3ce
Capnocytophaga gingivalis	Supragingival_plaque	#ff8646	19	0.0	3.0	#8000ff	#b2f396
Capnocytophaga granulosa	Supragingival_plaque	#ff8646	19	1.0	0.0	#ff0000	#8000ff
Capnocytophaga ochracea	Supragingival_plaque	#ff8646	19	1.0	5.0	#ff0000	#ff0000
Capnocytophaga sp. CM59	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Capnocytophaga sp. oral taxon 323	Supragingival_plaque	#ff8646	15	1.0	5.0	#ff0000	#ff0000
Capnocytophaga sp. oral taxon 324	Subgingival_plaque	#ffac5c	14	1.0	5.0	#ff0000	#ff0000
Capnocytophaga sp. oral taxon 326	Subgingival_plaque	#ffac5c	19	1.0	5.0	#ff0000	#ff0000
Capnocytophaga sp. oral taxon 329	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff8646	13	0.0	5.0	#8000ff	#ff0000
Capnocytophaga sp. oral taxon 336	Subgingival_plaque	#ffac5c	19	0.0	5.0	#8000ff	#ff0000
Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#ffac5c	19	1.0	5.0	#ff0000	#ff0000
Capnocytophaga sp. oral taxon 412	Supragingival_plaque	#ff8646	19	0.0	3.0	#8000ff	#b2f396
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Capnocytophaga sputigena	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Cardiobacterium hominis	Subgingival_plaque	#ffac5c	19	0.0	0.0	#8000ff	#8000ff
Cardiobacterium valvarum	Subgingival_plaque	#ffac5c	19	1.0	0.0	#ff0000	#8000ff
Carnobacterium maltaromaticum	Hard_palate	#08acee	2	0.0	1.0	#8000ff	#1996f3
Catonella morbi	Subgingival_plaque	#ffac5c	19	1.0	0.0	#ff0000	#8000ff
Centipeda periodontii	Subgingival_plaque	#ffac5c	17	1.0	5.0	#ff0000	#ff0000
Corynebacterium argentoratense	Tongue_dorsum	#ff2f18	4	0.0	3.0	#8000ff	#b2f396
Corynebacterium casei	Anterior_nares	#8000ff	2	1.0	4.0	#ff0000	#ff964f
Corynebacterium diphtheriae	Anterior_nares	#8000ff	2	1.0	4.0	#ff0000	#ff964f
Corynebacterium durum	Supragingival_plaque	#ff8646	17	0.0	0.0	#8000ff	#8000ff
Corynebacterium matruchotii	Supragingival_plaque	#ff8646	19	0.0	0.0	#8000ff	#8000ff
Cryptobacterium curtum	Saliva	#cbe486	4	0.0	5.0	#8000ff	#ff0000
Dialister invisus	Stool	#e8cb72	19	1.0	5.0	#ff0000	#ff0000
Eggerthia catenaformis	Subgingival_plaque	#ffac5c	4	0.0	3.0	#8000ff	#b2f396
