TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Dialister micraerophilus	Saliva	#cbe486	5	3.0	2.0	#b2f396	#4df3ce
Lactobacillus jensenii	Posterior_fornix	#8efeac	4	1.0	0.0	#1996f3	#8000ff
Lactobacillus vaginalis	Posterior_fornix	#8efeac	6	3.0	2.0	#b2f396	#4df3ce
Lawsonella clevelandensis	Anterior_nares	#8000ff	4	4.0	1.0	#ff964f	#1996f3
Parabacteroides merdae	Stool	#e8cb72	4	2.0	5.0	#4df3ce	#ff0000
Prevotella disiens	Palatine_Tonsils	#70febc	4	3.0	2.0	#b2f396	#4df3ce
Rothia dentocariosa	Supragingival_plaque	#ff8646	4	0.0	3.0	#8000ff	#b2f396
Sphingobium yanoikuyae	Vaginal_introitus	#ff0000	4	5.0	4.0	#ff0000	#ff964f
Sphingomonas sp. MEA3-1	Vaginal_introitus	#ff0000	4	4.0	1.0	#ff964f	#1996f3
Corynebacterium matruchotii	Supragingival_plaque	#ff8646	4	3.0	2.0	#b2f396	#4df3ce
Aerococcus christensenii	Posterior_fornix	#8efeac	4	1.0	0.0	#1996f3	#8000ff
Bacteroides vulgatus	Stool	#e8cb72	3	4.0	1.0	#ff964f	#1996f3
Herbaspirillum sp. B39	Vaginal_introitus	#ff0000	4	2.0	5.0	#4df3ce	#ff0000
Faecalibacterium prausnitzii	Stool	#e8cb72	3	0.0	3.0	#8000ff	#b2f396
Herbaspirillum huttiense	Vaginal_introitus	#ff0000	4	5.0	4.0	#ff0000	#ff964f
