	source	target	weight	edge_sample	edge_color
0	Acinetobacter sp. P8-3-8	Acinetobacter bereziniae	0.814577667391	R_Retroauricular_crease	#acf59a
1	Acinetobacter sp. P8-3-8	Acinetobacter sp. NIPH 284	0.814577667391	Mixed	#cccccc
2	Acinetobacter sp. VT 511	Acinetobacter sp. MII	1.0	Anterior_nares	#8000ff
3	Acinetobacter tandoii	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
4	Acinetobacter ursingii	Acinetobacter bereziniae	0.863980476719	R_Retroauricular_crease	#acf59a
5	Acinetobacter ursingii	Acinetobacter sp. NIPH 284	0.863980476719	Mixed	#cccccc
6	Actinomyces europaeus	Acinetobacter sp. CIP 101966	1.0	Mixed	#cccccc
7	Actinomyces sp. S4-C9	Acinetobacter sp. NIPH 817	1.0	Anterior_nares	#8000ff
8	Actinomyces vaccimaxillae	Acinetobacter bereziniae	0.814577667391	Mixed	#cccccc
9	Actinomyces vaccimaxillae	Acinetobacter sp. NIPH 284	0.814577667391	Mixed	#cccccc
10	Actinomyces vaccimaxillae	Acinetobacter sp. P8-3-8	1.0	Mixed	#cccccc
11	Advenella kashmirensis	Acinetobacter sp. CIP 101966	1.0	Mixed	#cccccc
12	Advenella kashmirensis	Actinomyces europaeus	1.0	Anterior_nares	#8000ff
13	Aeromonas hydrophila	Acidithiobacillus caldus	1.0	Mixed	#cccccc
14	Aeromonas rivuli	Aerococcus urinae	1.0	Anterior_nares	#8000ff
15	Aeromonas salmonicida	Acidithiobacillus caldus	1.0	Mixed	#cccccc
16	Aeromonas salmonicida	Aeromonas hydrophila	1.0	Mixed	#cccccc
17	Aeromonas sanarellii	Acinetobacter tjernbergiae	1.0	Anterior_nares	#8000ff
18	Agrobacterium albertimagni	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
19	Agrobacterium sp. LC34	Afipia clevelandensis	0.814577667391	Anterior_nares	#8000ff
20	Aliivibrio salmonicida	Actinoplanes rectilineatus	1.0	Anterior_nares	#8000ff
21	Anaerofustis stercorihominis	Acinetobacter radioresistens	1.0	Mixed	#cccccc
22	Anaeroglobus geminatus	Actinomyces sp. oral taxon 877	1.0	Mixed	#cccccc
23	Anoxybacillus tepidamans	Acinetobacter sp. NIPH 899	1.0	Anterior_nares	#8000ff
24	Arthrobacter sp. AK-YN10	Arthrobacter castelli	0.814577667391	Anterior_nares	#8000ff
25	Arthrobacter sp. L77	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
26	Arthrobacter sp. L77	Agrobacterium albertimagni	1.0	Anterior_nares	#8000ff
27	Atopobium sp. BS2	Actinomyces sp. ICM58	0.805035344165	Mixed	#cccccc
28	Atopococcus tabaci	Acinetobacter bereziniae	0.814577667391	Mixed	#cccccc
29	Atopococcus tabaci	Acinetobacter sp. NIPH 284	0.814577667391	Mixed	#cccccc
30	Atopococcus tabaci	Acinetobacter sp. P8-3-8	1.0	Mixed	#cccccc
31	Atopococcus tabaci	Actinomyces vaccimaxillae	1.0	Anterior_nares	#8000ff
32	Aurantimonas coralicida	Acinetobacter sp. 243_ASPC	1.0	Anterior_nares	#8000ff
33	Aurantimonas coralicida	Acinetobacter tandoii	1.0	Anterior_nares	#8000ff
34	Bacillus nealsonii	Bacillaceae bacterium MTCC 8252	1.0	Anterior_nares	#8000ff
35	Bacillus smithii	Aerococcus urinae	1.0	Mixed	#cccccc
36	Bacillus smithii	Aeromonas rivuli	1.0	Mixed	#cccccc
37	Bacillus velezensis	Acinetobacter sp. NIPH 899	1.0	Anterior_nares	#8000ff
38	Bacillus velezensis	Anoxybacillus tepidamans	1.0	Anterior_nares	#8000ff
39	Bacteroidaceae bacterium MS4	Acinetobacter radioresistens	1.0	Mixed	#cccccc
40	Bacteroidaceae bacterium MS4	Anaerofustis stercorihominis	1.0	Stool	#e8cb72
41	Bacteroides stercorirosoris	Afipia clevelandensis	0.814577667391	Mixed	#cccccc
42	Bacteroides stercorirosoris	Agrobacterium sp. LC34	1.0	Mixed	#cccccc
43	Bdellovibrio bacteriovorus	Archangium gephyra	1.0	Anterior_nares	#8000ff
44	Belnapia moabensis	Arthrobacter castelli	0.814577667391	Mixed	#cccccc
45	Belnapia moabensis	Arthrobacter sp. AK-YN10	1.0	Mixed	#cccccc
46	Bifidobacterium kashiwanohense	Arthrobacter sp. JCM 19049	0.910694833281	Mixed	#cccccc
47	Bilophila wadsworthia	Agrobacterium vitis	1.0	Mixed	#cccccc
48	Bordetella petrii	Arthrobacter sp. H14	1.0	Anterior_nares	#8000ff
49	Bosea sp. Root483D1	Bacillus amyloliquefaciens	1.0	Mixed	#cccccc
50	Brachybacterium faecium	Bacillus amyloliquefaciens	1.0	Anterior_nares	#8000ff
51	Brachybacterium faecium	Bosea sp. Root483D1	1.0	Mixed	#cccccc
52	Brachymonas chironomi	Arcobacter butzleri	0.863980476719	Mixed	#cccccc
53	Brachymonas chironomi	Bifidobacterium subtile	0.863980476719	Anterior_nares	#8000ff
54	Bradyrhizobium lablabi	Arthrobacter castelli	0.814577667391	Anterior_nares	#8000ff
55	Bradyrhizobium sp. URHA0002	Arthrobacter castelli	0.863980476719	Anterior_nares	#8000ff
56	Brevibacillus borstelensis	Actinomyces sp. oral taxon 877	1.0	Mixed	#cccccc
57	Brevibacillus borstelensis	Anaeroglobus geminatus	1.0	Mixed	#cccccc
58	Brevibacterium senegalense	Arthrobacter castelli	0.814577667391	Anterior_nares	#8000ff
59	Brevibacterium senegalense	Bradyrhizobium lablabi	1.0	Anterior_nares	#8000ff
60	Brevundimonas abyssalis	Afipia clevelandensis	0.814577667391	Mixed	#cccccc
61	Brevundimonas abyssalis	Agrobacterium sp. LC34	1.0	Mixed	#cccccc
62	Brevundimonas abyssalis	Bacteroides stercorirosoris	1.0	Mixed	#cccccc
63	Brevundimonas nasdae	Actinobacteria bacterium UC5.1-1B11	1.0	Mixed	#cccccc
64	Brevundimonas nasdae	Agrobacterium albertimagni	1.0	Mixed	#cccccc
65	Brevundimonas nasdae	Arthrobacter sp. L77	1.0	Mixed	#cccccc
66	Brevundimonas sp. BAL3	Actinobacteria bacterium UC5.1-1B11	1.0	Mixed	#cccccc
67	Brevundimonas sp. BAL3	Agrobacterium albertimagni	1.0	Mixed	#cccccc
68	Brevundimonas sp. BAL3	Arthrobacter sp. L77	1.0	Mixed	#cccccc
69	Brevundimonas sp. BAL3	Brevundimonas nasdae	1.0	R_Retroauricular_crease	#acf59a
70	Brevundimonas sp. EAKA	Bradyrhizobium japonicum	0.892305178067	Mixed	#cccccc
71	Burkholderia ambifaria	Acinetobacter bereziniae	0.814577667391	Mixed	#cccccc
72	Burkholderia ambifaria	Acinetobacter sp. NIPH 284	0.814577667391	Mixed	#cccccc
73	Burkholderia ambifaria	Acinetobacter sp. P8-3-8	1.0	Mixed	#cccccc
74	Burkholderia ambifaria	Actinomyces vaccimaxillae	1.0	Anterior_nares	#8000ff
75	Burkholderia ambifaria	Atopococcus tabaci	1.0	Anterior_nares	#8000ff
76	Burkholderia contaminans	Agrobacterium vitis	1.0	Mixed	#cccccc
77	Burkholderia contaminans	Bilophila wadsworthia	1.0	Mixed	#cccccc
78	Burkholderia vietnamiensis	Azonexus hydrophilus	1.0	Buccal_mucosa	#445cfb
79	Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Campylobacter curvus	1.0	Mixed	#cccccc
80	Capnocytophaga canimorsus	Actinomyces sp. MS2	0.892305178067	Mixed	#cccccc
81	Capnocytophaga sp. oral taxon 324	Campylobacter curvus	0.814577667391	Mixed	#cccccc
82	Capnocytophaga sp. oral taxon 324	Candidatus Saccharibacteria bacterium RAAC3_TM7_1	0.814577667391	Mixed	#cccccc
83	Capnocytophaga sp. oral taxon 335	Campylobacter curvus	0.814577667391	Supragingival_plaque	#ff8646
