TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidovorax temperans	L_Retroauricular_crease	#34e4d9	2	6.0	1.0	#04b9ea	#6a22fe
Actinobacillus ureae	Keratinized_gingiva	#17cbe4	4	17.0	2.0	#f9bb66	#5247fc
Actinobaculum sp. oral taxon 183	Subgingival_plaque	#ffac5c	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces dentalis	Subgingival_plaque	#ffac5c	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces massiliensis	Supragingival_plaque	#ff8646	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces naeslundii	Supragingival_plaque	#ff8646	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces oris	Supragingival_plaque	#ff8646	5	16.0	5.0	#e2d176	#0ea5ef
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	6	13.0	5.0	#a0faa1	#0ea5ef
Actinomyces sp. ICM54	Tongue_dorsum	#ff2f18	2	3.0	3.0	#3e65fa	#3c68f9
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff8646	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces sp. oral taxon 181	Tongue_dorsum	#ff2f18	2	3.0	3.0	#3e65fa	#3c68f9
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	2	4.0	3.0	#2884f6	#3c68f9
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	4	16.0	5.0	#e2d176	#0ea5ef
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	2	10.0	3.0	#5df9c7	#3c68f9
Actinomyces timonensis	Subgingival_plaque	#ffac5c	4	16.0	5.0	#e2d176	#0ea5ef
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	4	3.0	3.0	#3e65fa	#3c68f9
Alloprevotella rava	Saliva	#cbe486	8	9.0	7.0	#46efd1	#22d6e0
