TAXA	Actinomyces sp. oral taxon 448	Butyrivibrio crossotus	Lactobacillus crispatus	Leptotrichia sp. oral taxon 225	Paraprevotella clara	Porphyromonas gingivalis	Prevotella aurantiaca	Prevotella fusca	Prevotella oralis	Prevotella sp. F0091	Roseburia inulinivorans	Streptococcus sp. SR1	Streptococcus uberis	Treponema socranskii	Veillonella sp. HPA0037	Veillonella sp. oral taxon 780
Actinomyces sp. oral taxon 448	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004
Butyrivibrio crossotus	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004
Lactobacillus crispatus	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0
Leptotrichia sp. oral taxon 225	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0
Paraprevotella clara	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0
Porphyromonas gingivalis	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004
Prevotella aurantiaca	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004
Prevotella fusca	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004
Prevotella oralis	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	0.0
Prevotella sp. F0091	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	0.0	0.0
Roseburia inulinivorans	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004
Streptococcus sp. SR1	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004
Streptococcus uberis	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	0.0	0.0	0.0
Treponema socranskii	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004
Veillonella sp. HPA0037	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	1.0000000000000004	0.0	1.0000000000000004
Veillonella sp. oral taxon 780	1.0000000000000004	1.0000000000000004	0.0	0.0	0.0	1.0000000000000004	1.0000000000000004	1.0000000000000004	0.0	0.0	1.0000000000000004	1.0000000000000004	0.0	1.0000000000000004	1.0000000000000004	0.0
