	source	target	weight	edge_sample	edge_color
0	Acinetobacter parvus	Acetobacter okinawensis	0.816235844347	R_Retroauricular_crease	#acf59a
1	Acinetobacter soli	Acinetobacter parvus	0.816235844347	R_Retroauricular_crease	#acf59a
2	Acinetobacter sp. Ag2	Acetobacter okinawensis	0.816235844347	R_Retroauricular_crease	#acf59a
3	Acinetobacter sp. Ag2	Acinetobacter parvus	1.0	R_Retroauricular_crease	#acf59a
4	Acinetobacter sp. Ag2	Acinetobacter soli	0.816235844347	R_Retroauricular_crease	#acf59a
5	Acinetobacter sp. VT 511	Acinetobacter sp. MII	1.0	Anterior_nares	#8000ff
6	Acinetobacter ursingii	Acinetobacter bereziniae	0.925523695059	R_Retroauricular_crease	#acf59a
7	Actinomyces sp. ICM47	Actinomyces graevenitzii	0.898400586668	Tongue_dorsum	#ff2f18
8	Actinomyces sp. ICM54	Actinomyces sp. HPA0247	0.876401293719	Tongue_dorsum	#ff2f18
9	Actinomyces sp. oral taxon 172	Actinomyces sp. ICM58	0.903835515693	Tongue_dorsum	#ff2f18
10	Actinomyces sp. oral taxon 175	Actinomyces johnsonii	0.885643807227	Mixed	#cccccc
11	Actinomyces sp. oral taxon 181	Actinomyces sp. HPA0247	0.852822569685	Tongue_dorsum	#ff2f18
12	Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	0.890674246214	Tongue_dorsum	#ff2f18
13	Actinomyces sp. S4-C9	Acinetobacter sp. NIPH 817	1.0	Anterior_nares	#8000ff
14	Actinomyces vaccimaxillae	Acinetobacter sp. P8-3-8	0.816235844347	Mixed	#cccccc
15	Actinomyces viscosus	Actinomyces sp. oral taxon 175	0.871937252522	Mixed	#cccccc
16	Advenella kashmirensis	Acinetobacter sp. CIP 101966	0.816235844347	Mixed	#cccccc
17	Advenella kashmirensis	Actinomyces europaeus	0.816235844347	Anterior_nares	#8000ff
18	Aeromonas rivuli	Aerococcus urinae	1.0	Anterior_nares	#8000ff
19	Aeromonas sanarellii	Acinetobacter tjernbergiae	1.0	Anterior_nares	#8000ff
20	Afipia sp. P52-10	Aeromonas media	1.0	L_Retroauricular_crease	#34e4d9
21	Agrobacterium albertimagni	Actinobacteria bacterium UC5.1-1B11	1.0	Anterior_nares	#8000ff
