TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Carnobacterium maltaromaticum	Hard_palate	#08acee	2	5.0	0.0	#ff8143	#8000ff
[Eubacterium] infirmum	Subgingival_plaque	#ffac5c	2	0.0	1.0	#8000ff	#ff0000
[Eubacterium] sulci	Tongue_dorsum	#ff2f18	2	4.0	0.0	#d4dd80	#8000ff
Gemella cuniculi	Attached	#622ffe	1	0.0	1.0	#8000ff	#ff0000
Gemella haemolysans	Buccal_mucosa	#445cfb	2	1.0	0.0	#2c7ef7	#8000ff
Granulicatella elegans	Keratinized_gingiva	#17cbe4	2	3.0	0.0	#7effb5	#8000ff
Haemophilus influenzae	Attached	#622ffe	2	6.0	0.0	#ff0000	#8000ff
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	2	6.0	0.0	#ff0000	#8000ff
Haemophilus parainfluenzae	Tongue_dorsum	#ff2f18	2	2.0	0.0	#2adddd	#8000ff
Lautropia mirabilis	Supragingival_plaque	#ff8646	2	0.0	1.0	#8000ff	#ff0000
Leptotrichia sp. oral taxon 212	Supragingival_plaque	#ff8646	2	0.0	1.0	#8000ff	#ff0000
Megasphaera micronuciformis	Saliva	#cbe486	2	1.0	0.0	#2c7ef7	#8000ff
[Pasteurella] pneumotropica	Buccal_mucosa	#445cfb	1	5.0	0.0	#ff8143	#8000ff
Porphyromonas sp. KLE 1280	Hard_palate	#08acee	2	0.0	1.0	#8000ff	#ff0000
Porphyromonas sp. oral taxon 279	Hard_palate	#08acee	2	0.0	1.0	#8000ff	#ff0000
Prevotella corporis	R_Retroauricular_crease	#acf59a	2	0.0	1.0	#8000ff	#ff0000
Prevotella histicola	Palatine_Tonsils	#70febc	2	6.0	0.0	#ff0000	#8000ff
Prevotella nanceiensis	Hard_palate	#08acee	2	5.0	0.0	#ff8143	#8000ff
Prevotella pallens	Throat	#ff5c2f	2	6.0	0.0	#ff0000	#8000ff
Prevotella salivae	Saliva	#cbe486	2	1.0	0.0	#2c7ef7	#8000ff
Prevotella scopos	Throat	#ff5c2f	2	1.0	0.0	#2c7ef7	#8000ff
Prevotella sp. oral taxon 299	Attached	#622ffe	2	3.0	0.0	#7effb5	#8000ff
Rothia mucilaginosa	Hard_palate	#08acee	2	0.0	1.0	#8000ff	#ff0000
Selenomonas sp. oral taxon 478	Saliva	#cbe486	2	1.0	0.0	#2c7ef7	#8000ff
Staphylococcus pasteuri	Keratinized_gingiva	#17cbe4	2	3.0	0.0	#7effb5	#8000ff
Streptococcus mitis	Buccal_mucosa_NA	#2686f5	2	1.0	0.0	#2c7ef7	#8000ff
Streptococcus pseudopneumoniae	Buccal_mucosa_NA	#2686f5	2	5.0	0.0	#ff8143	#8000ff
Streptococcus salivarius	Tongue_dorsum	#ff2f18	2	6.0	0.0	#ff0000	#8000ff
Streptococcus sp. 1171_SSPC	Palatine_Tonsils	#70febc	1	0.0	1.0	#8000ff	#ff0000
Treponema sp. OMZ 838	Subgingival_plaque	#ffac5c	1	6.0	0.0	#ff0000	#8000ff
Veillonella dispar	Throat	#ff5c2f	2	1.0	0.0	#2c7ef7	#8000ff
Veillonella sp. 3_1_44	Attached	#622ffe	1	1.0	0.0	#2c7ef7	#8000ff
Veillonella sp. AS16	Tongue_dorsum	#ff2f18	1	1.0	0.0	#2c7ef7	#8000ff
Veillonella sp. oral taxon 158	Palatine_Tonsils	#70febc	2	5.0	0.0	#ff8143	#8000ff
Abiotrophia defectiva	Buccal_mucosa	#445cfb	2	5.0	0.0	#ff8143	#8000ff
Alloprevotella rava	Saliva	#cbe486	1	0.0	1.0	#8000ff	#ff0000
Fusobacterium periodonticum	Throat	#ff5c2f	2	3.0	0.0	#7effb5	#8000ff
Gemella sanguinis	Tongue_dorsum	#ff2f18	2	6.0	0.0	#ff0000	#8000ff
