	source	target	weight	edge_sample	edge_color
0	Acidovorax caeni	Acetobacter orientalis	0.827651929057	Mixed	#cccccc
1	Acidovorax temperans	Acidovorax caeni	0.86665503362	Mixed	#cccccc
2	Acinetobacter bohemicus	Abiotrophia defectiva	0.842094210215	Mixed	#cccccc
3	Acinetobacter sp. MDS7A	Acinetobacter bouvetii	0.862753147344	Mixed	#cccccc
4	Acinetobacter sp. NIPH 284	Acinetobacter bouvetii	0.862753147344	L_Retroauricular_crease	#34e4d9
5	Acinetobacter sp. NIPH 284	Acinetobacter sp. MDS7A	1.0	Mixed	#cccccc
6	Acinetobacter sp. TTH0-4	Abiotrophia defectiva	0.842094210215	Mixed	#cccccc
7	Acinetobacter sp. TTH0-4	Acinetobacter bohemicus	1.0	Mixed	#cccccc
8	Acinetobacter towneri	Acinetobacter junii	0.85765499077	Anterior_nares	#8000ff
9	Actinobaculum sp. oral taxon 183	Acidovorax caeni	0.81179108181	Mixed	#cccccc
10	Actinobaculum sp. oral taxon 183	Acidovorax temperans	0.887684219368	Mixed	#cccccc
11	Actinobaculum sp. oral taxon 183	Acinetobacter johnsonii	0.820998408049	Mixed	#cccccc
12	Actinomyces gerencseriae	Actinomyces dentalis	0.861222327632	Subgingival_plaque	#ffac5c
13	Actinomyces graevenitzii	Acetivibrio ethanolgignens	0.919402494966	Mixed	#cccccc
14	Actinomyces israelii	Actinobaculum sp. oral taxon 183	0.897857241564	Subgingival_plaque	#ffac5c
15	Actinomyces israelii	Actinomyces dentalis	0.830843390995	Subgingival_plaque	#ffac5c
16	Actinomyces johnsonii	Actinomyces gerencseriae	0.892652835209	Subgingival_plaque	#ffac5c
17	Actinomyces massiliensis	Actinomyces dentalis	0.813215808856	Mixed	#cccccc
18	Actinomyces massiliensis	Actinomyces gerencseriae	0.983093510693	Mixed	#cccccc
19	Actinomyces massiliensis	Actinomyces johnsonii	0.915944885749	Mixed	#cccccc
20	Actinomyces naeslundii	Actinomyces dentalis	0.922841320075	Mixed	#cccccc
21	Actinomyces naeslundii	Actinomyces gerencseriae	0.971933864983	Mixed	#cccccc
22	Actinomyces naeslundii	Actinomyces israelii	0.836411739212	Mixed	#cccccc
23	Actinomyces naeslundii	Actinomyces johnsonii	0.888417895143	Mixed	#cccccc
24	Actinomyces naeslundii	Actinomyces massiliensis	0.960012735573	Supragingival_plaque	#ff8646
25	Actinomyces odontolyticus	Actinomyces dentalis	0.811689057682	Mixed	#cccccc
26	Actinomyces odontolyticus	Actinomyces gerencseriae	0.949641409387	Mixed	#cccccc
27	Actinomyces odontolyticus	Actinomyces johnsonii	0.95253157812	Mixed	#cccccc
28	Actinomyces odontolyticus	Actinomyces massiliensis	0.94808133433	Mixed	#cccccc
29	Actinomyces odontolyticus	Actinomyces naeslundii	0.937670417216	Mixed	#cccccc
30	Actinomyces oris	Actinomyces dentalis	0.849819929716	Mixed	#cccccc
31	Actinomyces oris	Actinomyces gerencseriae	0.9067562593	Mixed	#cccccc
32	Actinomyces oris	Actinomyces israelii	0.808183182782	Mixed	#cccccc
33	Actinomyces oris	Actinomyces johnsonii	0.838094790593	Mixed	#cccccc
34	Actinomyces oris	Actinomyces massiliensis	0.92491008672	Supragingival_plaque	#ff8646
35	Actinomyces oris	Actinomyces naeslundii	0.956134105434	Supragingival_plaque	#ff8646
36	Actinomyces oris	Actinomyces odontolyticus	0.889750150655	Mixed	#cccccc
37	Actinomyces sp. ICM39	Acinetobacter bouvetii	0.967892019261	Mixed	#cccccc
38	Actinomyces sp. ICM39	Acinetobacter sp. MDS7A	0.951039554606	Mixed	#cccccc
39	Actinomyces sp. ICM39	Acinetobacter sp. NIPH 284	0.951039554606	Mixed	#cccccc
40	Actinomyces sp. ICM58	Acetivibrio ethanolgignens	1.0	Mixed	#cccccc
41	Actinomyces sp. ICM58	Actinomyces graevenitzii	0.919402494966	Tongue_dorsum	#ff2f18
42	Actinomyces sp. oral taxon 170	Actinobaculum sp. oral taxon 183	0.805137509344	Mixed	#cccccc
43	Actinomyces sp. oral taxon 170	Actinomyces dentalis	0.902078678137	Mixed	#cccccc
44	Actinomyces sp. oral taxon 170	Actinomyces gerencseriae	0.86021632064	Mixed	#cccccc
45	Actinomyces sp. oral taxon 170	Actinomyces israelii	0.942159345494	Mixed	#cccccc
46	Actinomyces sp. oral taxon 170	Actinomyces massiliensis	0.8222727236	Supragingival_plaque	#ff8646
47	Actinomyces sp. oral taxon 170	Actinomyces naeslundii	0.919791052875	Supragingival_plaque	#ff8646
48	Actinomyces sp. oral taxon 170	Actinomyces odontolyticus	0.803655345451	Mixed	#cccccc
49	Actinomyces sp. oral taxon 170	Actinomyces oris	0.86245447178	Supragingival_plaque	#ff8646
50	Actinomyces sp. oral taxon 171	Actinobaculum sp. oral taxon 183	0.895691399558	Mixed	#cccccc
51	Actinomyces sp. oral taxon 171	Actinomyces dentalis	0.809111264124	Mixed	#cccccc
52	Actinomyces sp. oral taxon 171	Actinomyces israelii	0.929841881879	Mixed	#cccccc
53	Actinomyces sp. oral taxon 171	Actinomyces naeslundii	0.808190865675	Supragingival_plaque	#ff8646
54	Actinomyces sp. oral taxon 171	Actinomyces oris	0.851341362915	Supragingival_plaque	#ff8646
55	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	0.882851751311	Supragingival_plaque	#ff8646
56	Actinomyces sp. oral taxon 172	Acetivibrio ethanolgignens	1.0	Mixed	#cccccc
57	Actinomyces sp. oral taxon 172	Actinomyces graevenitzii	0.919402494966	Tongue_dorsum	#ff2f18
58	Actinomyces sp. oral taxon 172	Actinomyces sp. ICM58	1.0	Tongue_dorsum	#ff2f18
59	Actinomyces sp. oral taxon 175	Actinomyces gerencseriae	0.943057189361	Mixed	#cccccc
60	Actinomyces sp. oral taxon 175	Actinomyces johnsonii	0.958911132542	Mixed	#cccccc
61	Actinomyces sp. oral taxon 175	Actinomyces massiliensis	0.974116746199	Supragingival_plaque	#ff8646
62	Actinomyces sp. oral taxon 175	Actinomyces naeslundii	0.950421378373	Supragingival_plaque	#ff8646
63	Actinomyces sp. oral taxon 175	Actinomyces odontolyticus	0.957124421857	Mixed	#cccccc
64	Actinomyces sp. oral taxon 175	Actinomyces oris	0.930920800841	Supragingival_plaque	#ff8646
65	Actinomyces sp. oral taxon 180	Abiotrophia defectiva	0.842094210215	Mixed	#cccccc
66	Actinomyces sp. oral taxon 180	Acinetobacter bohemicus	1.0	Mixed	#cccccc
67	Actinomyces sp. oral taxon 180	Acinetobacter sp. TTH0-4	1.0	Mixed	#cccccc
68	Actinomyces sp. oral taxon 414	Actinomyces gerencseriae	0.833488333601	Subgingival_plaque	#ffac5c
69	Actinomyces sp. oral taxon 414	Actinomyces israelii	0.845635713186	Subgingival_plaque	#ffac5c
70	Actinomyces sp. oral taxon 414	Actinomyces sp. oral taxon 170	0.804733632604	Mixed	#cccccc
71	Actinomyces sp. oral taxon 448	Acidovorax caeni	0.838643467366	Mixed	#cccccc
72	Actinomyces sp. oral taxon 448	Acidovorax temperans	0.890502561045	Mixed	#cccccc
73	Actinomyces sp. oral taxon 448	Actinobaculum sp. oral taxon 183	0.974373730494	Mixed	#cccccc
74	Actinomyces sp. oral taxon 448	Actinomyces israelii	0.849011117543	Mixed	#cccccc
75	Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 171	0.856669979097	Supragingival_plaque	#ff8646
76	Actinomyces sp. oral taxon 848	Actinomyces gerencseriae	0.904960908125	Mixed	#cccccc
77	Actinomyces sp. oral taxon 848	Actinomyces johnsonii	0.960610420366	Mixed	#cccccc
78	Actinomyces sp. oral taxon 848	Actinomyces massiliensis	0.933512419883	Supragingival_plaque	#ff8646
79	Actinomyces sp. oral taxon 848	Actinomyces naeslundii	0.851396439467	Supragingival_plaque	#ff8646
80	Actinomyces sp. oral taxon 848	Actinomyces odontolyticus	0.921339881417	Mixed	#cccccc
81	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 175	0.941000188695	Supragingival_plaque	#ff8646
82	Actinomyces sp. oral taxon 849	Actinomyces gerencseriae	0.909759854875	Mixed	#cccccc
83	Actinomyces sp. oral taxon 849	Actinomyces johnsonii	0.95581165089	Mixed	#cccccc
84	Actinomyces sp. oral taxon 849	Actinomyces massiliensis	0.936148613053	Supragingival_plaque	#ff8646
85	Actinomyces sp. oral taxon 849	Actinomyces naeslundii	0.853155290393	Supragingival_plaque	#ff8646
86	Actinomyces sp. oral taxon 849	Actinomyces odontolyticus	0.919599322143	Mixed	#cccccc
87	Actinomyces sp. oral taxon 849	Actinomyces sp. oral taxon 175	0.938574306075	Supragingival_plaque	#ff8646
88	Actinomyces sp. oral taxon 849	Actinomyces sp. oral taxon 848	0.999589740088	Supragingival_plaque	#ff8646
89	Actinomyces sp. oral taxon 877	Acinetobacter sp. NBRC 110496	1.0	Mixed	#cccccc
90	Actinomyces timonensis	Actinomyces gerencseriae	0.934881769347	Subgingival_plaque	#ffac5c
91	Actinomyces timonensis	Actinomyces johnsonii	0.914950965819	Subgingival_plaque	#ffac5c
92	Actinomyces timonensis	Actinomyces massiliensis	0.948197661267	Mixed	#cccccc
93	Actinomyces timonensis	Actinomyces naeslundii	0.862996337011	Mixed	#cccccc
94	Actinomyces timonensis	Actinomyces odontolyticus	0.904390591817	Mixed	#cccccc
