TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acinetobacter sp. NIPH 284	L_Retroauricular_crease	#34e4d9	1	24.0	9.0	#27dade	#425ffa
Acinetobacter sp. TTH0-4	Anterior_nares	#8000ff	1	14.0	4.0	#208ef4	#6629fe
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	8	68.0	13.0	#ff381c	#2686f5
Actinomyces johnsonii	Subgingival_plaque	#ffac5c	8	43.0	13.0	#acf59a	#2686f5
Actinomyces massiliensis	Supragingival_plaque	#ff8646	16	71.0	3.0	#ff160b	#6c1fff
Actinomyces oris	Supragingival_plaque	#ff8646	16	71.0	3.0	#ff160b	#6c1fff
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	2	35.0	1.0	#74feba	#7a09ff
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	2	35.0	1.0	#74feba	#7a09ff
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff2f18	1	14.0	4.0	#208ef4	#6629fe
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	2	33.0	20.0	#66fcc2	#0ac0e8
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	1	54.0	10.0	#f9bb66	#3c68f9
Actinomyces viscosus	Attached	#622ffe	9	43.0	13.0	#acf59a	#2686f5
Aerococcus viridans	R_Retroauricular_crease	#acf59a	1	14.0	4.0	#208ef4	#6629fe
Aeromonas media	L_Retroauricular_crease	#34e4d9	1	24.0	9.0	#27dade	#425ffa
Afipia sp. P52-10	L_Retroauricular_crease	#34e4d9	1	24.0	9.0	#27dade	#425ffa
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#445cfb	2	33.0	20.0	#66fcc2	#0ac0e8
Aggregatibacter aphrophilus	Saliva	#cbe486	14	43.0	13.0	#acf59a	#2686f5
Alicycliphilus denitrificans	L_Retroauricular_crease	#34e4d9	1	52.0	24.0	#ebca70	#27dade
Alistipes finegoldii	Stool	#e8cb72	4	9.0	17.0	#425ffa	#09a9ee
Alistipes inops	Stool	#e8cb72	2	35.0	1.0	#74feba	#7a09ff
Alistipes putredinis	Stool	#e8cb72	17	47.0	3.0	#c8e688	#6c1fff
Alistipes senegalensis	Stool	#e8cb72	3	64.0	17.0	#ff6232	#09a9ee
Alistipes shahii	Stool	#e8cb72	8	22.0	17.0	#18cde4	#09a9ee
Alistipes timonensis	Stool	#e8cb72	3	41.0	19.0	#9efaa2	#04b9ea
Aliterella atlantica	Anterior_nares	#8000ff	1	14.0	4.0	#208ef4	#6629fe
Altererythrobacter troitsensis	L_Retroauricular_crease	#34e4d9	1	52.0	24.0	#ebca70	#27dade
Aminiphilus circumscriptus	L_Retroauricular_crease	#34e4d9	1	0.0	21.0	#8000ff	#12c8e6
Anaerococcus prevotii	L_Retroauricular_crease	#34e4d9	16	29.0	6.0	#4af2cf	#583efd
Anaerococcus sp. PH9	L_Retroauricular_crease	#34e4d9	8	17.0	29.0	#09a9ee	#4af2cf
Anaerococcus sp. SB3	L_Retroauricular_crease	#34e4d9	9	13.0	29.0	#2686f5	#4af2cf
Anaerococcus tetradius	L_Retroauricular_crease	#34e4d9	12	4.0	30.0	#6629fe	#50f4cc
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	2	35.0	1.0	#74feba	#7a09ff
