	source	target	weight	edge_sample	edge_color
0	Actinomyces massiliensis	Actinobaculum sp. oral taxon 183	0.999211890866	Mixed	#cccccc
1	Actinomyces oris	Actinobaculum sp. oral taxon 183	0.996116490184	Mixed	#cccccc
2	Actinomyces oris	Actinomyces massiliensis	0.991836598134	Supragingival_plaque	#ff8646
3	Actinomyces sp. oral taxon 170	Actinobaculum sp. oral taxon 183	0.996116490184	Mixed	#cccccc
4	Actinomyces sp. oral taxon 170	Actinomyces massiliensis	0.991836598134	Supragingival_plaque	#ff8646
5	Actinomyces sp. oral taxon 175	Actinomyces massiliensis	0.951522683697	Supragingival_plaque	#ff8646
6	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 170	0.904534033733	Supragingival_plaque	#ff8646
7	Aerococcus christensenii	Actinobaculum sp. oral taxon 183	0.996116490184	Mixed	#cccccc
8	Aerococcus christensenii	Actinomyces massiliensis	0.991836598134	Mixed	#cccccc
9	Aerococcus christensenii	Actinomyces oris	1.0	Mixed	#cccccc
10	Aerococcus christensenii	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
11	Aggregatibacter aphrophilus	Actinobaculum sp. oral taxon 183	0.996116490184	Mixed	#cccccc
12	Aggregatibacter aphrophilus	Actinomyces massiliensis	0.991836598134	Mixed	#cccccc
13	Aggregatibacter aphrophilus	Actinomyces oris	1.0	Mixed	#cccccc
14	Aggregatibacter aphrophilus	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
15	Aggregatibacter aphrophilus	Aerococcus christensenii	1.0	Mixed	#cccccc
16	Campylobacter concisus	Abiotrophia defectiva	1.0	Mixed	#cccccc
17	Capnocytophaga gingivalis	Actinomyces oris	0.98019605882	Supragingival_plaque	#ff8646
18	Capnocytophaga gingivalis	Aerococcus christensenii	0.98019605882	Mixed	#cccccc
19	Capnocytophaga gingivalis	Aggregatibacter aphrophilus	0.98019605882	Mixed	#cccccc
20	Capnocytophaga sp. oral taxon 329	Actinomyces massiliensis	0.960019671983	Supragingival_plaque	#ff8646
21	Capnocytophaga sp. oral taxon 329	Actinomyces oris	0.987878339907	Supragingival_plaque	#ff8646
22	Capnocytophaga sp. oral taxon 329	Aerococcus christensenii	0.987878339907	Mixed	#cccccc
23	Capnocytophaga sp. oral taxon 329	Aggregatibacter aphrophilus	0.987878339907	Mixed	#cccccc
24	Capnocytophaga sp. oral taxon 329	Capnocytophaga gingivalis	0.999054596811	Supragingival_plaque	#ff8646
25	Cardiobacterium valvarum	Abiotrophia defectiva	1.0	Mixed	#cccccc
26	Cardiobacterium valvarum	Campylobacter concisus	1.0	Mixed	#cccccc
27	Corynebacterium durum	Actinobaculum sp. oral taxon 183	0.996116490184	Mixed	#cccccc
28	Corynebacterium durum	Actinomyces oris	1.0	Supragingival_plaque	#ff8646
29	Corynebacterium durum	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
30	Corynebacterium durum	Actinomyces sp. oral taxon 175	0.904534033733	Supragingival_plaque	#ff8646
31	Corynebacterium durum	Aerococcus christensenii	1.0	Mixed	#cccccc
32	Corynebacterium durum	Aggregatibacter aphrophilus	1.0	Mixed	#cccccc
33	Corynebacterium durum	Capnocytophaga gingivalis	0.98019605882	Supragingival_plaque	#ff8646
34	Corynebacterium durum	Capnocytophaga sp. oral taxon 329	0.987878339907	Supragingival_plaque	#ff8646
35	Corynebacterium matruchotii	Actinobaculum sp. oral taxon 183	0.987949511257	Mixed	#cccccc
36	Corynebacterium matruchotii	Actinomyces massiliensis	0.981027233195	Supragingival_plaque	#ff8646
37	Corynebacterium matruchotii	Actinomyces oris	0.997740110106	Supragingival_plaque	#ff8646
38	Corynebacterium matruchotii	Actinomyces sp. oral taxon 170	0.997740110106	Supragingival_plaque	#ff8646
