TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces oris	Supragingival_plaque	#ff8646	4	4.0	2.0	#445cfb	#5e35fe
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	2	6.0	4.0	#2686f5	#3c68f9
Akkermansia muciniphila	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Alistipes obesi	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Alistipes putredinis	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Alistipes shahii	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides caccae	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides coprocola	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides eggerthii	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides finegoldii	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides fragilis	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides massiliensis	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides plebeius	Stool	#e8cb72	2	7.0	4.0	#1898f2	#3c68f9
Bacteroides stercoris	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides uniformis	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Bacteroides vulgatus	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Barnesiella intestinihominis	Stool	#e8cb72	2	7.0	4.0	#1898f2	#3c68f9
Butyricimonas virosa	Stool	#e8cb72	1	5.0	10.0	#3670f8	#2adddd
Campylobacter curvus	Supragingival_plaque	#ff8646	2	23.0	11.0	#d9da7d	#3ae8d6
Campylobacter gracilis	Subgingival_plaque	#ffac5c	7	21.0	14.0	#bbee91	#6efebe
Campylobacter hominis	R_Retroauricular_crease	#acf59a	2	23.0	11.0	#d9da7d	#3ae8d6
Campylobacter sp. FOBRC14	Attached	#622ffe	2	23.0	11.0	#d9da7d	#3ae8d6
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff8646	6	22.0	3.0	#cbe486	#4e4dfc
Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#ffac5c	7	22.0	3.0	#cbe486	#4e4dfc
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff8646	6	22.0	3.0	#cbe486	#4e4dfc
Capnocytophaga sputigena	Supragingival_plaque	#ff8646	10	31.0	18.0	#ff4724	#b2f396
Carnobacterium divergens	Saliva	#cbe486	2	26.0	13.0	#ffac5c	#5df9c7
Cellulomonas flavigena	Throat	#ff5c2f	2	3.0	11.0	#5444fd	#3ae8d6
Centipeda periodontii	Subgingival_plaque	#ffac5c	8	21.0	14.0	#bbee91	#6efebe
[Clostridium] leptum	L_Retroauricular_crease	#34e4d9	2	6.0	4.0	#2686f5	#3c68f9
Corynebacterium argentoratense	Tongue_dorsum	#ff2f18	2	2.0	16.0	#622ffe	#90feab
Corynebacterium matruchotii	Supragingival_plaque	#ff8646	10	27.0	9.0	#ff9b52	#18cde4
Corynebacterium vitaeruminis	Throat	#ff5c2f	2	23.0	11.0	#d9da7d	#3ae8d6
Dialister invisus	Stool	#e8cb72	10	27.0	9.0	#ff9b52	#18cde4
Eggerthia catenaformis	Subgingival_plaque	#ffac5c	2	30.0	17.0	#ff5c2f	#a0faa1
Eikenella corrodens	Subgingival_plaque	#ffac5c	2	7.0	4.0	#1898f2	#3c68f9
[Eubacterium] eligens	Stool	#e8cb72	2	7.0	4.0	#1898f2	#3c68f9
[Eubacterium] nodatum	Subgingival_plaque	#ffac5c	2	23.0	11.0	#d9da7d	#3ae8d6
[Eubacterium] rectale	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Eubacterium ventriosum	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Filifactor alocis	Palatine_Tonsils	#70febc	10	0.0	8.0	#8000ff	#08bee9
Finegoldia magna	R_Retroauricular_crease	#acf59a	2	30.0	17.0	#ff5c2f	#a0faa1
Fusobacterium necrophorum	Palatine_Tonsils	#70febc	8	21.0	14.0	#bbee91	#6efebe
Fusobacterium sp. CM1	Palatine_Tonsils	#70febc	5	25.0	5.0	#f6be68	#2c7ef7
Fusobacterium sp. CM22	Supragingival_plaque	#ff8646	8	18.0	3.0	#8efeac	#4e4dfc
Fusobacterium sp. OBRC1	Throat	#ff5c2f	8	18.0	3.0	#8efeac	#4e4dfc
Gemella bergeri	Keratinized_gingiva	#17cbe4	2	2.0	16.0	#622ffe	#90feab
Gemella cuniculi	Attached	#622ffe	2	28.0	0.0	#ff8646	#8000ff
Gordonibacter pamelaeae	Stool	#e8cb72	1	5.0	10.0	#3670f8	#2adddd
Haemophilus paraphrohaemolyticus	Buccal_mucosa	#445cfb	8	20.0	24.0	#acf59a	#ff964f
Haemophilus sp. C1	Buccal_mucosa	#445cfb	7	20.0	24.0	#acf59a	#ff964f
Haemophilus sp. oral taxon 851	Keratinized_gingiva	#17cbe4	4	16.0	1.0	#70febc	#7019ff
Haemophilus sputorum	Saliva	#cbe486	8	22.0	3.0	#cbe486	#4e4dfc
Johnsonella ignava	Subgingival_plaque	#ffac5c	4	16.0	1.0	#70febc	#7019ff
Lachnoanaerobaculum sp. MSX33	Tongue_dorsum	#ff2f18	9	18.0	3.0	#8efeac	#4e4dfc
Lactobacillus crispatus	Mid_vagina	#52f5cb	2	6.0	4.0	#2686f5	#3c68f9
Lactococcus lactis	Anterior_nares	#8000ff	2	2.0	16.0	#622ffe	#90feab
Lautropia mirabilis	Supragingival_plaque	#ff8646	10	24.0	21.0	#e8cb72	#e4cf74
Leptotrichia buccalis	Supragingival_plaque	#ff8646	6	17.0	5.0	#7effb5	#2c7ef7
Leptotrichia hofstadii	Supragingival_plaque	#ff8646	8	21.0	14.0	#bbee91	#6efebe
Leptotrichia shahii	Tongue_dorsum	#ff2f18	6	17.0	5.0	#7effb5	#2c7ef7
Leptotrichia sp. oral taxon 225	Supragingival_plaque	#ff8646	2	2.0	16.0	#622ffe	#90feab
Leptotrichia trevisanii	Palatine_Tonsils	#70febc	9	0.0	8.0	#8000ff	#08bee9
Mannheimia varigena	Buccal_mucosa_NA	#2686f5	2	28.0	0.0	#ff8646	#8000ff
Megasphaera sp. BV3C16-1	Saliva	#cbe486	2	2.0	16.0	#622ffe	#90feab
Mogibacterium sp. CM50	Subgingival_plaque	#ffac5c	8	21.0	14.0	#bbee91	#6efebe
Mogibacterium timidum	Palatine_Tonsils	#70febc	6	17.0	5.0	#7effb5	#2c7ef7
Morococcus cerebrosus	Palatine_Tonsils	#70febc	8	20.0	24.0	#acf59a	#ff964f
Neisseria bacilliformis	Throat	#ff5c2f	4	14.0	3.0	#52f5cb	#4e4dfc
Neisseria cinerea	Keratinized_gingiva	#17cbe4	6	22.0	3.0	#cbe486	#4e4dfc
Neisseria elongata	Supragingival_plaque	#ff8646	4	14.0	3.0	#52f5cb	#4e4dfc
Neisseria flavescens	Throat	#ff5c2f	6	22.0	3.0	#cbe486	#4e4dfc
Neisseria gonorrhoeae	Keratinized_gingiva	#17cbe4	6	22.0	3.0	#cbe486	#4e4dfc
Neisseria lactamica	Keratinized_gingiva	#17cbe4	7	22.0	3.0	#cbe486	#4e4dfc
Neisseria meningitidis	Throat	#ff5c2f	10	24.0	21.0	#e8cb72	#e4cf74
Neisseria mucosa	Throat	#ff5c2f	10	24.0	21.0	#e8cb72	#e4cf74
Neisseria polysaccharea	Keratinized_gingiva	#17cbe4	6	22.0	3.0	#cbe486	#4e4dfc
Neisseria sicca	Buccal_mucosa	#445cfb	8	20.0	24.0	#acf59a	#ff964f
Neisseria sp. GT4A_CT1	Supragingival_plaque	#ff8646	2	26.0	13.0	#ffac5c	#5df9c7
Neisseria sp. HMSC06F02	Saliva	#cbe486	2	26.0	13.0	#ffac5c	#5df9c7
Neisseria sp. oral taxon 014	Supragingival_plaque	#ff8646	7	20.0	24.0	#acf59a	#ff964f
Neisseria subflava	Tongue_dorsum	#ff2f18	6	22.0	3.0	#cbe486	#4e4dfc
Odoribacter splanchnicus	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Olsenella uli	Palatine_Tonsils	#70febc	10	27.0	9.0	#ff9b52	#18cde4
Oribacterium sp. oral taxon 078	Subgingival_plaque	#ffac5c	10	31.0	18.0	#ff4724	#b2f396
Oscillibacter sp. ER4	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Parabacteroides merdae	Stool	#e8cb72	2	6.0	4.0	#2686f5	#3c68f9
Paraprevotella clara	Stool	#e8cb72	2	30.0	17.0	#ff5c2f	#a0faa1
Pasteurella multocida	Keratinized_gingiva	#17cbe4	2	28.0	0.0	#ff8646	#8000ff
[Pasteurella] pneumotropica	Buccal_mucosa	#445cfb	4	27.0	6.0	#ff9b52	#1996f3
Peptoniphilus lacrimalis	Hard_palate	#08acee	8	20.0	24.0	#acf59a	#ff964f
Peptostreptococcaceae bacterium ACC19a	Throat	#ff5c2f	4	16.0	1.0	#70febc	#7019ff
Peptostreptococcaceae bacterium CM2	Hard_palate	#08acee	2	3.0	11.0	#5444fd	#3ae8d6
Peptostreptococcaceae bacterium OBRC8	Subgingival_plaque	#ffac5c	2	26.0	13.0	#ffac5c	#5df9c7
