	source	target	weight	edge_sample	edge_color
0	Acidovorax sp. JS42	Acidovorax ebreus	1.0	Buccal_mucosa	#445cfb
1	Actinomyces gerencseriae	Actinomyces dentalis	1.0	Subgingival_plaque	#ffac5c
2	Actinomyces johnsonii	Actinomyces dentalis	1.0	Subgingival_plaque	#ffac5c
3	Actinomyces johnsonii	Actinomyces gerencseriae	1.0	Subgingival_plaque	#ffac5c
4	Actinomyces massiliensis	Actinobaculum sp. oral taxon 183	0.825136612022	Mixed	#cccccc
5	Actinomyces naeslundii	Actinomyces dentalis	0.81325006079	Mixed	#cccccc
6	Actinomyces naeslundii	Actinomyces gerencseriae	0.81325006079	Mixed	#cccccc
7	Actinomyces naeslundii	Actinomyces johnsonii	0.81325006079	Mixed	#cccccc
8	Actinomyces odontolyticus	Actinomyces israelii	1.0	Mixed	#cccccc
9	Actinomyces sp. oral taxon 448	Abiotrophia defectiva	1.0	Mixed	#cccccc
10	Actinomyces turicensis	Actinomyces sp. SD1	1.0	Mixed	#cccccc
11	Actinomyces viscosus	Abiotrophia defectiva	0.890813328985	Mixed	#cccccc
12	Actinomyces viscosus	Actinomyces sp. oral taxon 448	0.890813328985	Mixed	#cccccc
13	Aggregatibacter sp. oral taxon 458	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
14	Alcaligenes faecalis	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
15	Alistipes sp. HGB5	Alistipes sp. AL-1	1.0	Stool	#e8cb72
16	Alloiococcus otitis	Acidovorax delafieldii	1.0	Anterior_nares	#8000ff
17	Alloprevotella tannerae	Alistipes sp. AL-1	1.0	Mixed	#cccccc
18	Alloprevotella tannerae	Alistipes sp. HGB5	1.0	Mixed	#cccccc
19	Anaerococcus provenciensis	Acidovorax delafieldii	0.81325006079	Mixed	#cccccc
20	Anaerococcus provenciensis	Alloiococcus otitis	0.81325006079	Mixed	#cccccc
21	Anaerococcus vaginalis	Achromobacter xylosoxidans	1.0	Mixed	#cccccc
22	Arcanobacterium sp. S3PF19	Anaerococcus sp. MT16	1.0	L_Retroauricular_crease	#34e4d9
23	Atopobium sp. BS2	Atopobium parvulum	1.0	Saliva	#cbe486
