TAXA	Acetobacterium dehalogenans	Acidaminococcus sp. D21	Acidovorax delafieldii	Actinomyces graevenitzii	Actinotignum schaalii	Afipia broomeae	Alistipes finegoldii	Alistipes onderdonkii	Alistipes senegalensis	Alistipes timonensis	Alkaliflexus imshenetskii	Anaerococcus lactolyticus	Anaerovibrio lipolyticus	Atopobium vaginae	Bifidobacterium angulatum	Bifidobacterium ruminantium	Bradyrhizobium sp. BTAi1	Burkholderiales bacterium 1_1_47	Buttiauxella agrestis	Butyrivibrio fibrisolvens	Butyrivibrio sp. FCS014	Butyrivibrio sp. MC2021	Candidatus Hamiltonella defensa	Candidatus Saccharibacteria oral taxon TM7x	Candidatus Stoquefichus sp. SB1	Cellulomonas carbonis	Citrobacter koseri	Clostridium dakarense	[Clostridium] litorale	Clostridium neonatale	Clostridium sartagoforme	Clostridium sp. 1_1_41A1FAA	Clostridium sp. 7_2_43FAA	Clostridium sp. C8	Collinsella aerofaciens	Collinsella sp. 4_8_47FAA	Desulfitobacterium hafniense	Desulfotomaculum nigrificans	Desulfovibrio sp. 3_1_syn3	Desulfovibrio sp. 6_1_46AFAA	Dialister micraerophilus	Dorea sp. D27	Eggerthella sp. 1_3_56FAA	Eggerthia catenaformis	Enterobacter cloacae	Enterobacteriaceae bacterium strain FGI 57	Enterococcus columbae	Enterococcus dispar	Enterorhabdus caecimuris	Erwinia tracheiphila	Escherichia albertii	Escherichia fergusonii	Ethanoligenens harbinense	[Eubacterium] eligens	[Eubacterium] infirmum	Eubacterium sp. 14-2	Fermentimonas caenicola	Fibrella aestuarina	Finegoldia magna	Fusobacterium varium	Gardnerella vaginalis	Gemella morbillorum	Haemophilus haemolyticus	Halalkalibacillus halophilus	Hallella seregens	Idiomarina zobellii	Intestinibacter bartlettii	Klebsiella sp. 4_1_44FAA	Kluyvera cryocrescens	Lachnoclostridium phytofermentans	Lachnospiraceae bacterium 3-2	Lachnospiraceae bacterium 5_1_57FAA	Lachnospiraceae bacterium AC2014	Lachnospiraceae bacterium AC2029	Lachnospiraceae bacterium AC3007	Lachnospiraceae bacterium FE2018	Lachnospiraceae bacterium ND2006	Lachnospiraceae bacterium oral taxon 500	Lachnospiraceae bacterium P6B14	Lachnospiraceae bacterium TWA4	Lachnospiraceae bacterium V9D3004	Leuconostoc mesenteroides	Marinilabilia salmonicolor	Megamonas funiformis	Megamonas hypermegale	Megamonas rupellensis	Megasphaera elsdenii	Megasphaera sp. DJF_B143	Mitsuokella jalaludinii	Mitsuokella multacida	Mobiluncus curtisii	Mobiluncus mulieris	Neisseria sp. KH1503	Novosphingobium nitrogenifigens	Ornithobacterium rhinotracheale	Paenibacillus stellifer	Paludibacter propionicigenes	Parasutterella excrementihominis	Parvimonas micra	Pedobacter kyungheensis	Peptoniphilus grossensis	Peptostreptococcaceae bacterium VA2	Polaromonas sp. JS666	Pontibacter roseus	Porphyromonas gulae	Prevotella histicola	Prevotella oris	Prevotella paludivivens	Prolixibacter bellariivorans	Pseudobutyrivibrio ruminis	Pseudobutyrivibrio sp. MD2005	Pyramidobacter piscolens	Roseburia inulinivorans	Sanguibacteroides sp. GM7	Shigella flexneri	Sinorhizobium sp. GL28	Sphingomonas sp. Ant H11	Streptococcus agalactiae	Streptococcus gallolyticus	Succinispira mobilis	Terrisporobacter othiniensis	Turicibacter sanguinis	Turicibacter sp. HGF1	Varibaculum cambriense	Veillonella montpellierensis	Veillonella seminalis	Veillonella sp. 3_1_44	Veillonella sp. 6_1_27
Acetobacterium dehalogenans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus sp. D21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax delafieldii	0.0	0.0	0.0	0.0	0.0	0.9999999999999981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces graevenitzii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8931700896183012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8648116324748867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinotignum schaalii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afipia broomeae	0.0	0.0	0.9999999999999981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes finegoldii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866795764715893	0.8229941165485544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes onderdonkii	0.0	0.0	0.0	0.0	0.0	0.0	0.866795764715893	0.0	0.8069943909991556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes senegalensis	0.0	0.0	0.0	0.0	0.0	0.0	0.8229941165485544	0.8069943909991556	0.0	0.8169208452228816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes timonensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8169208452228816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
