TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces georgiae	Subgingival_plaque	#ffac5c	17	8.0	2.0	#ff0000	#01b3ec
Actinomyces gerencseriae	Subgingival_plaque	#ffac5c	19	8.0	2.0	#ff0000	#01b3ec
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	5	8.0	2.0	#ff0000	#01b3ec
Actinomyces massiliensis	Supragingival_plaque	#ff8646	19	5.0	0.0	#beec8e	#8000ff
Actinomyces oris	Supragingival_plaque	#ff8646	19	5.0	0.0	#beec8e	#8000ff
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	2	3.0	3.0	#3febd5	#3febd5
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff8646	19	5.0	0.0	#beec8e	#8000ff
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff8646	19	5.0	0.0	#beec8e	#8000ff
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff8646	19	5.0	0.0	#beec8e	#8000ff
Actinomyces sp. oral taxon 180	Tongue_dorsum	#ff2f18	3	8.0	2.0	#ff0000	#01b3ec
Actinomyces sp. oral taxon 414	Subgingival_plaque	#ffac5c	19	8.0	2.0	#ff0000	#01b3ec
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff8646	11	5.0	0.0	#beec8e	#8000ff
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff8646	14	5.0	0.0	#beec8e	#8000ff
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff8646	19	5.0	0.0	#beec8e	#8000ff
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff8646	6	7.0	3.0	#ff6232	#3febd5
Actinomyces timonensis	Subgingival_plaque	#ffac5c	19	2.0	1.0	#01b3ec	#425ffa
Actinomyces viscosus	Attached	#622ffe	19	5.0	4.0	#beec8e	#7effb5
Afipia birgiae	Throat	#ff5c2f	2	2.0	1.0	#01b3ec	#425ffa
Aggregatibacter aphrophilus	Saliva	#cbe486	19	6.0	0.0	#feb562	#8000ff
Aggregatibacter segnis	Supragingival_plaque	#ff8646	13	3.0	3.0	#3febd5	#3febd5
Aggregatibacter sp. oral taxon 458	Saliva	#cbe486	19	3.0	3.0	#3febd5	#3febd5
Alistipes obesi	Stool	#e8cb72	3	8.0	2.0	#ff0000	#01b3ec
Alistipes putredinis	Stool	#e8cb72	2	7.0	3.0	#ff6232	#3febd5
Anaeroglobus geminatus	Subgingival_plaque	#ffac5c	10	6.0	0.0	#feb562	#8000ff
Atopobium rimae	Subgingival_plaque	#ffac5c	17	6.0	0.0	#feb562	#8000ff
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	4	3.0	3.0	#3febd5	#3febd5
Bacteroides coprocola	Stool	#e8cb72	2	7.0	3.0	#ff6232	#3febd5
Bacteroides dorei	Stool	#e8cb72	3	8.0	2.0	#ff0000	#01b3ec
Bacteroides fragilis	Stool	#e8cb72	3	8.0	2.0	#ff0000	#01b3ec
Bacteroides gallinarum	Stool	#e8cb72	3	8.0	2.0	#ff0000	#01b3ec
Bacteroides plebeius	Stool	#e8cb72	2	7.0	3.0	#ff6232	#3febd5
