TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Aggregatibacter segnis	Supragingival_plaque	#ff8646	13	21.0	7.0	#cee184	#04b9ea
Alistipes obesi	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Atopobium rimae	Subgingival_plaque	#ffac5c	17	30.0	10.0	#ff3219	#3dead5
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	4	14.0	0.0	#5efac6	#8000ff
Bacteroides coprocola	Stool	#e8cb72	2	27.0	8.0	#ff793e	#17cbe4
Bacteroides dorei	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Bacteroides fragilis	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Bacteroides gallinarum	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Bacteroides plebeius	Stool	#e8cb72	2	27.0	8.0	#ff793e	#17cbe4
Bacteroides pyogenes	Stool	#e8cb72	2	6.0	2.0	#218cf4	#5c38fd
Bacteroides thetaiotaomicron	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Bacteroides uniformis	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Bacteroides vulgatus	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Burkholderiales bacterium 1_1_47	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Campylobacter rectus	Subgingival_plaque	#ffac5c	19	9.0	10.0	#0fc4e7	#3dead5
Candidatus Alistipes marseilloanorexicus	Stool	#e8cb72	3	25.0	4.0	#ffa256	#3670f8
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Attached	#622ffe	3	25.0	4.0	#ffa256	#3670f8
Capnocytophaga sp. oral taxon 323	Supragingival_plaque	#ff8646	15	10.0	11.0	#1fd3e1	#4ef3cd
Capnocytophaga sp. oral taxon 324	Subgingival_plaque	#ffac5c	14	18.0	3.0	#9efaa2	#4856fb
Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff8646	13	18.0	3.0	#9efaa2	#4856fb
Carnobacterium maltaromaticum	Hard_palate	#08acee	2	6.0	2.0	#218cf4	#5c38fd
Centipeda periodontii	Subgingival_plaque	#ffac5c	17	30.0	10.0	#ff3219	#3dead5
Corynebacterium casei	Anterior_nares	#8000ff	2	32.0	8.0	#ff0000	#17cbe4
Corynebacterium diphtheriae	Anterior_nares	#8000ff	2	32.0	8.0	#ff0000	#17cbe4
Dialister invisus	Stool	#e8cb72	19	9.0	10.0	#0fc4e7	#3dead5
Eggerthia catenaformis	Subgingival_plaque	#ffac5c	4	2.0	0.0	#622ffe	#8000ff
[Eubacterium] infirmum	Subgingival_plaque	#ffac5c	15	10.0	11.0	#1fd3e1	#4ef3cd
