TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Actinomyces graevenitzii	Tongue_dorsum	#ff2f18	66	32.0	2.0	#ff964f	#6629fe
Actinomyces sp. HPA0247	Tongue_dorsum	#ff2f18	2	32.0	2.0	#ff964f	#6629fe
Actinomyces sp. ICM39	Tongue_dorsum	#ff2f18	11	32.0	2.0	#ff964f	#6629fe
Actinomyces sp. ICM47	Tongue_dorsum	#ff2f18	28	32.0	2.0	#ff964f	#6629fe
Actinomyces sp. ICM58	Tongue_dorsum	#ff2f18	3	32.0	2.0	#ff964f	#6629fe
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff2f18	11	32.0	2.0	#ff964f	#6629fe
Actinomyces sp. ph3	Tongue_dorsum	#ff2f18	8	24.0	4.0	#b2f396	#4c50fc
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff2f18	12	32.0	2.0	#ff964f	#6629fe
Alistipes obesi	Stool	#e8cb72	4	27.0	0.0	#d9da7d	#8000ff
Alistipes putredinis	Stool	#e8cb72	20	4.0	10.0	#4e4dfc	#02b7eb
Alistipes shahii	Stool	#e8cb72	6	4.0	10.0	#4e4dfc	#02b7eb
Anaerococcus lactolyticus	L_Retroauricular_crease	#34e4d9	2	5.0	1.0	#425ffa	#7413ff
Atopobium sp. BS2	Saliva	#cbe486	5	32.0	2.0	#ff964f	#6629fe
Atopobium sp. ICM42b	Saliva	#cbe486	2	32.0	2.0	#ff964f	#6629fe
Atopobium sp. oral taxon 199	Subgingival_plaque	#ffac5c	3	9.0	12.0	#0ea5ef	#1dd1e2
Atopobium sp. oral taxon 810	Buccal_mucosa	#445cfb	2	9.0	12.0	#0ea5ef	#1dd1e2
Bacteroides caccae	Stool	#e8cb72	18	31.0	9.0	#ffa759	#0ca7ef
Bacteroides dorei	Stool	#e8cb72	4	6.0	0.0	#3473f8	#8000ff
Bacteroides eggerthii	Stool	#e8cb72	4	36.0	15.0	#ff5029	#44eed2
Bacteroides faecis	Stool	#e8cb72	5	31.0	9.0	#ffa759	#0ca7ef
Bacteroides finegoldii	Stool	#e8cb72	4	6.0	0.0	#3473f8	#8000ff
Bacteroides massiliensis	Stool	#e8cb72	12	6.0	0.0	#3473f8	#8000ff
Bacteroides nordii	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Bacteroides sp. 1_1_30	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Bacteroides sp. 1_1_6	Stool	#e8cb72	1	19.0	9.0	#72febb	#0ca7ef
Bacteroides sp. 2_2_4	Stool	#e8cb72	3	23.0	3.0	#a4f89f	#5a3bfd
Bacteroides sp. 3_1_13	Stool	#e8cb72	4	31.0	9.0	#ffa759	#0ca7ef
Bacteroides sp. 3_1_19	Stool	#e8cb72	2	6.0	0.0	#3473f8	#8000ff
Bacteroides sp. 3_1_23	Stool	#e8cb72	2	23.0	3.0	#a4f89f	#5a3bfd
Bacteroides sp. 3_1_33FAA	Stool	#e8cb72	2	6.0	0.0	#3473f8	#8000ff
Bacteroides sp. 4_1_36	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Bacteroides sp. 9_1_42FAA	Stool	#e8cb72	2	6.0	0.0	#3473f8	#8000ff
Bacteroides sp. D2	Stool	#e8cb72	1	23.0	3.0	#a4f89f	#5a3bfd
Bacteroides sp. D20	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Bacteroides sp. D22	Stool	#e8cb72	1	23.0	3.0	#a4f89f	#5a3bfd
Bacteroides stercoris	Stool	#e8cb72	17	27.0	0.0	#d9da7d	#8000ff
Bacteroides thetaiotaomicron	Stool	#e8cb72	4	31.0	9.0	#ffa759	#0ca7ef
Bacteroides uniformis	Stool	#e8cb72	10	1.0	0.0	#7413ff	#8000ff
Bacteroides vulgatus	Stool	#e8cb72	12	6.0	0.0	#3473f8	#8000ff
Bacteroides xylanisolvens	Stool	#e8cb72	1	23.0	3.0	#a4f89f	#5a3bfd
Barnesiella intestinihominis	Stool	#e8cb72	12	4.0	10.0	#4e4dfc	#02b7eb
Bifidobacterium pseudocatenulatum	L_Retroauricular_crease	#34e4d9	1	23.0	3.0	#a4f89f	#5a3bfd
Blautia wexlerae	Stool	#e8cb72	1	19.0	9.0	#72febb	#0ca7ef
Carnobacterium maltaromaticum	Hard_palate	#08acee	126	17.0	2.0	#58f8c9	#6629fe
Cellulomonas carbonis	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Clostridia bacterium UC5.1-1D10	Stool	#e8cb72	2	6.0	0.0	#3473f8	#8000ff
[Clostridium] clostridioforme	Stool	#e8cb72	3	21.0	9.0	#8bfeae	#0ca7ef
Clostridium sp. GD3	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Clostridium sp. L2-50	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Clostridium sp. M62/1	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Collinsella aerofaciens	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Collinsella sp. 4_8_47FAA	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Coprococcus comes	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Corynebacterium diphtheriae	Anterior_nares	#8000ff	52	20.0	17.0	#7effb5	#5efac6
Cryptobacterium curtum	Saliva	#cbe486	14	9.0	12.0	#0ea5ef	#1dd1e2
Deinococcus radiodurans	Posterior_fornix	#8efeac	1	23.0	3.0	#a4f89f	#5a3bfd
Dolosigranulum pigrum	Anterior_nares	#8000ff	2	16.0	6.0	#4df3ce	#3176f8
Escherichia coli	Stool	#e8cb72	4	31.0	9.0	#ffa759	#0ca7ef
[Eubacterium] eligens	Stool	#e8cb72	4	31.0	9.0	#ffa759	#0ca7ef
[Eubacterium] hallii	Stool	#e8cb72	2	6.0	0.0	#3473f8	#8000ff
Eubacterium ramulus	Stool	#e8cb72	1	23.0	3.0	#a4f89f	#5a3bfd
[Eubacterium] rectale	Stool	#e8cb72	15	1.0	9.0	#7413ff	#0ca7ef
[Eubacterium] sulci	Tongue_dorsum	#ff2f18	16	32.0	2.0	#ff964f	#6629fe
Eubacterium ventriosum	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Faecalibacterium prausnitzii	Stool	#e8cb72	10	31.0	9.0	#ffa759	#0ca7ef
Filifactor alocis	Palatine_Tonsils	#70febc	54	36.0	23.0	#ff5029	#acf59a
Fusobacterium periodonticum	Throat	#ff5c2f	251	35.0	2.0	#ff6232	#6629fe
Gemella bergeri	Keratinized_gingiva	#17cbe4	4	4.0	10.0	#4e4dfc	#02b7eb
Gemella cuniculi	Attached	#622ffe	2	4.0	10.0	#4e4dfc	#02b7eb
Gemella haemolysans	Buccal_mucosa	#445cfb	226	4.0	10.0	#4e4dfc	#02b7eb
Gemella sanguinis	Tongue_dorsum	#ff2f18	135	17.0	2.0	#58f8c9	#6629fe
Granulicatella elegans	Keratinized_gingiva	#17cbe4	144	4.0	10.0	#4e4dfc	#02b7eb
Haemophilus parahaemolyticus	Buccal_mucosa_NA	#2686f5	129	4.0	10.0	#4e4dfc	#02b7eb
Haemophilus paraphrohaemolyticus	Buccal_mucosa	#445cfb	101	7.0	21.0	#2884f6	#92fda9
Haemophilus sp. C1	Buccal_mucosa	#445cfb	47	36.0	8.0	#ff5029	#1898f2
Haemophilus sputorum	Saliva	#cbe486	151	4.0	10.0	#4e4dfc	#02b7eb
Hallella seregens	Subgingival_plaque	#ffac5c	2	3.0	20.0	#5a3bfd	#84ffb2
Intestinimonas butyriciproducens	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
Intestinimonas sp. GD2	Stool	#e8cb72	2	31.0	9.0	#ffa759	#0ca7ef
