	source	target	weight	edge_sample	edge_color
0	Actinobacillus suis	Acidovorax caeni	1.0	Mixed	#cccccc
1	Actinobaculum sp. oral taxon 183	Acidovorax avenae	0.85005384871	Mixed	#cccccc
2	Actinomyces dentalis	Acidovorax avenae	0.996502494807	Mixed	#cccccc
3	Actinomyces dentalis	Actinobaculum sp. oral taxon 183	0.86013938765	Subgingival_plaque	#ffac5c
4	Actinomyces gerencseriae	Acidovorax avenae	0.991650582388	Mixed	#cccccc
5	Actinomyces gerencseriae	Actinobaculum sp. oral taxon 183	0.870433035888	Subgingival_plaque	#ffac5c
6	Actinomyces gerencseriae	Actinomyces dentalis	0.994697882397	Subgingival_plaque	#ffac5c
7	Actinomyces johnsonii	Abiotrophia defectiva	0.818352598074	Mixed	#cccccc
8	Actinomyces johnsonii	Acidovorax avenae	0.981525241445	Mixed	#cccccc
9	Actinomyces johnsonii	Actinobaculum sp. oral taxon 183	0.842001847211	Subgingival_plaque	#ffac5c
10	Actinomyces johnsonii	Actinomyces dentalis	0.984384488328	Subgingival_plaque	#ffac5c
11	Actinomyces johnsonii	Actinomyces gerencseriae	0.977062470606	Subgingival_plaque	#ffac5c
12	Actinomyces massiliensis	Acidovorax avenae	0.959863121783	Supragingival_plaque	#ff8646
13	Actinomyces massiliensis	Actinobaculum sp. oral taxon 183	0.895531109369	Mixed	#cccccc
14	Actinomyces massiliensis	Actinomyces dentalis	0.963058577012	Mixed	#cccccc
15	Actinomyces massiliensis	Actinomyces gerencseriae	0.966386809712	Mixed	#cccccc
16	Actinomyces massiliensis	Actinomyces johnsonii	0.954018666702	Mixed	#cccccc
17	Actinomyces naeslundii	Acidovorax avenae	0.965481273947	Supragingival_plaque	#ff8646
18	Actinomyces naeslundii	Actinobaculum sp. oral taxon 183	0.878460692416	Mixed	#cccccc
19	Actinomyces naeslundii	Actinomyces dentalis	0.974942773085	Mixed	#cccccc
20	Actinomyces naeslundii	Actinomyces gerencseriae	0.973992914906	Mixed	#cccccc
21	Actinomyces naeslundii	Actinomyces johnsonii	0.962166229596	Mixed	#cccccc
22	Actinomyces naeslundii	Actinomyces massiliensis	0.955829990296	Supragingival_plaque	#ff8646
23	Actinomyces sp. oral taxon 170	Acidovorax avenae	0.982587997185	Supragingival_plaque	#ff8646
24	Actinomyces sp. oral taxon 170	Actinobaculum sp. oral taxon 183	0.866118972361	Mixed	#cccccc
25	Actinomyces sp. oral taxon 170	Actinomyces dentalis	0.981984332289	Mixed	#cccccc
26	Actinomyces sp. oral taxon 170	Actinomyces gerencseriae	0.982450662856	Mixed	#cccccc
27	Actinomyces sp. oral taxon 170	Actinomyces johnsonii	0.972846978171	Mixed	#cccccc
28	Actinomyces sp. oral taxon 170	Actinomyces massiliensis	0.984804531172	Supragingival_plaque	#ff8646
29	Actinomyces sp. oral taxon 170	Actinomyces naeslundii	0.960408639081	Supragingival_plaque	#ff8646
30	Actinomyces sp. oral taxon 175	Abiotrophia defectiva	0.889513336297	Mixed	#cccccc
31	Actinomyces sp. oral taxon 175	Actinomyces oris	0.804872016693	Supragingival_plaque	#ff8646
32	Actinomyces sp. oral taxon 414	Abiotrophia defectiva	0.847139288537	Mixed	#cccccc
33	Actinomyces sp. oral taxon 414	Acidovorax avenae	0.964707734401	Mixed	#cccccc
34	Actinomyces sp. oral taxon 414	Actinobaculum sp. oral taxon 183	0.844247168881	Subgingival_plaque	#ffac5c
35	Actinomyces sp. oral taxon 414	Actinomyces dentalis	0.970753810251	Subgingival_plaque	#ffac5c
36	Actinomyces sp. oral taxon 414	Actinomyces gerencseriae	0.964447626622	Subgingival_plaque	#ffac5c
37	Actinomyces sp. oral taxon 414	Actinomyces johnsonii	0.971448494545	Subgingival_plaque	#ffac5c
38	Actinomyces sp. oral taxon 414	Actinomyces massiliensis	0.937341303043	Mixed	#cccccc
39	Actinomyces sp. oral taxon 414	Actinomyces naeslundii	0.954311093794	Mixed	#cccccc
40	Actinomyces sp. oral taxon 414	Actinomyces sp. oral taxon 170	0.952984260655	Mixed	#cccccc
41	Actinomyces sp. oral taxon 848	Abiotrophia defectiva	0.831723152633	Mixed	#cccccc
42	Actinomyces sp. oral taxon 848	Acidovorax avenae	0.990980305754	Supragingival_plaque	#ff8646
43	Actinomyces sp. oral taxon 848	Actinobaculum sp. oral taxon 183	0.849159826628	Mixed	#cccccc
44	Actinomyces sp. oral taxon 848	Actinomyces dentalis	0.990386527164	Mixed	#cccccc
45	Actinomyces sp. oral taxon 848	Actinomyces gerencseriae	0.984563000063	Mixed	#cccccc
46	Actinomyces sp. oral taxon 848	Actinomyces johnsonii	0.985619847804	Mixed	#cccccc
47	Actinomyces sp. oral taxon 848	Actinomyces massiliensis	0.967036691532	Supragingival_plaque	#ff8646
48	Actinomyces sp. oral taxon 848	Actinomyces naeslundii	0.96379990986	Supragingival_plaque	#ff8646
49	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 170	0.985169902746	Supragingival_plaque	#ff8646
50	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 414	0.974315161704	Mixed	#cccccc
51	Actinomyces sp. oral taxon 849	Acidovorax avenae	1.0	Supragingival_plaque	#ff8646
52	Actinomyces sp. oral taxon 849	Actinobaculum sp. oral taxon 183	0.85005384871	Mixed	#cccccc
53	Actinomyces sp. oral taxon 849	Actinomyces dentalis	0.996502494807	Mixed	#cccccc
54	Actinomyces sp. oral taxon 849	Actinomyces gerencseriae	0.991650582388	Mixed	#cccccc
55	Actinomyces sp. oral taxon 849	Actinomyces johnsonii	0.981525241445	Mixed	#cccccc
56	Actinomyces sp. oral taxon 849	Actinomyces massiliensis	0.959863121783	Supragingival_plaque	#ff8646
57	Actinomyces sp. oral taxon 849	Actinomyces naeslundii	0.965481273947	Supragingival_plaque	#ff8646
58	Actinomyces sp. oral taxon 849	Actinomyces sp. oral taxon 170	0.982587997185	Supragingival_plaque	#ff8646
59	Actinomyces sp. oral taxon 849	Actinomyces sp. oral taxon 414	0.964707734401	Mixed	#cccccc
60	Actinomyces sp. oral taxon 849	Actinomyces sp. oral taxon 848	0.990980305754	Supragingival_plaque	#ff8646
61	Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	0.899369801196	Tongue_dorsum	#ff2f18
62	Actinomyces viscosus	Actinomyces sp. oral taxon 175	0.821747246485	Mixed	#cccccc
63	Aggregatibacter segnis	Acidovorax avenae	0.830359388417	Supragingival_plaque	#ff8646
