	source	target	weight	edge_sample	edge_color
0	Actinomyces	Abiotrophia	12.0	Mixed	#cccccc
1	Actinomyces	Acidovorax	15.0	Mixed	#cccccc
2	Actinomyces	Acinetobacter	15.0	Mixed	#cccccc
3	Actinomyces	Actinobaculum	23.0	Mixed	#cccccc
4	Akkermansia	Acidovorax	5.0	Mixed	#cccccc
5	Alcaligenes	Actinobaculum	3.0	Mixed	#cccccc
6	Alicycliphilus	Aerococcus	2.0	Mixed	#cccccc
7	Alistipes	Achromobacter	1.0	Mixed	#cccccc
8	Alistipes	Acidovorax	16.0	Mixed	#cccccc
9	Alistipes	Actinobaculum	10.0	Mixed	#cccccc
10	Alistipes	Actinomyces	18.0	Mixed	#cccccc
11	Alistipes	Akkermansia	11.0	Stool	#e8cb72
12	Alloiococcus	Abiotrophia	2.0	Mixed	#cccccc
13	Alloiococcus	Alistipes	1.0	Mixed	#cccccc
14	Alloprevotella	Abiotrophia	8.0	Mixed	#cccccc
15	Alloprevotella	Acidovorax	11.0	Mixed	#cccccc
16	Alloprevotella	Acinetobacter	5.0	Mixed	#cccccc
17	Alloprevotella	Actinobaculum	7.0	Mixed	#cccccc
18	Alloprevotella	Actinomyces	16.0	Mixed	#cccccc
19	Alloprevotella	Alicycliphilus	2.0	Mixed	#cccccc
20	Alloprevotella	Alistipes	12.0	Mixed	#cccccc
21	Alysiella	Alicycliphilus	2.0	Mixed	#cccccc
22	Anaerococcus	Achromobacter	2.0	L_Retroauricular_crease	#34e4d9
23	Anaerococcus	Acidovorax	12.0	L_Retroauricular_crease	#34e4d9
24	Anaerococcus	Acinetobacter	10.0	Mixed	#cccccc
25	Anaerococcus	Actinobaculum	10.0	Mixed	#cccccc
26	Anaerococcus	Actinomyces	31.0	Mixed	#cccccc
27	Anaerococcus	Actinoplanes	3.0	Mixed	#cccccc
28	Anaerococcus	Afipia	2.0	Mixed	#cccccc
29	Anaerococcus	Agrobacterium	5.0	Mixed	#cccccc
30	Anaerococcus	Alistipes	18.0	Mixed	#cccccc
31	Anaerococcus	Alloprevotella	10.0	Mixed	#cccccc
32	Anaerotruncus	Alistipes	1.0	Stool	#e8cb72
33	Anoxybacillus	Anaerococcus	1.0	Mixed	#cccccc
