TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Actinomyces	Tongue_dorsum	#ff2f18	199	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Akkermansia	Stool	#e8cb72	73	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Alcaligenes	Anterior_nares	#8000ff	8	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Alicycliphilus	L_Retroauricular_crease	#34e4d9	10	1.0	3.0	#1996f3	#18cde4	Mixed	#cccccc
Alistipes	Stool	#e8cb72	145	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Alloiococcus	Anterior_nares	#8000ff	33	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Alloprevotella	Keratinized_gingiva	#17cbe4	145	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Alysiella	Keratinized_gingiva	#17cbe4	14	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Anaerococcus	L_Retroauricular_crease	#34e4d9	180	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Anaerotruncus	Stool	#e8cb72	2	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Anoxybacillus	Anterior_nares	#8000ff	5	1.0	4.0	#1996f3	#4df3ce	Mixed	#cccccc
Aquabacterium	L_Retroauricular_crease	#34e4d9	12	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Arcanobacterium	L_Retroauricular_crease	#34e4d9	62	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Arcobacter	L_Retroauricular_crease	#34e4d9	4	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Arthrobacter	Anterior_nares	#8000ff	42	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Asticcacaulis	R_Retroauricular_crease	#acf59a	1	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Atopobacter	Anterior_nares	#8000ff	4	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Atopobium	Posterior_fornix	#8efeac	87	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Aureimonas	R_Retroauricular_crease	#acf59a	18	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Azohydromonas	Anterior_nares	#8000ff	4	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Azonexus	Buccal_mucosa	#445cfb	1	1.0	3.0	#1996f3	#18cde4	Mixed	#cccccc
Azospira	Anterior_nares	#8000ff	7	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Bacillus	Anterior_nares	#8000ff	158	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Bacteroides	Stool	#e8cb72	199	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Barnesiella	Stool	#e8cb72	58	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Belnapia	L_Retroauricular_crease	#34e4d9	2	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Bergeyella	R_Retroauricular_crease	#acf59a	22	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Bifidobacterium	Posterior_fornix	#8efeac	80	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Blastococcus	Anterior_nares	#8000ff	6	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Blautia	Stool	#e8cb72	74	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Bosea	R_Retroauricular_crease	#acf59a	7	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Brachybacterium	R_Retroauricular_crease	#acf59a	30	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Brachymonas	Anterior_nares	#8000ff	3	1.0	3.0	#1996f3	#18cde4	Mixed	#cccccc
Bradyrhizobium	Anterior_nares	#8000ff	46	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Brevibacterium	Anterior_nares	#8000ff	78	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Brevundimonas	R_Retroauricular_crease	#acf59a	47	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	22	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Bulleidia	Throat	#ff5c2f	12	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Burkholderia	Posterior_fornix	#8efeac	21	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Butyricimonas	Stool	#e8cb72	30	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Butyrivibrio	Stool	#e8cb72	20	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Caldilinea	Anterior_nares	#8000ff	1	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Caldimonas	R_Retroauricular_crease	#acf59a	1	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Calothrix	Anterior_nares	#8000ff	14	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Campylobacter	Attached	#622ffe	156	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Capnocytophaga	Supragingival_plaque	#ff8646	181	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Cardiobacterium	Subgingival_plaque	#ffac5c	27	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Carnobacterium	Hard_palate	#08acee	114	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Catenibacterium	Stool	#e8cb72	16	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Catonella	Subgingival_plaque	#ffac5c	50	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Caulobacter	Anterior_nares	#8000ff	27	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Cellulomonas	Stool	#e8cb72	10	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Centipeda	Subgingival_plaque	#ffac5c	12	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Chlamydia	Keratinized_gingiva	#17cbe4	19	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Chroococcidiopsis	Anterior_nares	#8000ff	11	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Chryseobacterium	R_Retroauricular_crease	#acf59a	57	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Clostridium	Stool	#e8cb72	66	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Collinsella	Stool	#e8cb72	37	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Comamonas	R_Retroauricular_crease	#acf59a	33	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
Conchiformibius	R_Retroauricular_crease	#acf59a	13	1.0	1.0	#1996f3	#4e4dfc	Mixed	#cccccc
Coprobacter	Stool	#e8cb72	3	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Coprococcus	Stool	#e8cb72	53	1.0	0.0	#1996f3	#8000ff	Mixed	#cccccc
Corynebacterium	Supragingival_plaque	#ff8646	213	1.0	2.0	#1996f3	#1996f3	Mixed	#cccccc
