	source	target	weight	edge_sample	edge_color
0	Acinetobacter	Acidithiobacillus	5.0	Mixed	#cccccc
1	Actinobacillus	Abiotrophia	21.0	Mixed	#cccccc
2	Actinobaculum	Abiotrophia	6.0	Mixed	#cccccc
3	Actinomyces	Abiotrophia	34.0	Mixed	#cccccc
4	Actinomyces	Acidovorax	11.0	Mixed	#cccccc
5	Actinomyces	Acinetobacter	15.0	Mixed	#cccccc
6	Actinomyces	Actinobacillus	53.0	Mixed	#cccccc
7	Aggregatibacter	Abiotrophia	50.0	Mixed	#cccccc
8	Aggregatibacter	Acidovorax	11.0	Mixed	#cccccc
9	Aggregatibacter	Acinetobacter	11.0	Mixed	#cccccc
10	Aggregatibacter	Actinobacillus	59.0	Mixed	#cccccc
11	Aggregatibacter	Actinomyces	74.0	Mixed	#cccccc
12	Alistipes	Actinomyces	18.0	Mixed	#cccccc
13	Alloiococcus	Alicycliphilus	2.0	Mixed	#cccccc
14	Alloprevotella	Abiotrophia	17.0	Mixed	#cccccc
15	Alloprevotella	Actinobacillus	15.0	Mixed	#cccccc
16	Alloprevotella	Actinomyces	26.0	Mixed	#cccccc
17	Alloprevotella	Aggregatibacter	28.0	Mixed	#cccccc
18	Alloprevotella	Akkermansia	5.0	Mixed	#cccccc
19	Anaeroglobus	Abiotrophia	12.0	Mixed	#cccccc
20	Anaeroglobus	Actinobacillus	14.0	Mixed	#cccccc
21	Anaeroglobus	Actinobaculum	3.0	Subgingival_plaque	#ffac5c
22	Anaeroglobus	Actinomyces	25.0	Mixed	#cccccc
23	Anaeroglobus	Aggregatibacter	29.0	Mixed	#cccccc
24	Anaeroglobus	Alicycliphilus	5.0	Mixed	#cccccc
25	Anaeroglobus	Alistipes	5.0	Mixed	#cccccc
26	Anaeroglobus	Alloprevotella	16.0	Mixed	#cccccc
27	Aquabacterium	Alloiococcus	1.0	Mixed	#cccccc
28	Aromatoleum	Aquabacterium	1.0	Mixed	#cccccc
29	Atopobium	Abiotrophia	13.0	Mixed	#cccccc
30	Atopobium	Actinobacillus	35.0	Mixed	#cccccc
31	Atopobium	Actinomyces	63.0	Mixed	#cccccc
32	Atopobium	Aggregatibacter	45.0	Mixed	#cccccc
33	Atopobium	Alistipes	10.0	Mixed	#cccccc
34	Atopobium	Alloprevotella	15.0	Mixed	#cccccc
35	Atopobium	Anaeroglobus	23.0	Mixed	#cccccc
36	Avibacterium	Aggregatibacter	3.0	Mixed	#cccccc
37	Avibacterium	Alkaliphilus	2.0	Mixed	#cccccc
38	Bacillus	Abiotrophia	13.0	Mixed	#cccccc
39	Bacillus	Acinetobacter	9.0	Anterior_nares	#8000ff
40	Bacillus	Actinobacillus	34.0	Mixed	#cccccc
41	Bacillus	Actinomyces	34.0	Mixed	#cccccc
42	Bacillus	Aggregatibacter	40.0	Mixed	#cccccc
43	Bacillus	Alloprevotella	11.0	Mixed	#cccccc
44	Bacillus	Atopobium	22.0	Mixed	#cccccc
45	Bacillus	Avibacterium	1.0	Mixed	#cccccc
46	Barnesiella	Aggregatibacter	1.0	Mixed	#cccccc
47	Barnesiella	Alistipes	10.0	Stool	#e8cb72
48	Basfia	Avibacterium	2.0	Mixed	#cccccc
49	Bergeyella	Abiotrophia	6.0	Mixed	#cccccc
50	Bergeyella	Actinomyces	11.0	Mixed	#cccccc
51	Bergeyella	Anaeroglobus	4.0	Mixed	#cccccc
52	Bergeyella	Atopobium	4.0	Mixed	#cccccc
53	Bifidobacterium	Bacillus	4.0	Mixed	#cccccc
54	Bifidobacterium	Bacteroides	5.0	Mixed	#cccccc
55	Bordetella	Aromatoleum	1.0	Mixed	#cccccc
56	Brachymonas	Acidithiobacillus	3.0	Mixed	#cccccc
57	Brachymonas	Aquabacterium	1.0	Mixed	#cccccc
58	Brachymonas	Bordetella	1.0	Mixed	#cccccc
59	Bradyrhizobium	Alkaliphilus	1.0	Anterior_nares	#8000ff
60	Brevibacterium	Acidovorax	2.0	Mixed	#cccccc
61	Brevibacterium	Alloiococcus	1.0	Anterior_nares	#8000ff
62	Brevibacterium	Anaeroglobus	1.0	Mixed	#cccccc
63	Brevibacterium	Aquabacterium	1.0	Mixed	#cccccc
64	Brevibacterium	Atopobium	1.0	Mixed	#cccccc
65	Bulleidia	Abiotrophia	8.0	Mixed	#cccccc
66	Bulleidia	Actinobacillus	6.0	Mixed	#cccccc
67	Bulleidia	Actinomyces	14.0	Mixed	#cccccc
68	Bulleidia	Aggregatibacter	17.0	Mixed	#cccccc
69	Bulleidia	Alicycliphilus	5.0	Mixed	#cccccc
70	Bulleidia	Alistipes	2.0	Mixed	#cccccc
71	Bulleidia	Alloiococcus	1.0	Mixed	#cccccc
72	Bulleidia	Alloprevotella	5.0	Mixed	#cccccc
73	Bulleidia	Anaeroglobus	6.0	Mixed	#cccccc
74	Bulleidia	Atopobium	12.0	Mixed	#cccccc
75	Burkholderia	Acidovorax	3.0	Mixed	#cccccc
76	Burkholderia	Alicycliphilus	2.0	Mixed	#cccccc
77	Burkholderia	Alloiococcus	1.0	Mixed	#cccccc
78	Burkholderia	Anaeroglobus	1.0	Mixed	#cccccc
79	Burkholderia	Aquabacterium	5.0	Mixed	#cccccc
80	Burkholderia	Atopobium	1.0	Posterior_fornix	#8efeac
81	Burkholderia	Azospirillum	1.0	Mixed	#cccccc
82	Burkholderia	Bordetella	1.0	Mixed	#cccccc
83	Burkholderia	Brevibacterium	2.0	Mixed	#cccccc
84	Butyricicoccus	Basfia	1.0	Mixed	#cccccc
85	Butyricimonas	Bacteroides	2.0	Stool	#e8cb72
86	Butyrivibrio	Acetivibrio	2.0	Stool	#e8cb72
87	Butyrivibrio	Adlercreutzia	2.0	Stool	#e8cb72
88	Butyrivibrio	Anaerotruncus	2.0	Stool	#e8cb72
89	Butyrivibrio	Bilophila	2.0	Stool	#e8cb72
90	Campylobacter	Abiotrophia	22.0	Mixed	#cccccc
91	Campylobacter	Acidovorax	16.0	Mixed	#cccccc
92	Campylobacter	Acinetobacter	12.0	Mixed	#cccccc
93	Campylobacter	Actinobacillus	39.0	Attached	#622ffe
94	Campylobacter	Actinobaculum	5.0	Mixed	#cccccc
95	Campylobacter	Actinomyces	84.0	Mixed	#cccccc
96	Campylobacter	Aeromonas	1.0	Mixed	#cccccc
97	Campylobacter	Aggregatibacter	67.0	Mixed	#cccccc
98	Campylobacter	Alicycliphilus	11.0	Mixed	#cccccc
99	Campylobacter	Alistipes	8.0	Mixed	#cccccc
100	Campylobacter	Alloprevotella	23.0	Mixed	#cccccc
101	Campylobacter	Anaeroglobus	26.0	Mixed	#cccccc
102	Campylobacter	Arcanobacterium	3.0	Mixed	#cccccc
103	Campylobacter	Atopobium	68.0	Mixed	#cccccc
104	Campylobacter	Bacillus	27.0	Mixed	#cccccc
105	Campylobacter	Bacteroides	2.0	Mixed	#cccccc
106	Campylobacter	Barnesiella	4.0	Mixed	#cccccc
107	Campylobacter	Bifidobacterium	7.0	Mixed	#cccccc
108	Campylobacter	Blautia	3.0	Mixed	#cccccc
109	Campylobacter	Bulleidia	13.0	Mixed	#cccccc
110	Capnocytophaga	Abiotrophia	32.0	Mixed	#cccccc
111	Capnocytophaga	Acinetobacter	10.0	Mixed	#cccccc
112	Capnocytophaga	Actinobacillus	43.0	Mixed	#cccccc
113	Capnocytophaga	Actinomyces	66.0	Mixed	#cccccc
114	Capnocytophaga	Aggregatibacter	92.0	Mixed	#cccccc
115	Capnocytophaga	Alloprevotella	26.0	Mixed	#cccccc
116	Capnocytophaga	Anaeroglobus	27.0	Mixed	#cccccc
117	Capnocytophaga	Atopobium	50.0	Mixed	#cccccc
118	Capnocytophaga	Bacillus	40.0	Mixed	#cccccc
119	Capnocytophaga	Bulleidia	14.0	Mixed	#cccccc
120	Capnocytophaga	Campylobacter	75.0	Mixed	#cccccc
121	Cardiobacterium	Abiotrophia	20.0	Mixed	#cccccc
122	Cardiobacterium	Acinetobacter	6.0	Mixed	#cccccc
123	Cardiobacterium	Actinobacillus	23.0	Mixed	#cccccc
124	Cardiobacterium	Actinomyces	38.0	Mixed	#cccccc
125	Cardiobacterium	Aggregatibacter	37.0	Mixed	#cccccc
126	Cardiobacterium	Alloprevotella	14.0	Mixed	#cccccc
127	Cardiobacterium	Anaeroglobus	14.0	Subgingival_plaque	#ffac5c
128	Cardiobacterium	Atopobium	26.0	Mixed	#cccccc
129	Cardiobacterium	Bacillus	16.0	Mixed	#cccccc
130	Cardiobacterium	Campylobacter	38.0	Mixed	#cccccc
131	Cardiobacterium	Capnocytophaga	44.0	Mixed	#cccccc
132	Carnobacterium	Abiotrophia	41.0	Mixed	#cccccc
133	Carnobacterium	Acidovorax	11.0	Mixed	#cccccc
134	Carnobacterium	Acinetobacter	11.0	Mixed	#cccccc
135	Carnobacterium	Actinobacillus	59.0	Mixed	#cccccc
136	Carnobacterium	Actinomyces	84.0	Mixed	#cccccc
137	Carnobacterium	Aggregatibacter	98.0	Mixed	#cccccc
138	Carnobacterium	Alicycliphilus	14.0	Mixed	#cccccc
139	Carnobacterium	Alistipes	13.0	Mixed	#cccccc
140	Carnobacterium	Alloprevotella	24.0	Mixed	#cccccc
141	Carnobacterium	Anaeroglobus	29.0	Mixed	#cccccc
142	Carnobacterium	Atopobium	65.0	Mixed	#cccccc
143	Carnobacterium	Avibacterium	8.0	Mixed	#cccccc
144	Carnobacterium	Bacillus	42.0	Mixed	#cccccc
145	Carnobacterium	Bacteroides	2.0	Mixed	#cccccc
146	Carnobacterium	Barnesiella	7.0	Mixed	#cccccc
147	Carnobacterium	Bergeyella	10.0	Mixed	#cccccc
148	Carnobacterium	Bifidobacterium	10.0	Mixed	#cccccc
149	Carnobacterium	Bulleidia	23.0	Mixed	#cccccc
150	Carnobacterium	Campylobacter	91.0	Mixed	#cccccc
151	Carnobacterium	Capnocytophaga	89.0	Mixed	#cccccc
152	Carnobacterium	Cardiobacterium	32.0	Mixed	#cccccc
153	Catenovulum	Carnobacterium	1.0	Mixed	#cccccc
154	Catonella	Abiotrophia	25.0	Mixed	#cccccc
155	Catonella	Acinetobacter	18.0	Mixed	#cccccc
156	Catonella	Actinobacillus	38.0	Mixed	#cccccc
157	Catonella	Actinomyces	57.0	Mixed	#cccccc
158	Catonella	Aggregatibacter	58.0	Mixed	#cccccc
159	Catonella	Alicycliphilus	11.0	Mixed	#cccccc
160	Catonella	Alloprevotella	27.0	Mixed	#cccccc
161	Catonella	Anaeroglobus	27.0	Subgingival_plaque	#ffac5c
162	Catonella	Atopobium	56.0	Mixed	#cccccc
163	Catonella	Bacillus	33.0	Mixed	#cccccc
164	Catonella	Bulleidia	9.0	Mixed	#cccccc
165	Catonella	Campylobacter	64.0	Mixed	#cccccc
166	Catonella	Capnocytophaga	59.0	Mixed	#cccccc
167	Catonella	Cardiobacterium	35.0	Subgingival_plaque	#ffac5c
168	Catonella	Carnobacterium	65.0	Mixed	#cccccc
169	Celeribacter	Acidithiobacillus	2.0	Buccal_mucosa	#445cfb
170	Celeribacter	Aromatoleum	1.0	Buccal_mucosa	#445cfb
