	source	target	weight	edge_sample	edge_color
0	Acidaminococcus	Acetivibrio	25.0	Stool	#e8cb72
1	Acidovorax	Achromobacter	1.0	L_Retroauricular_crease	#34e4d9
2	Acinetobacter	Acidovorax	13.0	Mixed	#cccccc
3	Actinobacillus	Abiotrophia	26.0	Mixed	#cccccc
4	Actinobaculum	Abiotrophia	21.0	Mixed	#cccccc
5	Actinomyces	Abiotrophia	65.0	Mixed	#cccccc
6	Actinomyces	Acidovorax	20.0	Mixed	#cccccc
7	Actinomyces	Acinetobacter	11.0	Mixed	#cccccc
8	Actinomyces	Actinobacillus	40.0	Mixed	#cccccc
9	Actinomyces	Actinobaculum	50.0	Mixed	#cccccc
10	Actinoplanes	Acidovorax	1.0	Mixed	#cccccc
11	Adlercreutzia	Acetivibrio	42.0	Stool	#e8cb72
12	Adlercreutzia	Acidaminococcus	3.0	Stool	#e8cb72
13	Adlercreutzia	Acidovorax	2.0	Mixed	#cccccc
14	Aeromonas	Acetobacter	2.0	L_Retroauricular_crease	#34e4d9
15	Aeromonas	Acinetobacter	5.0	Mixed	#cccccc
16	Aeromonas	Adlercreutzia	1.0	Mixed	#cccccc
17	Afipia	Aeromonas	1.0	Mixed	#cccccc
18	Aggregatibacter	Abiotrophia	37.0	Mixed	#cccccc
19	Aggregatibacter	Acidovorax	3.0	Mixed	#cccccc
20	Aggregatibacter	Actinobacillus	24.0	Mixed	#cccccc
21	Aggregatibacter	Actinobaculum	40.0	Mixed	#cccccc
22	Aggregatibacter	Actinomyces	75.0	Mixed	#cccccc
23	Aggregatibacter	Aeromonas	2.0	Mixed	#cccccc
24	Agrobacterium	Aeromonas	4.0	Mixed	#cccccc
25	Akkermansia	Acetivibrio	29.0	Stool	#e8cb72
26	Akkermansia	Adlercreutzia	8.0	Stool	#e8cb72
27	Alcaligenes	Acinetobacter	2.0	Anterior_nares	#8000ff
28	Alicycliphilus	Abiotrophia	2.0	Mixed	#cccccc
29	Alicycliphilus	Acidovorax	14.0	L_Retroauricular_crease	#34e4d9
30	Alicycliphilus	Aeromonas	3.0	L_Retroauricular_crease	#34e4d9
31	Alishewanella	Aliihoeflea	1.0	R_Retroauricular_crease	#acf59a
32	Alistipes	Acetivibrio	85.0	Stool	#e8cb72
33	Alistipes	Acidaminococcus	25.0	Stool	#e8cb72
34	Alistipes	Actinobacillus	2.0	Mixed	#cccccc
35	Alistipes	Adlercreutzia	38.0	Stool	#e8cb72
36	Alistipes	Akkermansia	22.0	Stool	#e8cb72
37	Aliterella	Alcaligenes	2.0	Anterior_nares	#8000ff
38	Alkaliphilus	Actinobacillus	5.0	Mixed	#cccccc
39	Alkaliphilus	Aeromonas	1.0	Mixed	#cccccc
40	Alkaliphilus	Alcaligenes	1.0	Anterior_nares	#8000ff
41	Alloprevotella	Abiotrophia	14.0	Mixed	#cccccc
42	Alloprevotella	Actinobacillus	15.0	Mixed	#cccccc
43	Alloprevotella	Actinomyces	56.0	Mixed	#cccccc
44	Alloprevotella	Aggregatibacter	19.0	Mixed	#cccccc
45	Alloprevotella	Alicycliphilus	2.0	Mixed	#cccccc
46	Alloprevotella	Alicyclobacillus	1.0	Mixed	#cccccc
47	Altererythrobacter	Actinoplanes	1.0	Mixed	#cccccc
48	Altererythrobacter	Alicycliphilus	1.0	L_Retroauricular_crease	#34e4d9
49	Altererythrobacter	Alkaliphilus	1.0	Mixed	#cccccc
50	Alysiella	Actinomyces	10.0	Mixed	#cccccc
51	Anaerococcus	Acidovorax	12.0	L_Retroauricular_crease	#34e4d9
52	Anaerococcus	Acinetobacter	11.0	Mixed	#cccccc
53	Anaerococcus	Actinomyces	8.0	Mixed	#cccccc
54	Anaerococcus	Agrobacterium	1.0	Mixed	#cccccc
55	Anaerococcus	Alicycliphilus	1.0	L_Retroauricular_crease	#34e4d9
56	Anaerococcus	Alloprevotella	3.0	Mixed	#cccccc
57	Anaerofustis	Acetivibrio	5.0	Stool	#e8cb72
58	Anaerofustis	Anaerococcus	1.0	Mixed	#cccccc
59	Anaeroglobus	Actinomyces	7.0	Mixed	#cccccc
60	Anaeroglobus	Aggregatibacter	2.0	Mixed	#cccccc
61	Anaeroglobus	Alicycliphilus	1.0	Mixed	#cccccc
62	Anaerostipes	Acetivibrio	30.0	Stool	#e8cb72
63	Anaerostipes	Acidaminococcus	10.0	Stool	#e8cb72
64	Anaerostipes	Acidovorax	1.0	Mixed	#cccccc
65	Anaerostipes	Adlercreutzia	17.0	Stool	#e8cb72
66	Anaerostipes	Akkermansia	11.0	Stool	#e8cb72
67	Anaerostipes	Alistipes	23.0	Stool	#e8cb72
68	Anaerostipes	Anaerococcus	1.0	Mixed	#cccccc
69	Anaerotruncus	Acetivibrio	41.0	Stool	#e8cb72
70	Anaerotruncus	Acidaminococcus	4.0	Stool	#e8cb72
71	Anaerotruncus	Adlercreutzia	28.0	Stool	#e8cb72
72	Anaerotruncus	Akkermansia	28.0	Stool	#e8cb72
73	Anaerotruncus	Alistipes	47.0	Stool	#e8cb72
74	Anaerotruncus	Anaerostipes	31.0	Stool	#e8cb72
75	Anoxybacillus	Alistipes	1.0	Mixed	#cccccc
76	Aquabacterium	Acinetobacter	5.0	Mixed	#cccccc
77	Aquabacterium	Actinobacillus	6.0	Mixed	#cccccc
78	Aquabacterium	Agrobacterium	2.0	Mixed	#cccccc
79	Aquabacterium	Alicycliphilus	5.0	L_Retroauricular_crease	#34e4d9
80	Aquabacterium	Alkaliphilus	5.0	Mixed	#cccccc
81	Arcanobacterium	Abiotrophia	9.0	Mixed	#cccccc
82	Arcanobacterium	Acetivibrio	3.0	Mixed	#cccccc
83	Arcanobacterium	Acidovorax	9.0	L_Retroauricular_crease	#34e4d9
84	Arcanobacterium	Actinobaculum	12.0	Mixed	#cccccc
85	Arcanobacterium	Actinomyces	16.0	Mixed	#cccccc
86	Arcanobacterium	Aeromonas	9.0	L_Retroauricular_crease	#34e4d9
87	Arcanobacterium	Alcaligenes	1.0	Mixed	#cccccc
88	Arcanobacterium	Alloprevotella	5.0	Mixed	#cccccc
89	Arcanobacterium	Alysiella	5.0	Mixed	#cccccc
90	Arcanobacterium	Anaerococcus	14.0	L_Retroauricular_crease	#34e4d9
91	Arcanobacterium	Anaeroglobus	4.0	Mixed	#cccccc
92	Arcanobacterium	Aquabacterium	5.0	L_Retroauricular_crease	#34e4d9
93	Arcobacter	Achromobacter	1.0	L_Retroauricular_crease	#34e4d9
94	Arcobacter	Alicycliphilus	3.0	L_Retroauricular_crease	#34e4d9
95	Arcobacter	Alkaliphilus	1.0	Mixed	#cccccc
96	Arcobacter	Aminiphilus	1.0	L_Retroauricular_crease	#34e4d9
97	Arcobacter	Arcanobacterium	3.0	L_Retroauricular_crease	#34e4d9
98	Arthrobacter	Acidovorax	2.0	Mixed	#cccccc
99	Arthrobacter	Actinoplanes	4.0	Anterior_nares	#8000ff
100	Arthrobacter	Aeromonas	1.0	Mixed	#cccccc
101	Arthrobacter	Altererythrobacter	1.0	Mixed	#cccccc
102	Arthrobacter	Anoxybacillus	1.0	Anterior_nares	#8000ff
103	Arthrobacter	Aquabacterium	4.0	Mixed	#cccccc
104	Arthrobacter	Arcanobacterium	11.0	Mixed	#cccccc
105	Atopococcus	Aminobacter	1.0	Anterior_nares	#8000ff
106	Aureimonas	Achromobacter	2.0	Mixed	#cccccc
107	Aureimonas	Acinetobacter	2.0	Mixed	#cccccc
108	Aureimonas	Actinoplanes	1.0	Mixed	#cccccc
109	Aureimonas	Alicycliphilus	3.0	Mixed	#cccccc
110	Aureimonas	Aliihoeflea	3.0	R_Retroauricular_crease	#acf59a
111	Aureimonas	Alkaliphilus	1.0	Mixed	#cccccc
112	Aureimonas	Arcanobacterium	3.0	Mixed	#cccccc
113	Aureimonas	Arthrobacter	3.0	Mixed	#cccccc
114	Avibacterium	Alicycliphilus	2.0	Mixed	#cccccc
115	Azohydromonas	Acidovorax	1.0	Mixed	#cccccc
116	Azohydromonas	Alcaligenes	1.0	Anterior_nares	#8000ff
117	Azohydromonas	Arthrobacter	2.0	Anterior_nares	#8000ff
118	Azonexus	Acidithiobacillus	2.0	Buccal_mucosa	#445cfb
119	Azospira	Acidovorax	2.0	Mixed	#cccccc
120	Bacillus	Achromobacter	3.0	Mixed	#cccccc
121	Bacillus	Acidovorax	14.0	Mixed	#cccccc
122	Bacillus	Acinetobacter	14.0	Anterior_nares	#8000ff
123	Bacillus	Actinomyces	9.0	Mixed	#cccccc
124	Bacillus	Adlercreutzia	3.0	Mixed	#cccccc
125	Bacillus	Afipia	2.0	Anterior_nares	#8000ff
126	Bacillus	Agrobacterium	1.0	Mixed	#cccccc
127	Bacillus	Alicycliphilus	7.0	Mixed	#cccccc
128	Bacillus	Alkaliphilus	3.0	Anterior_nares	#8000ff
129	Bacillus	Alysiella	3.0	Mixed	#cccccc
130	Bacillus	Anaerococcus	25.0	Mixed	#cccccc
131	Bacillus	Anaerofustis	1.0	Mixed	#cccccc
132	Bacillus	Anaerostipes	2.0	Mixed	#cccccc
133	Bacillus	Arcanobacterium	41.0	Mixed	#cccccc
134	Bacillus	Arthrobacter	15.0	Anterior_nares	#8000ff
