TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Actinobaculum	Subgingival_plaque	#ffac5c	13	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Aeromonas	L_Retroauricular_crease	#34e4d9	8	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Akkermansia	Stool	#e8cb72	4	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Alicycliphilus	L_Retroauricular_crease	#34e4d9	3	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Alistipes	Stool	#e8cb72	18	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Altererythrobacter	L_Retroauricular_crease	#34e4d9	1	3.0	3.0	#2adddd	#3079f7	Mixed	#cccccc
Aminiphilus	L_Retroauricular_crease	#34e4d9	1	4.0	8.0	#62fbc4	#56f7ca	Mixed	#cccccc
Anaeroglobus	Subgingival_plaque	#ffac5c	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Anaerostipes	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Anaerotruncus	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Arcanobacterium	L_Retroauricular_crease	#34e4d9	7	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Atopobium	Posterior_fornix	#8efeac	16	6.0	4.0	#d4dd80	#169bf2	Mixed	#cccccc
Azohydromonas	Anterior_nares	#8000ff	1	3.0	3.0	#2adddd	#3079f7	Mixed	#cccccc
Bacillus	Anterior_nares	#8000ff	21	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Bacteroides	Stool	#e8cb72	23	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Basilea	R_Retroauricular_crease	#acf59a	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Belnapia	L_Retroauricular_crease	#34e4d9	3	1.0	6.0	#4856fb	#20d5e1	Mixed	#cccccc
Bergeyella	R_Retroauricular_crease	#acf59a	1	5.0	9.0	#9bfba5	#70febc	Mixed	#cccccc
Bilophila	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Blautia	Stool	#e8cb72	16	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Bosea	R_Retroauricular_crease	#acf59a	1	0.0	12.0	#8000ff	#c2ea8c	Mixed	#cccccc
Brachybacterium	R_Retroauricular_crease	#acf59a	5	9.0	6.0	#ff0000	#20d5e1	Mixed	#cccccc
Butyricimonas	Stool	#e8cb72	9	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Butyrivibrio	Stool	#e8cb72	6	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Caldibacillus	L_Retroauricular_crease	#34e4d9	2	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Campylobacter	Attached	#622ffe	23	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Candidatus Methylopumilus	L_Retroauricular_crease	#34e4d9	1	4.0	8.0	#62fbc4	#56f7ca	Mixed	#cccccc
Capnocytophaga	Supragingival_plaque	#ff8646	23	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Cardiobacterium	Subgingival_plaque	#ffac5c	8	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Carnobacterium	Hard_palate	#08acee	14	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Casaltella	L_Retroauricular_crease	#34e4d9	5	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Catabacter	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Catenibacterium	Stool	#e8cb72	3	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Cellulomonas	Stool	#e8cb72	4	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Chlamydia	Keratinized_gingiva	#17cbe4	8	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Clostridium	Stool	#e8cb72	17	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Collinsella	Stool	#e8cb72	9	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Comamonas	R_Retroauricular_crease	#acf59a	3	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Coprobacillus	Stool	#e8cb72	3	7.0	1.0	#ffa558	#6629fe	Mixed	#cccccc
Coprobacter	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Coprococcus	Stool	#e8cb72	13	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Corynebacterium	Supragingival_plaque	#ff8646	23	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Cronobacter	Anterior_nares	#8000ff	2	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Cryptobacterium	Saliva	#cbe486	1	0.0	12.0	#8000ff	#c2ea8c	Mixed	#cccccc
Dechloromonas	Buccal_mucosa	#445cfb	5	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Defluviitalea	L_Retroauricular_crease	#34e4d9	7	7.0	5.0	#ffa558	#07bbea	Mixed	#cccccc
Delftia	Anterior_nares	#8000ff	4	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Dermacoccus	Anterior_nares	#8000ff	1	0.0	12.0	#8000ff	#c2ea8c	Mixed	#cccccc
Desmospora	L_Retroauricular_crease	#34e4d9	1	5.0	9.0	#9bfba5	#70febc	Mixed	#cccccc
Desulfobulbus	L_Retroauricular_crease	#34e4d9	1	4.0	8.0	#62fbc4	#56f7ca	Mixed	#cccccc
Desulfovibrio	Stool	#e8cb72	3	1.0	2.0	#4856fb	#4c50fc	Mixed	#cccccc
Devosia	L_Retroauricular_crease	#34e4d9	17	1.0	14.0	#4856fb	#f6be68	Mixed	#cccccc
Dialister	Stool	#e8cb72	15	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Diaphorobacter	Buccal_mucosa	#445cfb	1	4.0	8.0	#62fbc4	#56f7ca	Mixed	#cccccc
Dolosigranulum	Anterior_nares	#8000ff	12	6.0	0.0	#d4dd80	#8000ff	Mixed	#cccccc
Dorea	Stool	#e8cb72	14	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Dysgonomonas	L_Retroauricular_crease	#34e4d9	4	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Eggerthella	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Eikenella	Subgingival_plaque	#ffac5c	4	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Empedobacter	Anterior_nares	#8000ff	8	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Enhydrobacter	R_Retroauricular_crease	#acf59a	11	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Ensifer	R_Retroauricular_crease	#acf59a	1	5.0	13.0	#9bfba5	#dcd67a	Mixed	#cccccc
Enterococcus	Anterior_nares	#8000ff	10	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Erysipelatoclostridium	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Escherichia	Stool	#e8cb72	5	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Eubacterium	Palatine_Tonsils	#70febc	21	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Facklamia	R_Retroauricular_crease	#acf59a	11	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Faecalibacterium	Stool	#e8cb72	23	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Faecalitalea	Stool	#e8cb72	2	9.0	1.0	#ff0000	#6629fe	Mixed	#cccccc
Fenollaria	Anterior_nares	#8000ff	1	3.0	16.0	#2adddd	#ff7b40	Mixed	#cccccc
Fibrella	L_Retroauricular_crease	#34e4d9	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Finegoldia	R_Retroauricular_crease	#acf59a	23	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Flavobacterium	Anterior_nares	#8000ff	8	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Flavonifractor	Stool	#e8cb72	2	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
Fusobacterium	Throat	#ff5c2f	20	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Gardnerella	Vaginal_introitus	#ff0000	12	7.0	2.0	#ffa558	#4c50fc	Mixed	#cccccc
Gemella	Buccal_mucosa	#445cfb	23	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Geobacillus	Attached	#622ffe	1	4.0	8.0	#62fbc4	#56f7ca	Mixed	#cccccc
Gordonia	L_Retroauricular_crease	#34e4d9	12	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Gordonibacter	Stool	#e8cb72	3	7.0	1.0	#ffa558	#6629fe	Mixed	#cccccc
Granulicatella	Keratinized_gingiva	#17cbe4	18	1.0	4.0	#4856fb	#169bf2	Mixed	#cccccc
Gulbenkiania	L_Retroauricular_crease	#34e4d9	17	1.0	14.0	#4856fb	#f6be68	Mixed	#cccccc
Haemophilus	Buccal_mucosa_NA	#2686f5	23	1.0	0.0	#4856fb	#8000ff	Mixed	#cccccc
Helcococcus	L_Retroauricular_crease	#34e4d9	5	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Helicobacter	Anterior_nares	#8000ff	11	1.0	5.0	#4856fb	#07bbea	Mixed	#cccccc
Holdemanella	L_Retroauricular_crease	#34e4d9	6	1.0	1.0	#4856fb	#6629fe	Mixed	#cccccc
