TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acidovorax	L_Retroauricular_crease	#34e4d9	7	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Acinetobacter	Anterior_nares	#8000ff	12	1.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Bacillus	Anterior_nares	#8000ff	12	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Bacteroides	Stool	#e8cb72	82	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Barnesiella	Stool	#e8cb72	20	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Blautia	Stool	#e8cb72	5	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Brevibacterium	Anterior_nares	#8000ff	4	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Butyricicoccus	Stool	#e8cb72	1	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Campylobacter	Attached	#622ffe	33	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Chryseobacterium	R_Retroauricular_crease	#acf59a	3	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Clostridium	Stool	#e8cb72	33	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Collinsella	Stool	#e8cb72	3	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Coprococcus	Stool	#e8cb72	7	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Corynebacterium	Supragingival_plaque	#ff8646	44	1.0	1.0	#ff0000	#2adddd	Mixed	#cccccc
Cupriavidus	Mid_vagina	#52f5cb	6	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Curvibacter	Anterior_nares	#8000ff	3	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Dialister	Stool	#e8cb72	51	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Dorea	Stool	#e8cb72	7	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Eikenella	Subgingival_plaque	#ffac5c	1	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Elizabethkingia	Anterior_nares	#8000ff	3	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Empedobacter	Anterior_nares	#8000ff	1	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Enhydrobacter	R_Retroauricular_crease	#acf59a	3	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Enterobacter	Anterior_nares	#8000ff	3	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Enterococcus	Anterior_nares	#8000ff	3	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Erysipelatoclostridium	Stool	#e8cb72	1	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Escherichia	Stool	#e8cb72	7	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Eubacterium	Palatine_Tonsils	#70febc	24	0.0	3.0	#8000ff	#ff0000	Mixed	#cccccc
Facklamia	R_Retroauricular_crease	#acf59a	5	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
Faecalibacterium	Stool	#e8cb72	29	1.0	3.0	#ff0000	#ff0000	Mixed	#cccccc
Finegoldia	R_Retroauricular_crease	#acf59a	64	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Fusobacterium	Throat	#ff5c2f	13	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Gardnerella	Vaginal_introitus	#ff0000	64	0.0	1.0	#8000ff	#2adddd	Mixed	#cccccc
Granulicatella	Keratinized_gingiva	#17cbe4	5	0.0	2.0	#8000ff	#d4dd80	Mixed	#cccccc
