TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acinetobacter	Anterior_nares	#8000ff	38	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Actinomyces	Tongue_dorsum	#ff2f18	39	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Agrobacterium	R_Retroauricular_crease	#acf59a	11	5.0	2.0	#beec8e	#01b3ec	Mixed	#cccccc
Aliihoeflea	R_Retroauricular_crease	#acf59a	3	5.0	2.0	#beec8e	#01b3ec	Mixed	#cccccc
Alishewanella	R_Retroauricular_crease	#acf59a	1	5.0	2.0	#beec8e	#01b3ec	Mixed	#cccccc
Alkaliphilus	Anterior_nares	#8000ff	2	1.0	1.0	#425ffa	#425ffa	Mixed	#cccccc
Alkanindiges	Anterior_nares	#8000ff	4	1.0	1.0	#425ffa	#425ffa	Mixed	#cccccc
Anaeroglobus	Subgingival_plaque	#ffac5c	2	7.0	2.0	#ff6232	#01b3ec	Mixed	#cccccc
Aquabacterium	L_Retroauricular_crease	#34e4d9	5	5.0	2.0	#beec8e	#01b3ec	Mixed	#cccccc
Arcobacter	L_Retroauricular_crease	#34e4d9	2	1.0	1.0	#425ffa	#425ffa	Mixed	#cccccc
Arthrobacter	Anterior_nares	#8000ff	8	8.0	4.0	#ff0000	#7effb5	Mixed	#cccccc
Aureimonas	R_Retroauricular_crease	#acf59a	8	5.0	2.0	#beec8e	#01b3ec	Mixed	#cccccc
Azotobacter	R_Retroauricular_crease	#acf59a	1	1.0	1.0	#425ffa	#425ffa	Mixed	#cccccc
Bacillus	Anterior_nares	#8000ff	40	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Bacteroides	Stool	#e8cb72	40	1.0	1.0	#425ffa	#425ffa	Mixed	#cccccc
Belnapia	L_Retroauricular_crease	#34e4d9	1	7.0	2.0	#ff6232	#01b3ec	Mixed	#cccccc
Bhargavaea	R_Retroauricular_crease	#acf59a	2	3.0	5.0	#3febd5	#beec8e	Mixed	#cccccc
Bifidobacterium	Posterior_fornix	#8efeac	20	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Bilophila	Stool	#e8cb72	1	1.0	1.0	#425ffa	#425ffa	Mixed	#cccccc
Blautia	Stool	#e8cb72	12	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Bosea	R_Retroauricular_crease	#acf59a	4	7.0	2.0	#ff6232	#01b3ec	Mixed	#cccccc
Brachybacterium	R_Retroauricular_crease	#acf59a	18	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Bradyrhizobium	Anterior_nares	#8000ff	13	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Brevibacterium	Anterior_nares	#8000ff	31	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Brevundimonas	R_Retroauricular_crease	#acf59a	16	5.0	2.0	#beec8e	#01b3ec	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	5	1.0	1.0	#425ffa	#425ffa	Mixed	#cccccc
Burkholderia	Posterior_fornix	#8efeac	1	5.0	1.0	#beec8e	#425ffa	Mixed	#cccccc
Butyricicoccus	Stool	#e8cb72	3	1.0	1.0	#425ffa	#425ffa	Mixed	#cccccc
Butyricimonas	Stool	#e8cb72	5	0.0	6.0	#8000ff	#feb562	Mixed	#cccccc
Butyrivibrio	Stool	#e8cb72	7	8.0	5.0	#ff0000	#beec8e	Mixed	#cccccc
Calothrix	Anterior_nares	#8000ff	8	7.0	1.0	#ff6232	#425ffa	Mixed	#cccccc
Campylobacter	Attached	#622ffe	35	4.0	6.0	#7effb5	#feb562	Mixed	#cccccc
Candidatus Odyssella	R_Retroauricular_crease	#acf59a	2	7.0	2.0	#ff6232	#01b3ec	Mixed	#cccccc
Capnocytophaga	Supragingival_plaque	#ff8646	37	8.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
