TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Alloprevotella	Keratinized_gingiva	#17cbe4	12	11.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Anaeroglobus	Subgingival_plaque	#ffac5c	12	11.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Bacteroides	Stool	#e8cb72	12	11.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	2	4.0	4.0	#38e7d7	#7effb5	Mixed	#cccccc
Bulleidia	Throat	#ff5c2f	12	11.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Campylobacter	Attached	#622ffe	12	5.0	2.0	#66fcc2	#01b3ec	Mixed	#cccccc
Capnocytophaga	Supragingival_plaque	#ff8646	12	1.0	3.0	#5247fc	#3febd5	Mixed	#cccccc
Carnobacterium	Hard_palate	#08acee	12	5.0	3.0	#66fcc2	#3febd5	Mixed	#cccccc
Centipeda	Subgingival_plaque	#ffac5c	12	5.0	3.0	#66fcc2	#3febd5	Mixed	#cccccc
Corynebacterium	Supragingival_plaque	#ff8646	12	11.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Dialister	Stool	#e8cb72	12	6.0	2.0	#96fca7	#01b3ec	Mixed	#cccccc
Eggerthia	Subgingival_plaque	#ffac5c	4	2.0	5.0	#2489f5	#beec8e	Mixed	#cccccc
Escherichia	Stool	#e8cb72	2	4.0	4.0	#38e7d7	#7effb5	Mixed	#cccccc
Eubacterium	Palatine_Tonsils	#70febc	12	1.0	3.0	#5247fc	#3febd5	Mixed	#cccccc
Filifactor	Palatine_Tonsils	#70febc	12	5.0	2.0	#66fcc2	#01b3ec	Mixed	#cccccc
Fusobacterium	Throat	#ff5c2f	12	11.0	2.0	#ff0000	#01b3ec	Mixed	#cccccc
Gallibacterium	Keratinized_gingiva	#17cbe4	4	0.0	7.0	#8000ff	#ff6232	Mixed	#cccccc
Gardnerella	Vaginal_introitus	#ff0000	2	4.0	4.0	#38e7d7	#7effb5	Mixed	#cccccc
Gemella	Buccal_mucosa	#445cfb	12	11.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Granulicatella	Keratinized_gingiva	#17cbe4	12	1.0	3.0	#5247fc	#3febd5	Mixed	#cccccc
Haemophilus	Buccal_mucosa_NA	#2686f5	12	11.0	0.0	#ff0000	#8000ff	Mixed	#cccccc
Hallella	Subgingival_plaque	#ffac5c	2	1.0	1.0	#5247fc	#425ffa	Mixed	#cccccc
Isoptericola	Tongue_dorsum	#ff2f18	12	5.0	3.0	#66fcc2	#3febd5	Mixed	#cccccc
Johnsonella	Subgingival_plaque	#ffac5c	8	3.0	1.0	#0ac0e8	#425ffa	Mixed	#cccccc
Kingella	Supragingival_plaque	#ff8646	12	1.0	3.0	#5247fc	#3febd5	Mixed	#cccccc
Lachnoanaerobaculum	Tongue_dorsum	#ff2f18	12	5.0	3.0	#66fcc2	#3febd5	Mixed	#cccccc
Leptotrichia	Tongue_dorsum	#ff2f18	12	1.0	3.0	#5247fc	#3febd5	Mixed	#cccccc
Leuconostoc	L_Retroauricular_crease	#34e4d9	2	4.0	4.0	#38e7d7	#7effb5	Mixed	#cccccc
Mannheimia	Buccal_mucosa_NA	#2686f5	5	8.0	8.0	#f2c26b	#ff0000	Mixed	#cccccc
Megasphaera	Saliva	#cbe486	12	4.0	4.0	#38e7d7	#7effb5	Mixed	#cccccc
Mitsuokella	Subgingival_plaque	#ffac5c	2	4.0	4.0	#38e7d7	#7effb5	Mixed	#cccccc
