	source	target	weight	edge_sample	edge_color
0	Capnocytophaga	Alistipes	3.0	Mixed	#cccccc
1	Corynebacterium	Actinomyces	4.0	Mixed	#cccccc
2	Dialister	Actinomyces	4.0	Mixed	#cccccc
3	Faecalibacterium	Alistipes	3.0	Stool	#e8cb72
4	Faecalibacterium	Capnocytophaga	3.0	Mixed	#cccccc
5	Lawsonella	Eubacterium	3.0	Mixed	#cccccc
6	Parabacteroides	Herbaspirillum	4.0	Mixed	#cccccc
7	Prevotella	Actinomyces	4.0	Mixed	#cccccc
8	Prevotella	Corynebacterium	4.0	Mixed	#cccccc
9	Prevotella	Dialister	4.0	Mixed	#cccccc
10	Roseburia	Alistipes	3.0	Stool	#e8cb72
11	Roseburia	Faecalibacterium	3.0	Stool	#e8cb72
12	Ruminococcus	Lawsonella	3.0	Mixed	#cccccc
13	Ruminococcus	Roseburia	3.0	Stool	#e8cb72
14	Sphingobium	Eubacterium	3.0	Mixed	#cccccc
15	Sphingobium	Lawsonella	4.0	Mixed	#cccccc
16	Sphingobium	Ruminococcus	3.0	Mixed	#cccccc
