TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Capnocytophaga	Supragingival_plaque	#ff8646	4	4.0	1.0	#ff0000	#2adddd	Mixed	#cccccc
Corynebacterium	Supragingival_plaque	#ff8646	5	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Dialister	Stool	#e8cb72	5	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Faecalibacterium	Stool	#e8cb72	3	4.0	1.0	#ff0000	#2adddd	Mixed	#cccccc
Lawsonella	Anterior_nares	#8000ff	4	2.0	2.0	#7effb5	#d4dd80	Mixed	#cccccc
Parabacteroides	Stool	#e8cb72	4	1.0	3.0	#01b3ec	#ff0000	Mixed	#cccccc
Prevotella	Palatine_Tonsils	#70febc	6	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Roseburia	Stool	#e8cb72	4	3.0	1.0	#feb562	#2adddd	Mixed	#cccccc
Ruminococcus	Stool	#e8cb72	3	3.0	2.0	#feb562	#d4dd80	Mixed	#cccccc
Sphingobium	Vaginal_introitus	#ff0000	4	2.0	2.0	#7effb5	#d4dd80	Mixed	#cccccc
Alistipes	Stool	#e8cb72	3	4.0	1.0	#ff0000	#2adddd	Mixed	#cccccc
Actinomyces	Tongue_dorsum	#ff2f18	4	0.0	0.0	#8000ff	#8000ff	Mixed	#cccccc
Eubacterium	Palatine_Tonsils	#70febc	3	2.0	2.0	#7effb5	#d4dd80	Mixed	#cccccc
Herbaspirillum	Vaginal_introitus	#ff0000	4	1.0	3.0	#01b3ec	#ff0000	Mixed	#cccccc
