	source	target	weight	edge_sample	edge_color
0	Bdellovibrio	Archangium	1.0	Anterior_nares	#8000ff
1	Brachymonas	Arcobacter	0.863980476719	Mixed	#cccccc
2	Brevibacillus	Anaeroglobus	1.0	Mixed	#cccccc
3	Demetria	Cystobacter	1.0	Anterior_nares	#8000ff
4	Desulfovibrio	Brachymonas	0.863980476719	Mixed	#cccccc
5	Erwinia	Advenella	0.814577667391	Anterior_nares	#8000ff
6	Flavihumibacter	Atopococcus	1.0	Anterior_nares	#8000ff
7	Gemmata	Actinomycetospora	1.0	Mixed	#cccccc
8	Gluconobacter	Acetobacter	1.0	Mixed	#cccccc
9	Hydrogenobacter	Brachymonas	0.814577667391	Anterior_nares	#8000ff
10	Ilumatobacter	Cystobacter	1.0	Anterior_nares	#8000ff
11	Ilumatobacter	Demetria	1.0	Anterior_nares	#8000ff
12	Kandleria	Actinomycetospora	1.0	Mixed	#cccccc
13	Kandleria	Gemmata	1.0	Mixed	#cccccc
14	Kineosporia	Acetobacter	1.0	Mixed	#cccccc
15	Kineosporia	Gluconobacter	1.0	Mixed	#cccccc
16	Mangrovibacter	Faecalitalea	1.0	Mixed	#cccccc
17	Mastigocladus	Fischerella	0.814577667391	Anterior_nares	#8000ff
18	Methylosarcina	Jonquetella	1.0	Mixed	#cccccc
19	Micavibrio	Dactylosporangium	1.0	Anterior_nares	#8000ff
20	Microlunatus	Leadbetterella	1.0	Mixed	#cccccc
21	Micromonospora	Flaviflexus	1.0	Anterior_nares	#8000ff
22	Moritella	Atopococcus	1.0	Mixed	#cccccc
23	Moritella	Flavihumibacter	1.0	Mixed	#cccccc
24	Niveispirillum	Advenella	0.814577667391	Anterior_nares	#8000ff
25	Oceanobacillus	Methylobacillus	0.814577667391	Mixed	#cccccc
26	Olivibacter	Atopococcus	1.0	Anterior_nares	#8000ff
27	Olivibacter	Flavihumibacter	1.0	Anterior_nares	#8000ff
28	Olivibacter	Moritella	1.0	Mixed	#cccccc
29	Paenirhodobacter	Advenella	1.0	Anterior_nares	#8000ff
30	Paenirhodobacter	Erwinia	0.814577667391	Anterior_nares	#8000ff
31	Paenirhodobacter	Niveispirillum	0.814577667391	Anterior_nares	#8000ff
32	Pandoraea	Leptonema	1.0	Mixed	#cccccc
33	Phenylobacterium	Nitrosospira	1.0	Mixed	#cccccc
34	Pleomorphomonas	Arcobacter	0.863980476719	Mixed	#cccccc
35	Pleomorphomonas	Brachymonas	1.0	Anterior_nares	#8000ff
36	Pleomorphomonas	Desulfovibrio	0.863980476719	Mixed	#cccccc
37	Pleomorphomonas	Hydrogenobacter	0.814577667391	Anterior_nares	#8000ff
38	Propionimicrobium	Kurthia	0.814577667391	Mixed	#cccccc
39	Proteiniclasticum	Acidithiobacillus	1.0	Mixed	#cccccc
40	Pseudarthrobacter	Acetobacter	1.0	Mixed	#cccccc
41	Pseudarthrobacter	Gluconobacter	1.0	Mixed	#cccccc
42	Pseudarthrobacter	Kineosporia	1.0	Anterior_nares	#8000ff
43	Pseudorhodoferax	Leptonema	1.0	Mixed	#cccccc
44	Pseudorhodoferax	Pandoraea	1.0	Mixed	#cccccc
45	Psychromonas	Pseudoalteromonas	0.814577667391	Mixed	#cccccc
46	Riemerella	Atopococcus	0.814577667391	Mixed	#cccccc
47	Riemerella	Flavihumibacter	0.814577667391	Mixed	#cccccc
48	Riemerella	Komagataeibacter	0.863980476719	Mixed	#cccccc
49	Riemerella	Moritella	0.814577667391	Mixed	#cccccc
50	Riemerella	Olivibacter	0.814577667391	Mixed	#cccccc
51	Rubritepida	Flaviflexus	1.0	Anterior_nares	#8000ff
52	Rubritepida	Micromonospora	1.0	Anterior_nares	#8000ff
53	Runella	Actinomycetospora	1.0	Mixed	#cccccc
54	Runella	Gemmata	1.0	Mixed	#cccccc
55	Runella	Kandleria	1.0	Mixed	#cccccc
56	Sanguibacteroides	Lachnospira	1.0	Stool	#e8cb72
57	Serinicoccus	Advenella	0.814577667391	Mixed	#cccccc
58	Serinicoccus	Paenirhodobacter	0.814577667391	Mixed	#cccccc
59	Solimonas	Leisingera	0.814577667391	Mixed	#cccccc
60	Solimonas	Oscillatoria	0.863980476719	Mixed	#cccccc
61	Sorangium	Cystobacter	1.0	Anterior_nares	#8000ff
62	Sorangium	Demetria	1.0	Anterior_nares	#8000ff
63	Sorangium	Ilumatobacter	1.0	Anterior_nares	#8000ff
64	Sporosarcina	Chelatococcus	1.0	Anterior_nares	#8000ff
65	Tessaracoccus	Actinomycetospora	1.0	Mixed	#cccccc
66	Tessaracoccus	Gemmata	1.0	Mixed	#cccccc
67	Tessaracoccus	Kandleria	1.0	Mixed	#cccccc
68	Tessaracoccus	Runella	1.0	Mixed	#cccccc
69	Tetrasphaera	Siccibacter	0.814577667391	Mixed	#cccccc
70	Thauera	Anaerofustis	1.0	Mixed	#cccccc
71	Thermaerobacter	Azonexus	1.0	Mixed	#cccccc
72	Thermanaerovibrio	Caldimonas	1.0	Mixed	#cccccc
73	Thermoactinomyces	Advenella	1.0	Mixed	#cccccc
74	Thermoactinomyces	Erwinia	0.814577667391	Mixed	#cccccc
75	Thermoactinomyces	Niveispirillum	0.814577667391	Mixed	#cccccc
76	Thermoactinomyces	Paenirhodobacter	1.0	Mixed	#cccccc
77	Thermoactinomyces	Serinicoccus	0.814577667391	R_Retroauricular_crease	#acf59a
78	Thermobispora	Caldilinea	1.0	Anterior_nares	#8000ff
79	Thermocrinis	Arcobacter	0.863980476719	Mixed	#cccccc
80	Thermocrinis	Brachymonas	1.0	Mixed	#cccccc
81	Thermocrinis	Desulfovibrio	0.863980476719	Mixed	#cccccc
82	Thermocrinis	Hydrogenobacter	0.814577667391	Mixed	#cccccc
83	Thermocrinis	Pleomorphomonas	1.0	Mixed	#cccccc
84	Thermomonas	Phyllobacterium	1.0	Anterior_nares	#8000ff
85	Timonella	Cystobacter	1.0	Anterior_nares	#8000ff
86	Timonella	Demetria	1.0	Anterior_nares	#8000ff
87	Timonella	Ilumatobacter	1.0	Anterior_nares	#8000ff
88	Timonella	Sorangium	1.0	Anterior_nares	#8000ff
89	Tuberibacillus	Actinobacillus	1.0	Mixed	#cccccc
90	Ureaplasma	Fischerella	0.814577667391	Mixed	#cccccc
91	Ureaplasma	Mastigocladus	1.0	Mixed	#cccccc
92	Weeksella	Atopococcus	0.814577667391	Mixed	#cccccc
93	Weeksella	Flavihumibacter	0.814577667391	Mixed	#cccccc
94	Weeksella	Moritella	0.814577667391	Mixed	#cccccc
95	Weeksella	Olivibacter	0.814577667391	Mixed	#cccccc
96	Xanthobacter	Leisingera	0.814577667391	Mixed	#cccccc
97	Xanthobacter	Oscillatoria	0.863980476719	Mixed	#cccccc
98	Xanthobacter	Solimonas	1.0	Anterior_nares	#8000ff
