TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Aggregatibacter	Algoriphagus	Alloprevotella	Alysiella	Anaeroglobus	Atopobium	Avibacterium	Bacteroides	Barnesiella	Brochothrix	Bulleidia	Campylobacter	Capnocytophaga	Cardiobacterium	Carnobacterium	Catonella	Cellulomonas	Centipeda	Cetobacterium	Chlamydia	Corynebacterium	Cryptobacterium	Dechloromonas	Dialister	Eggerthia	Eikenella	Enterococcus	Eubacterium	Filifactor	Fusobacterium	Gemella	Geobacillus	Granulicatella	Haemophilus	Hallella	Helcococcus	Histophilus	Isoptericola	Kingella	Kytococcus	Lachnoanaerobaculum	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Mannheimia	Megasphaera	Mitsuokella	Mogibacterium	Morococcus	Mycoplasma	Necropsobacter	Neisseria	Olsenella	Oribacterium	Ottowia	Parabacteroides	Paracoccus	Paraprevotella	Parvimonas	Pasteurella	Peptoniphilus	Peptostreptococcus	Phocaeicola	Porphyrobacter	Porphyromonas	Prevotella	Propionibacterium	Pseudomonas	Pseudoramibacter	Rothia	Sanguibacter	Scardovia	Selenomonas	Simonsiella	Sneathia	Solobacterium	Staphylococcus	Stomatobaculum	Streptobacillus	Streptococcus	Tannerella	Treponema	Trueperella	Veillonella	Vibrio	Xylanimonas
Abiotrophia	0.0	0.0	0.0	0.0	0.9070046573421934	0.9343733284561196	0.900552581222595	0.0	0.0	0.0	0.9070046573421934	0.9054338242115595	0.0	0.0	0.0	0.0	0.9070046573421934	0.0	0.0	0.9970127531089763	0.9522874879801159	0.0	0.9070046573421934	0.0	0.0	0.0	0.9941244377336581	0.9070046573421934	0.0	0.9060447179880406	0.9070046573421934	0.8875488065042113	0.9070046573421934	0.9058010227034702	0.9067873488767946	0.0	0.0	0.0	0.0	0.0	0.9070046573421934	0.0	0.0	0.9070046573421934	0.0	0.8988137514838974	0.9212577834731036	0.0	0.0	0.0	0.9677837288049596	0.0	0.9178407194311697	0.0	0.9070046573421934	0.0	0.0	0.0	0.0	0.9070046573421934	0.9085714605958236	0.0	0.0	0.0	0.0	0.9013585242797181	0.0	0.0	0.9027844545369623	0.0	0.0	0.8422434970239016	0.0	0.0	0.0	0.9070046573421934	0.9087699701992394	0.9172472988851507	0.8988137514838974	0.0	0.0	0.0	0.8870055064359624	0.0	0.9070205949183443	0.0	0.0	0.8967919350835974	0.9031016380594719	0.9332443169534882	0.0	0.0	0.9970127531089763
Acidovorax	0.0	0.0	0.8322397195638237	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9759000729485333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981406840551481	0.0	0.0	0.0	0.9999999999999999	0.9990003757991665	0.0	0.9999999999999999	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.8838834764831841	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.973663721252963	0.0	0.0	0.0	0.0	0.0	0.0	0.999963019802883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.0	0.8322397195638237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8322397195638237	0.0	0.0	0.8322397195638237	0.0	0.0	0.8322397195638237	0.0	0.0	0.8985836863640076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8121828030330026	0.0	0.0	0.8363333975829065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8532654839339329	0.0	0.0	0.0	0.8322397195638237	0.8453716453469737	0.0	0.8322397195638237	0.0	0.0	0.0	0.8322397195638237	0.0	0.0	0.0	0.0	0.0	0.8322397195638237	0.8322397195638237	0.8322397195638237	0.9053574604251852	0.0	0.0	0.0	0.0	0.0	0.8322397195638237	0.0	0.0	0.8998797149781114	0.8102581965293132	0.0	0.8235112716878172	0.0	0.0	0.0	0.8322089431749458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.970767509572162	0.9861857140305986	0.0	0.9984125741442562	0.0	0.9861857140305986	0.9861857140305986	0.0	0.0	0.0	0.0	0.9685071245367146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8771042959470461	0.9829692286514597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9201027908473214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9861857140305986	0.0
Actinobaculum	0.9070046573421934	0.0	0.0	0.0	0.0	0.0	0.999667732586604	0.0	0.0	0.0	1.0	0.9988206152282789	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.875	0.9910601032668827	0.0	1.0	0.0	0.0	0.0	0.8584017843851494	1.0	0.0	0.9982731812361941	1.0	0.0	1.0	0.9991437621514134	0.9993502695695068	0.8775344025064875	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.9923721235559481	0.9991072855495808	0.0	0.0	0.0	0.9791334516174465	0.0	0.9986506538179853	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.9997798474567023	0.0	0.0	0.0	0.0	0.9923721235559482	0.0	0.0	0.9963221648111518	0.0	0.0	0.9740798009475132	0.0	0.0	0.0	1.0	0.0	0.9159122675962238	0.9923721235559481	0.0	0.0	0.0	0.99654575824488	0.0	0.9997775751212505	0.0	0.0	0.998025689793752	0.9993216505720218	0.9855274566525744	0.0	0.0	0.875
Actinomyces	0.9343733284561196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9290467083039279	0.9575714713703244	0.0	0.0	0.0	0.0	0.0	0.0	0.9667497393378863	0.0	0.0	0.0	0.0	0.9927473893456178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9964066820532423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9575714713703244
Aggregatibacter	0.900552581222595	0.0	0.0	0.0	0.999667732586604	0.0	0.0	0.0	0.0	0.0	0.999667732586604	0.9984887396860103	0.0	0.0	0.0	0.0	0.999667732586604	0.0	0.0	0.8680198406078543	0.9883668722766779	0.0	0.999667732586604	0.0	0.0	0.0	0.0	0.999667732586604	0.0	0.9979414875884021	0.999667732586604	0.0	0.999667732586604	0.9988117792379527	0.9990182180403604	0.8789075486086797	0.0	0.0	0.0	0.0	0.999667732586604	0.0	0.0	0.999667732586604	0.0	0.992042390637328	0.9982198069195389	0.0	0.0	0.0	0.9761358245674642	0.0	0.9975731157840987	0.0	0.999667732586604	0.0	0.0	0.0	0.0	0.999667732586604	0.9995267504160197	0.0	0.0	0.0	0.0	0.992042390637328	0.0	0.0	0.9959911194225408	0.0	0.0	0.9751144307047883	0.0	0.0	0.0	0.999667732586604	0.0	0.9196017883716966	0.992042390637328	0.0	0.0	0.0	0.9972812495255163	0.0	0.9994453816123937	0.0	0.0	0.9979606145459329	0.9994902639665905	0.9868227948937278	0.0	0.0	0.8680198406078543
Algoriphagus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9425142938525899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8836338556468615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8907673101422957	0.0	0.0
Alysiella	0.0	0.9999999999999999	0.8322397195638237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9759000729485333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9981406840551481	0.0	0.0	0.0	0.9999999999999999	0.9990003757991665	0.0	0.9999999999999999	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.8838834764831841	0.0	0.0	0.0	0.0	0.0	0.9999999999999999	0.0	0.0	0.973663721252963	0.0	0.0	0.0	0.0	0.0	0.0	0.999963019802883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
