TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Adlercreutzia	Stool	#e8cb72	2	3.0	0.0	#3473f8	#8000ff	Mixed	#cccccc
Anaerotruncus	Stool	#e8cb72	2	3.0	0.0	#3473f8	#8000ff	Mixed	#cccccc
Anoxybacillus	Anterior_nares	#8000ff	3	18.0	1.0	#ff5029	#6a22fe	Mixed	#cccccc
Azonexus	Buccal_mucosa	#445cfb	2	5.0	4.0	#01b3ec	#2884f6	Mixed	#cccccc
Azospira	Anterior_nares	#8000ff	1	4.0	8.0	#1996f3	#30e1da	Mixed	#cccccc
Bilophila	Stool	#e8cb72	2	3.0	0.0	#3473f8	#8000ff	Mixed	#cccccc
Bordetella	L_Retroauricular_crease	#34e4d9	2	5.0	4.0	#01b3ec	#2884f6	Mixed	#cccccc
Celeribacter	Buccal_mucosa	#445cfb	2	5.0	4.0	#01b3ec	#2884f6	Mixed	#cccccc
Chloracidobacterium	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Chloroflexus	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Citrobacter	Anterior_nares	#8000ff	1	4.0	8.0	#1996f3	#30e1da	Mixed	#cccccc
Cupriavidus	Mid_vagina	#52f5cb	5	20.0	11.0	#ff0000	#72febb	Mixed	#cccccc
Diaphorobacter	Buccal_mucosa	#445cfb	15	9.0	5.0	#64fbc3	#11a0f1	Mixed	#cccccc
Dietzia	L_Retroauricular_crease	#34e4d9	1	4.0	16.0	#1996f3	#e2d176	Mixed	#cccccc
Echinicola	Buccal_mucosa	#445cfb	2	19.0	15.0	#ff2914	#cce385	Mixed	#cccccc
Enhydrobacter	R_Retroauricular_crease	#acf59a	1	1.0	9.0	#6826fe	#46efd1	Mixed	#cccccc
Erysipelatoclostridium	Stool	#e8cb72	2	3.0	0.0	#3473f8	#8000ff	Mixed	#cccccc
Hymenobacter	Anterior_nares	#8000ff	1	4.0	16.0	#1996f3	#e2d176	Mixed	#cccccc
Isosphaera	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Janibacter	Anterior_nares	#8000ff	3	6.0	6.0	#18cde4	#04b9ea	Mixed	#cccccc
Mangrovimonas	Buccal_mucosa	#445cfb	2	19.0	15.0	#ff2914	#cce385	Mixed	#cccccc
Meiothermus	R_Retroauricular_crease	#acf59a	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Microbacterium	R_Retroauricular_crease	#acf59a	2	16.0	14.0	#ff964f	#b6f193	Mixed	#cccccc
Micrococcus	L_Retroauricular_crease	#34e4d9	1	4.0	16.0	#1996f3	#e2d176	Mixed	#cccccc
Nakamurella	L_Retroauricular_crease	#34e4d9	1	7.0	19.0	#32e3da	#ff8646	Mixed	#cccccc
Ornithinibacillus	Buccal_mucosa	#445cfb	1	7.0	19.0	#32e3da	#ff8646	Mixed	#cccccc
Ornithobacterium	Buccal_mucosa	#445cfb	2	10.0	17.0	#7effb5	#f9bb66	Mixed	#cccccc
Paenisporosarcina	Buccal_mucosa	#445cfb	2	10.0	17.0	#7effb5	#f9bb66	Mixed	#cccccc
Pediococcus	L_Retroauricular_crease	#34e4d9	1	7.0	19.0	#32e3da	#ff8646	Mixed	#cccccc
Phascolarctobacterium	Stool	#e8cb72	4	11.0	13.0	#99fca6	#a0faa1	Mixed	#cccccc
Polaromonas	Anterior_nares	#8000ff	2	14.0	22.0	#e4cf74	#ff2613	Mixed	#cccccc
Polynucleobacter	R_Retroauricular_crease	#acf59a	2	4.0	18.0	#1996f3	#ffa256	Mixed	#cccccc
Pragia	Buccal_mucosa	#445cfb	2	4.0	18.0	#1996f3	#ffa256	Mixed	#cccccc
Pseudoflavonifractor	Stool	#e8cb72	2	3.0	0.0	#3473f8	#8000ff	Mixed	#cccccc
Pseudoglutamicibacter	Anterior_nares	#8000ff	1	1.0	9.0	#6826fe	#46efd1	Mixed	#cccccc
Pseudopedobacter	Anterior_nares	#8000ff	1	1.0	9.0	#6826fe	#46efd1	Mixed	#cccccc
Pseudothermotoga	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Rhodococcus	R_Retroauricular_crease	#acf59a	2	10.0	17.0	#7effb5	#f9bb66	Mixed	#cccccc
Rickettsiella	Anterior_nares	#8000ff	1	4.0	16.0	#1996f3	#e2d176	Mixed	#cccccc
Roseiflexus	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Saccharicrinis	Buccal_mucosa	#445cfb	2	10.0	17.0	#7effb5	#f9bb66	Mixed	#cccccc
Serratia	Saliva	#cbe486	4	12.0	10.0	#b2f396	#5df9c7	Mixed	#cccccc
Skermanella	Anterior_nares	#8000ff	1	2.0	20.0	#4e4dfc	#ff6835	Mixed	#cccccc
Sphingobacterium	L_Retroauricular_crease	#34e4d9	3	10.0	17.0	#7effb5	#f9bb66	Mixed	#cccccc
Streptobacillus	Attached	#622ffe	6	9.0	23.0	#64fbc3	#ff0000	Mixed	#cccccc
Streptomyces	R_Retroauricular_crease	#acf59a	2	9.0	21.0	#64fbc3	#ff4724	Mixed	#cccccc
Sulfurihydrogenibium	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Sulfurospirillum	Anterior_nares	#8000ff	2	17.0	7.0	#ff763d	#1acfe3	Mixed	#cccccc
Synechococcus	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Thermocrinis	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Thermodesulfovibrio	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Thermomicrobium	Buccal_mucosa	#445cfb	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Turicella	Anterior_nares	#8000ff	3	6.0	6.0	#18cde4	#04b9ea	Mixed	#cccccc
Vitreoscilla	Tongue_dorsum	#ff2f18	1	13.0	3.0	#cbe486	#3e65fa	Mixed	#cccccc
Weeksella	Buccal_mucosa	#445cfb	8	9.0	2.0	#64fbc3	#5444fd	Mixed	#cccccc
Weissella	Anterior_nares	#8000ff	1	2.0	20.0	#4e4dfc	#ff6835	Mixed	#cccccc
Zhouia	Buccal_mucosa	#445cfb	2	15.0	17.0	#feb562	#f9bb66	Mixed	#cccccc
Acetivibrio	Stool	#e8cb72	3	3.0	0.0	#3473f8	#8000ff	Mixed	#cccccc
Acetobacter	L_Retroauricular_crease	#34e4d9	2	18.0	1.0	#ff5029	#6a22fe	Mixed	#cccccc
Alcaligenes	Anterior_nares	#8000ff	3	5.0	4.0	#01b3ec	#2884f6	Mixed	#cccccc
Aromatoleum	Buccal_mucosa	#445cfb	1	4.0	8.0	#1996f3	#30e1da	Mixed	#cccccc
Caldilinea	Anterior_nares	#8000ff	1	8.0	12.0	#4df3ce	#8bfeae	Mixed	#cccccc
Burkholderia	Posterior_fornix	#8efeac	7	20.0	11.0	#ff0000	#72febb	Mixed	#cccccc
Alicycliphilus	L_Retroauricular_crease	#34e4d9	18	9.0	5.0	#64fbc3	#11a0f1	Mixed	#cccccc
Devosia	L_Retroauricular_crease	#34e4d9	1	4.0	16.0	#1996f3	#e2d176	Mixed	#cccccc
Dehalobacter	Stool	#e8cb72	2	19.0	15.0	#ff2914	#cce385	Mixed	#cccccc
Azospirillum	Anterior_nares	#8000ff	1	1.0	9.0	#6826fe	#46efd1	Mixed	#cccccc
Alloiococcus	Anterior_nares	#8000ff	4	6.0	6.0	#18cde4	#04b9ea	Mixed	#cccccc
Brevibacterium	Anterior_nares	#8000ff	4	6.0	6.0	#18cde4	#04b9ea	Mixed	#cccccc
Crocosphaera	L_Retroauricular_crease	#34e4d9	2	0.0	14.0	#8000ff	#b6f193	Mixed	#cccccc
Macrococcus	L_Retroauricular_crease	#34e4d9	1	7.0	19.0	#32e3da	#ff8646	Mixed	#cccccc
Epilithonimonas	R_Retroauricular_crease	#acf59a	2	15.0	17.0	#feb562	#f9bb66	Mixed	#cccccc
Catenibacterium	Stool	#e8cb72	3	11.0	13.0	#99fca6	#a0faa1	Mixed	#cccccc
Novosphingobium	Mid_vagina	#52f5cb	2	14.0	22.0	#e4cf74	#ff2613	Mixed	#cccccc
Gilliamella	R_Retroauricular_crease	#acf59a	2	4.0	18.0	#1996f3	#ffa256	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	5	12.0	10.0	#b2f396	#5df9c7	Mixed	#cccccc
Leuconostoc	L_Retroauricular_crease	#34e4d9	3	12.0	10.0	#b2f396	#5df9c7	Mixed	#cccccc
Marinococcus	Buccal_mucosa	#445cfb	1	2.0	20.0	#4e4dfc	#ff6835	Mixed	#cccccc
Sneathia	L_Retroauricular_crease	#34e4d9	4	9.0	23.0	#64fbc3	#ff0000	Mixed	#cccccc
Methylobacterium	Anterior_nares	#8000ff	2	9.0	21.0	#64fbc3	#ff4724	Mixed	#cccccc
Alysiella	Keratinized_gingiva	#17cbe4	3	17.0	7.0	#ff763d	#1acfe3	Mixed	#cccccc
Aeromonas	L_Retroauricular_crease	#34e4d9	1	13.0	3.0	#cbe486	#3e65fa	Mixed	#cccccc
Acidithiobacillus	Buccal_mucosa	#445cfb	9	9.0	2.0	#64fbc3	#5444fd	Mixed	#cccccc
