	source	target	weight	edge_sample	edge_color
0	Agrobacterium	Afipia	0.950526579838	Mixed	#cccccc
1	Aliterella	Acinetobacter	0.931139202874	Anterior_nares	#8000ff
2	Azohydromonas	Aliterella	0.897482483751	Anterior_nares	#8000ff
3	Brevibacterium	Advenella	0.857804564609	Anterior_nares	#8000ff
4	Brevundimonas	Aliihoeflea	0.98954335077	R_Retroauricular_crease	#acf59a
5	Brevundimonas	Aureimonas	0.800348951849	R_Retroauricular_crease	#acf59a
6	Candidatus Hamiltonella	Blautia	0.903847381729	Stool	#e8cb72
7	Candidatus Methylopumilus	Aminiphilus	1.0	L_Retroauricular_crease	#34e4d9
8	Casaltella	Anaerococcus	0.844032042209	L_Retroauricular_crease	#34e4d9
9	Catabacter	Anaerofustis	0.952032053646	Stool	#e8cb72
10	Celeribacter	Azonexus	0.816202188785	Buccal_mucosa	#445cfb
11	Chloroflexus	Chloracidobacterium	1.0	Buccal_mucosa	#445cfb
12	Chryseobacterium	Aliihoeflea	0.978371047618	R_Retroauricular_crease	#acf59a
13	Chryseobacterium	Brevundimonas	0.983115751407	R_Retroauricular_crease	#acf59a
14	Chthoniobacter	Anaerofustis	0.954750544648	Stool	#e8cb72
15	Chthoniobacter	Catabacter	0.954248726525	Stool	#e8cb72
16	Curtobacterium	Cronobacter	0.846700599085	Mixed	#cccccc
17	Cylindrospermum	Chlorogloeopsis	1.0	Anterior_nares	#8000ff
18	Cystobacter	Belnapia	0.80166000122	Mixed	#cccccc
19	Demetria	Belnapia	0.80166000122	Mixed	#cccccc
20	Demetria	Cystobacter	1.0	Anterior_nares	#8000ff
21	Desulfobulbus	Aminiphilus	1.0	L_Retroauricular_crease	#34e4d9
22	Desulfobulbus	Candidatus Methylopumilus	1.0	L_Retroauricular_crease	#34e4d9
23	Devosia	Crocosphaera	0.906949377396	L_Retroauricular_crease	#34e4d9
24	Duganella	Caballeronia	1.0	R_Retroauricular_crease	#acf59a
25	Dysgonomonas	Cloacibacillus	0.816336478498	Mixed	#cccccc
26	Dysgonomonas	Dialister	0.858995404342	Mixed	#cccccc
