TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Agrobacterium	R_Retroauricular_crease	#acf59a	26	46.0	3.0	#ff5c2f	#6629fe	Mixed	#cccccc
Aliterella	Anterior_nares	#8000ff	18	28.0	0.0	#92fda9	#8000ff	Mixed	#cccccc
Azohydromonas	Anterior_nares	#8000ff	5	28.0	0.0	#92fda9	#8000ff	Mixed	#cccccc
Brevibacterium	Anterior_nares	#8000ff	114	23.0	1.0	#60fac5	#780dff	Mixed	#cccccc
Brevundimonas	R_Retroauricular_crease	#acf59a	54	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Candidatus Hamiltonella	Stool	#e8cb72	3	35.0	18.0	#d6db7e	#1fd3e1	Mixed	#cccccc
Candidatus Methylopumilus	L_Retroauricular_crease	#34e4d9	1	51.0	8.0	#ff1008	#396bf9	Mixed	#cccccc
Casaltella	L_Retroauricular_crease	#34e4d9	11	5.0	9.0	#504afc	#3176f8	Mixed	#cccccc
Catabacter	Stool	#e8cb72	42	25.0	10.0	#74feba	#2981f6	Mixed	#cccccc
Celeribacter	Buccal_mucosa	#445cfb	2	30.0	15.0	#a6f89d	#02b7eb	Mixed	#cccccc
Chloroflexus	Buccal_mucosa	#445cfb	1	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Chryseobacterium	R_Retroauricular_crease	#acf59a	252	43.0	5.0	#ff8646	#5641fd	Mixed	#cccccc
Chthoniobacter	Stool	#e8cb72	2	25.0	10.0	#74feba	#2981f6	Mixed	#cccccc
Curtobacterium	L_Retroauricular_crease	#34e4d9	8	13.0	35.0	#01b3ec	#b2f396	Mixed	#cccccc
Cylindrospermum	Anterior_nares	#8000ff	1	32.0	30.0	#b9ef92	#86ffb0	Mixed	#cccccc
Cystobacter	Anterior_nares	#8000ff	1	9.0	17.0	#2884f6	#14cae5	Mixed	#cccccc
Demetria	Anterior_nares	#8000ff	1	9.0	17.0	#2884f6	#14cae5	Mixed	#cccccc
Desulfobulbus	L_Retroauricular_crease	#34e4d9	1	51.0	8.0	#ff1008	#396bf9	Mixed	#cccccc
Devosia	L_Retroauricular_crease	#34e4d9	67	52.0	6.0	#ff0000	#4c50fc	Mixed	#cccccc
Duganella	R_Retroauricular_crease	#acf59a	1	47.0	23.0	#ff4d27	#4af2cf	Mixed	#cccccc
Dysgonomonas	L_Retroauricular_crease	#34e4d9	51	26.0	33.0	#7effb5	#a2f9a0	Mixed	#cccccc
Eggerthella	Stool	#e8cb72	69	25.0	10.0	#74feba	#2981f6	Mixed	#cccccc
Empedobacter	Anterior_nares	#8000ff	50	39.0	14.0	#feb562	#06aeed	Mixed	#cccccc
Enterococcus	Anterior_nares	#8000ff	288	34.0	32.0	#cce385	#99fca6	Mixed	#cccccc
Ewingella	Anterior_nares	#8000ff	7	6.0	31.0	#4659fb	#90feab	Mixed	#cccccc
Fermentimonas	R_Retroauricular_crease	#acf59a	3	20.0	22.0	#44eed2	#40ecd4	Mixed	#cccccc
Fibrella	L_Retroauricular_crease	#34e4d9	6	26.0	33.0	#7effb5	#a2f9a0	Mixed	#cccccc
Filifactor	Palatine_Tonsils	#70febc	246	19.0	21.0	#3ae8d6	#38e7d7	Mixed	#cccccc
Flavihumibacter	Anterior_nares	#8000ff	2	39.0	14.0	#feb562	#06aeed	Mixed	#cccccc
Frateuria	R_Retroauricular_crease	#acf59a	3	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Gloeocapsa	Anterior_nares	#8000ff	3	23.0	1.0	#60fac5	#780dff	Mixed	#cccccc
Gluconobacter	R_Retroauricular_crease	#acf59a	5	43.0	5.0	#ff8646	#5641fd	Mixed	#cccccc
Gordonia	L_Retroauricular_crease	#34e4d9	71	22.0	6.0	#56f7ca	#4c50fc	Mixed	#cccccc
Gordonibacter	Stool	#e8cb72	145	25.0	10.0	#74feba	#2981f6	Mixed	#cccccc
Gulbenkiania	L_Retroauricular_crease	#34e4d9	76	52.0	6.0	#ff0000	#4c50fc	Mixed	#cccccc
Haematobacter	R_Retroauricular_crease	#acf59a	11	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Halalkalibacillus	Stool	#e8cb72	2	6.0	25.0	#4659fb	#5af8c8	Mixed	#cccccc
Herbaspirillum	Vaginal_introitus	#ff0000	48	50.0	36.0	#ff1f10	#bced8f	Mixed	#cccccc
Hyphomicrobium	L_Retroauricular_crease	#34e4d9	2	51.0	8.0	#ff1008	#396bf9	Mixed	#cccccc
Ilumatobacter	Anterior_nares	#8000ff	1	9.0	17.0	#2884f6	#14cae5	Mixed	#cccccc
Intestinibacter	Stool	#e8cb72	3	15.0	34.0	#12c8e6	#abf69b	Mixed	#cccccc
Isosphaera	Buccal_mucosa	#445cfb	1	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Janthinobacterium	Anterior_nares	#8000ff	6	39.0	14.0	#feb562	#06aeed	Mixed	#cccccc
Kandleria	Stool	#e8cb72	10	44.0	26.0	#ff793e	#64fbc3	Mixed	#cccccc
Ketogulonicigenium	R_Retroauricular_crease	#acf59a	1	47.0	23.0	#ff4d27	#4af2cf	Mixed	#cccccc
Kluyvera	L_Retroauricular_crease	#34e4d9	2	20.0	22.0	#44eed2	#40ecd4	Mixed	#cccccc
Knoellia	Anterior_nares	#8000ff	8	3.0	4.0	#642cfe	#5e35fe	Mixed	#cccccc
Komagataeibacter	Anterior_nares	#8000ff	3	39.0	14.0	#feb562	#06aeed	Mixed	#cccccc
Leisingera	R_Retroauricular_crease	#acf59a	2	27.0	35.0	#88ffaf	#b2f396	Mixed	#cccccc
Leucobacter	L_Retroauricular_crease	#34e4d9	212	22.0	6.0	#56f7ca	#4c50fc	Mixed	#cccccc
Listeria	L_Retroauricular_crease	#34e4d9	35	39.0	2.0	#feb562	#7019ff	Mixed	#cccccc
Lysobacter	Anterior_nares	#8000ff	2	33.0	12.0	#c2ea8c	#1898f2	Mixed	#cccccc
Mageeibacillus	Posterior_fornix	#8efeac	54	31.0	42.0	#b0f397	#f0c46c	Mixed	#cccccc
Mangrovimonas	Buccal_mucosa	#445cfb	2	42.0	38.0	#ff934d	#cee184	Mixed	#cccccc
Methylobacillus	R_Retroauricular_crease	#acf59a	2	47.0	23.0	#ff4d27	#4af2cf	Mixed	#cccccc
Methylocaldum	L_Retroauricular_crease	#34e4d9	1	16.0	45.0	#1dd1e2	#ffa759	Mixed	#cccccc
Micavibrio	Anterior_nares	#8000ff	1	21.0	37.0	#4df3ce	#c4e88a	Mixed	#cccccc
Microcoleus	L_Retroauricular_crease	#34e4d9	8	27.0	35.0	#88ffaf	#b2f396	Mixed	#cccccc
Microlunatus	R_Retroauricular_crease	#acf59a	1	16.0	46.0	#1dd1e2	#ff9b52	Mixed	#cccccc
Micromonospora	Anterior_nares	#8000ff	1	40.0	40.0	#ffa95b	#ded579	Mixed	#cccccc
Mobiluncus	Stool	#e8cb72	53	6.0	13.0	#4659fb	#0ea5ef	Mixed	#cccccc
Modestobacter	Anterior_nares	#8000ff	9	28.0	0.0	#92fda9	#8000ff	Mixed	#cccccc
Mycoplasma	Subgingival_plaque	#ffac5c	230	31.0	42.0	#b0f397	#f0c46c	Mixed	#cccccc
Nesterenkonia	Anterior_nares	#8000ff	4	33.0	12.0	#c2ea8c	#1898f2	Mixed	#cccccc
Nitrosomonas	L_Retroauricular_crease	#34e4d9	2	16.0	45.0	#1dd1e2	#ffa759	Mixed	#cccccc
Nitrospira	Tongue_dorsum	#ff2f18	3	7.0	50.0	#3c68f9	#ff6d38	Mixed	#cccccc
Nostoc	Anterior_nares	#8000ff	1	46.0	3.0	#ff5c2f	#6629fe	Mixed	#cccccc
Olivibacter	Anterior_nares	#8000ff	2	39.0	14.0	#feb562	#06aeed	Mixed	#cccccc
Oscillatoria	R_Retroauricular_crease	#acf59a	5	13.0	35.0	#01b3ec	#b2f396	Mixed	#cccccc
Paenibacillus	R_Retroauricular_crease	#acf59a	102	4.0	39.0	#5a3bfd	#d6db7e	Mixed	#cccccc
Paenirhodobacter	Anterior_nares	#8000ff	2	1.0	1.0	#780dff	#780dff	Mixed	#cccccc
Paenisporosarcina	Buccal_mucosa	#445cfb	1	39.0	53.0	#feb562	#ff4422	Mixed	#cccccc
Parascardovia	Anterior_nares	#8000ff	17	6.0	31.0	#4659fb	#90feab	Mixed	#cccccc
Pectobacterium	Anterior_nares	#8000ff	12	46.0	3.0	#ff5c2f	#6629fe	Mixed	#cccccc
Peptostreptococcus	Throat	#ff5c2f	583	11.0	21.0	#169bf2	#38e7d7	Mixed	#cccccc
Phenylobacterium	R_Retroauricular_crease	#acf59a	4	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Photobacterium	L_Retroauricular_crease	#34e4d9	3	41.0	51.0	#ff9d53	#ff5f30	Mixed	#cccccc
Pleomorphomonas	Anterior_nares	#8000ff	3	45.0	19.0	#ff6b37	#27dade	Mixed	#cccccc
Pontibacter	R_Retroauricular_crease	#acf59a	8	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Pseudarthrobacter	Anterior_nares	#8000ff	1	39.0	43.0	#feb562	#fbb965	Mixed	#cccccc
Pseudoglutamicibacter	Anterior_nares	#8000ff	25	23.0	1.0	#60fac5	#780dff	Mixed	#cccccc
Pseudorhodoferax	L_Retroauricular_crease	#34e4d9	3	39.0	47.0	#feb562	#ff914c	Mixed	#cccccc
Pseudothermotoga	Buccal_mucosa	#445cfb	1	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Pyramidobacter	Stool	#e8cb72	18	39.0	52.0	#feb562	#ff532a	Mixed	#cccccc
Pyrinomonas	Anterior_nares	#8000ff	2	10.0	16.0	#1e91f3	#0dc2e8	Mixed	#cccccc
Raoultella	Anterior_nares	#8000ff	3	14.0	44.0	#08bee9	#ffb05f	Mixed	#cccccc
Rheinheimera	Anterior_nares	#8000ff	41	12.0	12.0	#0ca7ef	#1898f2	Mixed	#cccccc
Rhizobium	R_Retroauricular_crease	#acf59a	12	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Rhodopseudomonas	Anterior_nares	#8000ff	15	46.0	3.0	#ff5c2f	#6629fe	Mixed	#cccccc
Roseiflexus	Buccal_mucosa	#445cfb	1	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Rubellimicrobium	R_Retroauricular_crease	#acf59a	5	0.0	28.0	#8000ff	#76ffb9	Mixed	#cccccc
Rubritepida	Anterior_nares	#8000ff	1	40.0	40.0	#ffa95b	#ded579	Mixed	#cccccc
Runella	Keratinized_gingiva	#17cbe4	2	12.0	12.0	#0ca7ef	#1898f2	Mixed	#cccccc
Saccharicrinis	Buccal_mucosa	#445cfb	1	39.0	53.0	#feb562	#ff4422	Mixed	#cccccc
Saccharopolyspora	Anterior_nares	#8000ff	1	34.0	41.0	#cce385	#e8cb72	Mixed	#cccccc
Scytonema	R_Retroauricular_crease	#acf59a	4	32.0	30.0	#b9ef92	#86ffb0	Mixed	#cccccc
Sedimentibacter	Stool	#e8cb72	2	25.0	10.0	#74feba	#2981f6	Mixed	#cccccc
Sediminibacterium	R_Retroauricular_crease	#acf59a	2	39.0	54.0	#feb562	#ff381c	Mixed	#cccccc
Shigella	Stool	#e8cb72	2	20.0	22.0	#44eed2	#40ecd4	Mixed	#cccccc
Siccibacter	Anterior_nares	#8000ff	2	34.0	41.0	#cce385	#e8cb72	Mixed	#cccccc
Sinorhizobium	Stool	#e8cb72	72	36.0	27.0	#e0d377	#6dfdbf	Mixed	#cccccc
Solimonas	Anterior_nares	#8000ff	2	13.0	35.0	#01b3ec	#b2f396	Mixed	#cccccc
Sorangium	Anterior_nares	#8000ff	1	9.0	17.0	#2884f6	#14cae5	Mixed	#cccccc
Sphaerotilus	R_Retroauricular_crease	#acf59a	1	47.0	23.0	#ff4d27	#4af2cf	Mixed	#cccccc
Sporosarcina	Anterior_nares	#8000ff	2	0.0	28.0	#8000ff	#76ffb9	Mixed	#cccccc
Streptomyces	R_Retroauricular_crease	#acf59a	77	52.0	6.0	#ff0000	#4c50fc	Mixed	#cccccc
Sulfurihydrogenibium	Buccal_mucosa	#445cfb	1	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Synechococcus	Buccal_mucosa	#445cfb	2	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Synechocystis	Anterior_nares	#8000ff	7	3.0	4.0	#642cfe	#5e35fe	Mixed	#cccccc
Synergistes	Stool	#e8cb72	7	26.0	33.0	#7effb5	#a2f9a0	Mixed	#cccccc
Tatumella	R_Retroauricular_crease	#acf59a	3	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Tepidimonas	R_Retroauricular_crease	#acf59a	37	22.0	6.0	#56f7ca	#4c50fc	Mixed	#cccccc
Tessaracoccus	Anterior_nares	#8000ff	2	33.0	12.0	#c2ea8c	#1898f2	Mixed	#cccccc
Tetrasphaera	L_Retroauricular_crease	#34e4d9	4	22.0	6.0	#56f7ca	#4c50fc	Mixed	#cccccc
Thermanaerovibrio	Anterior_nares	#8000ff	1	51.0	24.0	#ff1008	#52f5cb	Mixed	#cccccc
Thermoactinomyces	R_Retroauricular_crease	#acf59a	3	1.0	1.0	#780dff	#780dff	Mixed	#cccccc
Thermobispora	Anterior_nares	#8000ff	1	16.0	56.0	#1dd1e2	#ff1c0e	Mixed	#cccccc
Thermocrinis	Buccal_mucosa	#445cfb	4	49.0	29.0	#ff2f18	#7effb5	Mixed	#cccccc
Thermodesulfovibrio	Buccal_mucosa	#445cfb	1	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Thermomicrobium	Buccal_mucosa	#445cfb	1	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Thermus	L_Retroauricular_crease	#34e4d9	67	16.0	55.0	#1dd1e2	#ff2c16	Mixed	#cccccc
Thiomicrospira	Throat	#ff5c2f	3	29.0	57.0	#9cfba4	#ff1008	Mixed	#cccccc
Timonella	Anterior_nares	#8000ff	1	9.0	17.0	#2884f6	#14cae5	Mixed	#cccccc
Tolumonas	L_Retroauricular_crease	#34e4d9	1	16.0	45.0	#1dd1e2	#ffa759	Mixed	#cccccc
Tolypothrix	Anterior_nares	#8000ff	5	33.0	12.0	#c2ea8c	#1898f2	Mixed	#cccccc
Turicella	Anterior_nares	#8000ff	27	2.0	7.0	#6e1cff	#445cfb	Mixed	#cccccc
Turicibacter	Stool	#e8cb72	2	29.0	58.0	#9cfba4	#ff0000	Mixed	#cccccc
Tyzzerella	Stool	#e8cb72	283	8.0	49.0	#3176f8	#ff793e	Mixed	#cccccc
Verrucomicrobium	Stool	#e8cb72	1	37.0	48.0	#ebca70	#ff8444	Mixed	#cccccc
Vibrio	Anterior_nares	#8000ff	73	28.0	0.0	#92fda9	#8000ff	Mixed	#cccccc
Vogesella	L_Retroauricular_crease	#34e4d9	2	39.0	2.0	#feb562	#7019ff	Mixed	#cccccc
Weissella	Anterior_nares	#8000ff	26	48.0	11.0	#ff3e1f	#208ef4	Mixed	#cccccc
Xanthobacter	Anterior_nares	#8000ff	2	13.0	35.0	#01b3ec	#b2f396	Mixed	#cccccc
Xenorhabdus	Saliva	#cbe486	1	17.0	20.0	#27dade	#2fe0db	Mixed	#cccccc
Yersinia	Stool	#e8cb72	3	20.0	22.0	#44eed2	#40ecd4	Mixed	#cccccc
Zhouia	Buccal_mucosa	#445cfb	1	39.0	53.0	#feb562	#ff4422	Mixed	#cccccc
Afipia	Anterior_nares	#8000ff	88	46.0	3.0	#ff5c2f	#6629fe	Mixed	#cccccc
Acinetobacter	Anterior_nares	#8000ff	407	28.0	0.0	#92fda9	#8000ff	Mixed	#cccccc
Advenella	Anterior_nares	#8000ff	2	23.0	1.0	#60fac5	#780dff	Mixed	#cccccc
Aliihoeflea	R_Retroauricular_crease	#acf59a	3	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Aureimonas	R_Retroauricular_crease	#acf59a	19	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Blautia	Stool	#e8cb72	432	35.0	18.0	#d6db7e	#1fd3e1	Mixed	#cccccc
Aminiphilus	L_Retroauricular_crease	#34e4d9	1	51.0	8.0	#ff1008	#396bf9	Mixed	#cccccc
Anaerococcus	L_Retroauricular_crease	#34e4d9	263	5.0	9.0	#504afc	#3176f8	Mixed	#cccccc
Anaerofustis	Stool	#e8cb72	9	25.0	10.0	#74feba	#2981f6	Mixed	#cccccc
Azonexus	Buccal_mucosa	#445cfb	3	30.0	15.0	#a6f89d	#02b7eb	Mixed	#cccccc
Chloracidobacterium	Buccal_mucosa	#445cfb	1	18.0	29.0	#30e1da	#7effb5	Mixed	#cccccc
Cronobacter	Anterior_nares	#8000ff	8	27.0	35.0	#88ffaf	#b2f396	Mixed	#cccccc
Chlorogloeopsis	Anterior_nares	#8000ff	1	32.0	30.0	#b9ef92	#86ffb0	Mixed	#cccccc
Belnapia	L_Retroauricular_crease	#34e4d9	3	9.0	17.0	#2884f6	#14cae5	Mixed	#cccccc
Crocosphaera	L_Retroauricular_crease	#34e4d9	107	24.0	6.0	#6afdc0	#4c50fc	Mixed	#cccccc
Caballeronia	R_Retroauricular_crease	#acf59a	1	47.0	23.0	#ff4d27	#4af2cf	Mixed	#cccccc
Cloacibacillus	Stool	#e8cb72	8	26.0	33.0	#7effb5	#a2f9a0	Mixed	#cccccc
Dialister	Stool	#e8cb72	789	26.0	33.0	#7effb5	#a2f9a0	Mixed	#cccccc
Atopococcus	Anterior_nares	#8000ff	2	39.0	14.0	#feb562	#06aeed	Mixed	#cccccc
Citrobacter	Anterior_nares	#8000ff	15	34.0	32.0	#cce385	#99fca6	Mixed	#cccccc
Chroococcidiopsis	Anterior_nares	#8000ff	11	6.0	31.0	#4659fb	#90feab	Mixed	#cccccc
Buttiauxella	Stool	#e8cb72	1	20.0	22.0	#44eed2	#40ecd4	Mixed	#cccccc
Bulleidia	Throat	#ff5c2f	103	19.0	21.0	#3ae8d6	#38e7d7	Mixed	#cccccc
Alishewanella	R_Retroauricular_crease	#acf59a	1	38.0	5.0	#f4c069	#5641fd	Mixed	#cccccc
Alkanindiges	Anterior_nares	#8000ff	15	24.0	6.0	#6afdc0	#4c50fc	Mixed	#cccccc
Candidatus Soleaferrea	Stool	#e8cb72	8	6.0	25.0	#4659fb	#5af8c8	Mixed	#cccccc
Cupriavidus	Mid_vagina	#52f5cb	21	50.0	36.0	#ff1f10	#bced8f	Mixed	#cccccc
Coprococcus	Stool	#e8cb72	377	15.0	34.0	#12c8e6	#abf69b	Mixed	#cccccc
Catenibacterium	Stool	#e8cb72	87	44.0	26.0	#ff793e	#64fbc3	Mixed	#cccccc
Escherichia	Stool	#e8cb72	214	20.0	22.0	#44eed2	#40ecd4	Mixed	#cccccc
Alcaligenes	Anterior_nares	#8000ff	10	3.0	4.0	#642cfe	#5e35fe	Mixed	#cccccc
Aeromonas	L_Retroauricular_crease	#34e4d9	15	39.0	2.0	#feb562	#7019ff	Mixed	#cccccc
Asanoa	Anterior_nares	#8000ff	2	33.0	12.0	#c2ea8c	#1898f2	Mixed	#cccccc
Hippea	Posterior_fornix	#8efeac	1	31.0	42.0	#b0f397	#f0c46c	Mixed	#cccccc
Echinicola	Buccal_mucosa	#445cfb	2	42.0	38.0	#ff934d	#cee184	Mixed	#cccccc
Laribacter	L_Retroauricular_crease	#34e4d9	1	16.0	45.0	#1dd1e2	#ffa759	Mixed	#cccccc
Dactylosporangium	Anterior_nares	#8000ff	1	21.0	37.0	#4df3ce	#c4e88a	Mixed	#cccccc
Leadbetterella	Anterior_nares	#8000ff	1	16.0	46.0	#1dd1e2	#ff9b52	Mixed	#cccccc
Flaviflexus	Anterior_nares	#8000ff	1	40.0	40.0	#ffa95b	#ded579	Mixed	#cccccc
Atopobium	Posterior_fornix	#8efeac	737	6.0	13.0	#4659fb	#0ea5ef	Mixed	#cccccc
Methylibium	Tongue_dorsum	#ff2f18	1	7.0	50.0	#3c68f9	#ff6d38	Mixed	#cccccc
Enhydrobacter	R_Retroauricular_crease	#acf59a	73	4.0	39.0	#5a3bfd	#d6db7e	Mixed	#cccccc
