TAXA	Abiotrophia	Actinomyces	Atopobium	Fusobacterium	Gemella	Granulicatella	Haemophilus	Megasphaera	Prevotella	Rothia	Staphylococcus	Stomatobaculum	Streptococcus	Veillonella
Abiotrophia	0.0	0.0	1.0	1.0	0.9999999999999998	1.0	1.0	0.9999999999999999	1.0	0.0	0.9999999999999999	0.0	1.0	1.0
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999999998	0.0	0.9999999999999999	0.0	0.0
Atopobium	1.0	0.0	0.0	1.0	0.9999999999999999	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
Fusobacterium	1.0	0.0	1.0	0.0	0.9999999999999999	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
Gemella	0.9999999999999998	0.0	0.9999999999999999	0.9999999999999999	0.0	0.9999999999999999	0.9999999999999999	0.9999999999999998	0.9999999999999999	0.0	0.9999999999999998	0.0	0.9999999999999999	0.9999999999999998
Granulicatella	1.0	0.0	1.0	1.0	0.9999999999999999	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
Haemophilus	1.0	0.0	1.0	1.0	0.9999999999999999	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
Megasphaera	0.9999999999999999	0.0	1.0	1.0	0.9999999999999998	1.0	1.0	0.0	1.0	0.0	0.9999999999999999	0.0	1.0	1.0
Prevotella	1.0	0.0	1.0	1.0	0.9999999999999999	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
Rothia	0.0	0.9999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Staphylococcus	0.9999999999999999	0.0	1.0	1.0	0.9999999999999998	1.0	1.0	0.9999999999999999	1.0	0.0	0.0	0.0	1.0	1.0
Stomatobaculum	0.0	0.9999999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Streptococcus	1.0	0.0	1.0	1.0	0.9999999999999999	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
Veillonella	1.0	0.0	1.0	1.0	0.9999999999999998	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
