	source	target	weight	edge_sample	edge_color
0	Atopobium	Abiotrophia	1.0	Mixed	#cccccc
1	Fusobacterium	Abiotrophia	1.0	Mixed	#cccccc
2	Fusobacterium	Atopobium	1.0	Mixed	#cccccc
3	Gemella	Abiotrophia	1.0	Buccal_mucosa	#445cfb
4	Gemella	Atopobium	1.0	Mixed	#cccccc
5	Gemella	Fusobacterium	1.0	Mixed	#cccccc
6	Granulicatella	Abiotrophia	1.0	Mixed	#cccccc
7	Granulicatella	Atopobium	1.0	Mixed	#cccccc
8	Granulicatella	Fusobacterium	1.0	Mixed	#cccccc
9	Granulicatella	Gemella	1.0	Mixed	#cccccc
10	Haemophilus	Abiotrophia	1.0	Mixed	#cccccc
11	Haemophilus	Atopobium	1.0	Mixed	#cccccc
12	Haemophilus	Fusobacterium	1.0	Mixed	#cccccc
13	Haemophilus	Gemella	1.0	Mixed	#cccccc
14	Haemophilus	Granulicatella	1.0	Mixed	#cccccc
15	Megasphaera	Abiotrophia	1.0	Mixed	#cccccc
16	Megasphaera	Atopobium	1.0	Mixed	#cccccc
17	Megasphaera	Fusobacterium	1.0	Mixed	#cccccc
18	Megasphaera	Gemella	1.0	Mixed	#cccccc
19	Megasphaera	Granulicatella	1.0	Mixed	#cccccc
20	Megasphaera	Haemophilus	1.0	Mixed	#cccccc
21	Prevotella	Abiotrophia	1.0	Mixed	#cccccc
22	Prevotella	Atopobium	1.0	Mixed	#cccccc
23	Prevotella	Fusobacterium	1.0	Mixed	#cccccc
24	Prevotella	Gemella	1.0	Mixed	#cccccc
25	Prevotella	Granulicatella	1.0	Mixed	#cccccc
26	Prevotella	Haemophilus	1.0	Mixed	#cccccc
27	Prevotella	Megasphaera	1.0	Mixed	#cccccc
28	Rothia	Actinomyces	1.0	Mixed	#cccccc
29	Staphylococcus	Abiotrophia	1.0	Mixed	#cccccc
30	Staphylococcus	Atopobium	1.0	Mixed	#cccccc
31	Staphylococcus	Fusobacterium	1.0	Mixed	#cccccc
32	Staphylococcus	Gemella	1.0	Mixed	#cccccc
33	Staphylococcus	Granulicatella	1.0	Mixed	#cccccc
34	Staphylococcus	Haemophilus	1.0	Mixed	#cccccc
35	Staphylococcus	Megasphaera	1.0	Mixed	#cccccc
36	Staphylococcus	Prevotella	1.0	Mixed	#cccccc
37	Stomatobaculum	Actinomyces	1.0	Tongue_dorsum	#ff2f18
38	Stomatobaculum	Rothia	1.0	Mixed	#cccccc
39	Streptococcus	Abiotrophia	1.0	Mixed	#cccccc
40	Streptococcus	Atopobium	1.0	Mixed	#cccccc
41	Streptococcus	Fusobacterium	1.0	Mixed	#cccccc
42	Streptococcus	Gemella	1.0	Mixed	#cccccc
43	Streptococcus	Granulicatella	1.0	Mixed	#cccccc
44	Streptococcus	Haemophilus	1.0	Buccal_mucosa_NA	#2686f5
45	Streptococcus	Megasphaera	1.0	Mixed	#cccccc
46	Streptococcus	Prevotella	1.0	Mixed	#cccccc
47	Streptococcus	Staphylococcus	1.0	Mixed	#cccccc
48	Veillonella	Abiotrophia	1.0	Mixed	#cccccc
49	Veillonella	Atopobium	1.0	Mixed	#cccccc
50	Veillonella	Fusobacterium	1.0	Mixed	#cccccc
51	Veillonella	Gemella	1.0	Mixed	#cccccc
52	Veillonella	Granulicatella	1.0	Mixed	#cccccc
53	Veillonella	Haemophilus	1.0	Mixed	#cccccc
54	Veillonella	Megasphaera	1.0	Mixed	#cccccc
55	Veillonella	Prevotella	1.0	Mixed	#cccccc
56	Veillonella	Staphylococcus	1.0	Mixed	#cccccc
57	Veillonella	Streptococcus	1.0	Mixed	#cccccc
