	source	target	weight	edge_sample	edge_color
0	Altererythrobacter	Achromobacter	1.0	L_Retroauricular_crease	#34e4d9
1	Aminiphilus	Agrobacterium	1.0	Mixed	#cccccc
2	Anaeroglobus	Acetivibrio	1.0	Mixed	#cccccc
3	Anaerostipes	Acetivibrio	1.0	Stool	#e8cb72
4	Anaerostipes	Anaeroglobus	1.0	Mixed	#cccccc
5	Anaerotruncus	Acetivibrio	1.0	Stool	#e8cb72
6	Anaerotruncus	Anaeroglobus	1.0	Mixed	#cccccc
7	Anaerotruncus	Anaerostipes	1.0	Stool	#e8cb72
8	Azohydromonas	Achromobacter	1.0	Mixed	#cccccc
9	Azohydromonas	Altererythrobacter	1.0	Mixed	#cccccc
10	Belnapia	Actinomycetospora	1.0	L_Retroauricular_crease	#34e4d9
11	Bergeyella	Aliterella	1.0	Mixed	#cccccc
12	Bifidobacterium	Acidovorax	0.81348921682	Mixed	#cccccc
13	Bilophila	Acetivibrio	1.0	Stool	#e8cb72
14	Bilophila	Anaeroglobus	1.0	Mixed	#cccccc
15	Bilophila	Anaerostipes	1.0	Stool	#e8cb72
16	Bilophila	Anaerotruncus	1.0	Stool	#e8cb72
17	Bosea	Aureimonas	1.0	R_Retroauricular_crease	#acf59a
18	Burkholderia	Aestuariimicrobium	1.0	Mixed	#cccccc
19	Caldibacillus	Acetobacter	1.0	L_Retroauricular_crease	#34e4d9
20	Calothrix	Bulleidia	1.0	Mixed	#cccccc
21	Candidatus Methylopumilus	Agrobacterium	1.0	Mixed	#cccccc
22	Candidatus Methylopumilus	Aminiphilus	1.0	L_Retroauricular_crease	#34e4d9
23	Catabacter	Acetivibrio	1.0	Stool	#e8cb72
24	Catabacter	Anaeroglobus	1.0	Mixed	#cccccc
25	Catabacter	Anaerostipes	1.0	Stool	#e8cb72
26	Catabacter	Anaerotruncus	1.0	Stool	#e8cb72
27	Catabacter	Bilophila	1.0	Stool	#e8cb72
28	Cellulomonas	Catenibacterium	0.844097150807	Stool	#e8cb72
29	Collinsella	Butyricimonas	0.81746031746	Stool	#e8cb72
30	Conchiformibius	Bulleidia	1.0	Mixed	#cccccc
31	Conchiformibius	Calothrix	1.0	Mixed	#cccccc
32	Coprobacillus	Akkermansia	0.844097150807	Stool	#e8cb72
33	Coprobacter	Acetivibrio	1.0	Stool	#e8cb72
34	Coprobacter	Anaeroglobus	1.0	Mixed	#cccccc
35	Coprobacter	Anaerostipes	1.0	Stool	#e8cb72
36	Coprobacter	Anaerotruncus	1.0	Stool	#e8cb72
37	Coprobacter	Bilophila	1.0	Stool	#e8cb72
38	Coprobacter	Catabacter	1.0	Stool	#e8cb72
39	Cryptobacterium	Aureimonas	1.0	Mixed	#cccccc
40	Cryptobacterium	Bosea	1.0	Mixed	#cccccc
41	Curtobacterium	Actinomycetospora	1.0	L_Retroauricular_crease	#34e4d9
42	Curtobacterium	Belnapia	1.0	L_Retroauricular_crease	#34e4d9
43	Dermacoccus	Aureimonas	1.0	Mixed	#cccccc
44	Dermacoccus	Bosea	1.0	Mixed	#cccccc
45	Dermacoccus	Cryptobacterium	1.0	Mixed	#cccccc
46	Desmospora	Aliterella	1.0	Mixed	#cccccc
47	Desmospora	Bergeyella	1.0	Mixed	#cccccc
48	Desulfobulbus	Agrobacterium	1.0	Mixed	#cccccc
49	Desulfobulbus	Aminiphilus	1.0	L_Retroauricular_crease	#34e4d9
50	Desulfobulbus	Candidatus Methylopumilus	1.0	L_Retroauricular_crease	#34e4d9
51	Devosia	Acidovorax	0.81348921682	L_Retroauricular_crease	#34e4d9
52	Devosia	Bifidobacterium	1.0	Mixed	#cccccc
53	Diaphorobacter	Agrobacterium	1.0	Mixed	#cccccc
54	Diaphorobacter	Aminiphilus	1.0	Mixed	#cccccc
55	Diaphorobacter	Candidatus Methylopumilus	1.0	Mixed	#cccccc
56	Diaphorobacter	Desulfobulbus	1.0	Mixed	#cccccc
57	Dysgonomonas	Adlercreutzia	0.844097150807	Mixed	#cccccc
58	Dysgonomonas	Afipia	0.844097150807	Mixed	#cccccc
59	Eggerthella	Acetivibrio	1.0	Stool	#e8cb72
60	Eggerthella	Anaeroglobus	1.0	Mixed	#cccccc
61	Eggerthella	Anaerostipes	1.0	Stool	#e8cb72
62	Eggerthella	Anaerotruncus	1.0	Stool	#e8cb72
63	Eggerthella	Bilophila	1.0	Stool	#e8cb72
64	Eggerthella	Catabacter	1.0	Stool	#e8cb72
65	Eggerthella	Coprobacter	1.0	Stool	#e8cb72
66	Eggerthia	Bulleidia	1.0	Mixed	#cccccc
67	Eggerthia	Calothrix	1.0	Mixed	#cccccc
68	Eggerthia	Conchiformibius	1.0	Mixed	#cccccc
69	Ensifer	Bordetella	1.0	Mixed	#cccccc
70	Erysipelatoclostridium	Acetivibrio	1.0	Stool	#e8cb72
71	Erysipelatoclostridium	Anaeroglobus	1.0	Mixed	#cccccc
72	Erysipelatoclostridium	Anaerostipes	1.0	Stool	#e8cb72
73	Erysipelatoclostridium	Anaerotruncus	1.0	Stool	#e8cb72
74	Erysipelatoclostridium	Bilophila	1.0	Stool	#e8cb72
75	Erysipelatoclostridium	Catabacter	1.0	Stool	#e8cb72
76	Erysipelatoclostridium	Coprobacter	1.0	Stool	#e8cb72
77	Erysipelatoclostridium	Eggerthella	1.0	Stool	#e8cb72
78	Eubacterium	Bacillus	1.0	Mixed	#cccccc
79	Faecalitalea	Acetivibrio	1.0	Stool	#e8cb72
80	Faecalitalea	Anaeroglobus	1.0	Mixed	#cccccc
81	Faecalitalea	Anaerostipes	1.0	Stool	#e8cb72
82	Faecalitalea	Anaerotruncus	1.0	Stool	#e8cb72
83	Faecalitalea	Bilophila	1.0	Stool	#e8cb72
84	Faecalitalea	Catabacter	1.0	Stool	#e8cb72
85	Faecalitalea	Coprobacter	1.0	Stool	#e8cb72
