TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Altererythrobacter	L_Retroauricular_crease	#34e4d9	1	26.0	2.0	#ff3b1e	#6032fe	Mixed	#cccccc
Aminiphilus	L_Retroauricular_crease	#34e4d9	1	28.0	8.0	#ff0000	#02b7eb	Mixed	#cccccc
Anaeroglobus	Subgingival_plaque	#ffac5c	2	5.0	0.0	#2686f5	#8000ff	Mixed	#cccccc
Anaerostipes	Stool	#e8cb72	2	5.0	0.0	#2686f5	#8000ff	Mixed	#cccccc
Anaerotruncus	Stool	#e8cb72	2	5.0	0.0	#2686f5	#8000ff	Mixed	#cccccc
Azohydromonas	Anterior_nares	#8000ff	1	26.0	2.0	#ff3b1e	#6032fe	Mixed	#cccccc
Belnapia	L_Retroauricular_crease	#34e4d9	3	4.0	5.0	#386df9	#2e7bf7	Mixed	#cccccc
Bergeyella	R_Retroauricular_crease	#acf59a	1	2.0	9.0	#5c38fd	#14cae5	Mixed	#cccccc
Bifidobacterium	Posterior_fornix	#8efeac	17	11.0	3.0	#48f1d0	#504afc	Mixed	#cccccc
Bilophila	Stool	#e8cb72	2	5.0	0.0	#2686f5	#8000ff	Mixed	#cccccc
Bosea	R_Retroauricular_crease	#acf59a	1	3.0	13.0	#4a53fb	#54f6cb	Mixed	#cccccc
Burkholderia	Posterior_fornix	#8efeac	2	21.0	7.0	#feb562	#0ea5ef	Mixed	#cccccc
Caldibacillus	L_Retroauricular_crease	#34e4d9	2	27.0	1.0	#ff1f10	#7019ff	Mixed	#cccccc
Calothrix	Anterior_nares	#8000ff	2	7.0	16.0	#01b3ec	#86ffb0	Mixed	#cccccc
Candidatus Methylopumilus	L_Retroauricular_crease	#34e4d9	1	28.0	8.0	#ff0000	#02b7eb	Mixed	#cccccc
Catabacter	Stool	#e8cb72	2	5.0	0.0	#2686f5	#8000ff	Mixed	#cccccc
Cellulomonas	Stool	#e8cb72	4	26.0	18.0	#ff3b1e	#a8f79c	Mixed	#cccccc
Collinsella	Stool	#e8cb72	9	3.0	17.0	#4a53fb	#96fca7	Mixed	#cccccc
Conchiformibius	R_Retroauricular_crease	#acf59a	2	7.0	16.0	#01b3ec	#86ffb0	Mixed	#cccccc
Coprobacillus	Stool	#e8cb72	3	8.0	6.0	#10c6e6	#1e91f3	Mixed	#cccccc
Coprobacter	Stool	#e8cb72	2	5.0	0.0	#2686f5	#8000ff	Mixed	#cccccc
Cryptobacterium	Saliva	#cbe486	1	3.0	13.0	#4a53fb	#54f6cb	Mixed	#cccccc
Curtobacterium	L_Retroauricular_crease	#34e4d9	3	4.0	5.0	#386df9	#2e7bf7	Mixed	#cccccc
Dermacoccus	Anterior_nares	#8000ff	1	3.0	13.0	#4a53fb	#54f6cb	Mixed	#cccccc
Desmospora	L_Retroauricular_crease	#34e4d9	1	2.0	9.0	#5c38fd	#14cae5	Mixed	#cccccc
Desulfobulbus	L_Retroauricular_crease	#34e4d9	1	28.0	8.0	#ff0000	#02b7eb	Mixed	#cccccc
Devosia	L_Retroauricular_crease	#34e4d9	17	11.0	3.0	#48f1d0	#504afc	Mixed	#cccccc
Diaphorobacter	Buccal_mucosa	#445cfb	1	28.0	8.0	#ff0000	#02b7eb	Mixed	#cccccc
Dysgonomonas	L_Retroauricular_crease	#34e4d9	4	19.0	6.0	#dbd87b	#1e91f3	Mixed	#cccccc
Eggerthella	Stool	#e8cb72	2	13.0	0.0	#6dfdbf	#8000ff	Mixed	#cccccc
Eggerthia	Subgingival_plaque	#ffac5c	2	7.0	16.0	#01b3ec	#86ffb0	Mixed	#cccccc
Ensifer	R_Retroauricular_crease	#acf59a	1	17.0	15.0	#b4f295	#76ffb9	Mixed	#cccccc
Erysipelatoclostridium	Stool	#e8cb72	2	5.0	0.0	#2686f5	#8000ff	Mixed	#cccccc
Eubacterium	Palatine_Tonsils	#70febc	21	12.0	14.0	#5af8c8	#66fcc2	Mixed	#cccccc
Faecalitalea	Stool	#e8cb72	2	5.0	0.0	#2686f5	#8000ff	Mixed	#cccccc
