	source	target	weight	edge_sample	edge_color
0	Alistipes	Akkermansia	1.0	Stool	#e8cb72
1	Barnesiella	Akkermansia	1.0	Stool	#e8cb72
2	Barnesiella	Alistipes	1.0	Stool	#e8cb72
3	Centipeda	Bulleidia	1.0	Mixed	#cccccc
4	Eikenella	Akkermansia	1.0	Mixed	#cccccc
5	Eikenella	Alistipes	1.0	Mixed	#cccccc
6	Eikenella	Barnesiella	1.0	Mixed	#cccccc
7	Filifactor	Anaeroglobus	1.0	Mixed	#cccccc
8	Finegoldia	Eggerthia	1.0	Mixed	#cccccc
9	Gordonibacter	Butyricimonas	1.0	Stool	#e8cb72
10	Kingella	Actinobaculum	1.0	Mixed	#cccccc
11	Mannheimia	Actinobacillus	1.0	Mixed	#cccccc
12	Neisseria	Lautropia	1.0	Mixed	#cccccc
13	Odoribacter	Akkermansia	1.0	Stool	#e8cb72
14	Odoribacter	Alistipes	1.0	Stool	#e8cb72
15	Odoribacter	Barnesiella	1.0	Stool	#e8cb72
16	Odoribacter	Eikenella	1.0	Mixed	#cccccc
17	Olsenella	Dialister	1.0	Mixed	#cccccc
18	Oscillibacter	Akkermansia	1.0	Stool	#e8cb72
19	Oscillibacter	Alistipes	1.0	Stool	#e8cb72
20	Oscillibacter	Barnesiella	1.0	Stool	#e8cb72
21	Oscillibacter	Eikenella	1.0	Mixed	#cccccc
22	Oscillibacter	Odoribacter	1.0	Stool	#e8cb72
23	Parabacteroides	Akkermansia	1.0	Stool	#e8cb72
24	Parabacteroides	Alistipes	1.0	Stool	#e8cb72
25	Parabacteroides	Barnesiella	1.0	Stool	#e8cb72
26	Parabacteroides	Eikenella	1.0	Mixed	#cccccc
27	Parabacteroides	Odoribacter	1.0	Stool	#e8cb72
28	Parabacteroides	Oscillibacter	1.0	Stool	#e8cb72
29	Paraprevotella	Eggerthia	1.0	Mixed	#cccccc
30	Paraprevotella	Finegoldia	1.0	Mixed	#cccccc
31	Peptoclostridium	Chlamydia	1.0	Mixed	#cccccc
32	Porphyrobacter	Brochothrix	1.0	Saliva	#cbe486
33	Pseudomonas	Brochothrix	1.0	Mixed	#cccccc
34	Pseudomonas	Porphyrobacter	1.0	Mixed	#cccccc
35	Pseudoramibacter	Cellulomonas	1.0	Mixed	#cccccc
36	Psychrobacter	Brochothrix	1.0	Saliva	#cbe486
37	Psychrobacter	Porphyrobacter	1.0	Saliva	#cbe486
38	Psychrobacter	Pseudomonas	1.0	Mixed	#cccccc
39	Ruminiclostridium	Akkermansia	1.0	Mixed	#cccccc
40	Ruminiclostridium	Alistipes	1.0	Mixed	#cccccc
41	Ruminiclostridium	Barnesiella	1.0	Mixed	#cccccc
42	Ruminiclostridium	Eikenella	1.0	Mixed	#cccccc
43	Ruminiclostridium	Odoribacter	1.0	Mixed	#cccccc
44	Ruminiclostridium	Oscillibacter	1.0	Mixed	#cccccc
45	Ruminiclostridium	Parabacteroides	1.0	Mixed	#cccccc
46	Simonsiella	Pasteurella	1.0	Mixed	#cccccc
47	Slackia	Johnsonella	0.816496580928	Mixed	#cccccc
48	Sutterella	Akkermansia	1.0	Stool	#e8cb72
49	Sutterella	Alistipes	1.0	Stool	#e8cb72
50	Sutterella	Barnesiella	1.0	Stool	#e8cb72
51	Sutterella	Eikenella	1.0	Mixed	#cccccc
52	Sutterella	Odoribacter	1.0	Stool	#e8cb72
53	Sutterella	Oscillibacter	1.0	Stool	#e8cb72
54	Sutterella	Parabacteroides	1.0	Stool	#e8cb72
55	Sutterella	Ruminiclostridium	1.0	Mixed	#cccccc
56	Varibaculum	Eggerthia	1.0	Mixed	#cccccc
57	Varibaculum	Finegoldia	1.0	R_Retroauricular_crease	#acf59a
58	Varibaculum	Paraprevotella	1.0	Mixed	#cccccc
