TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acinetobacter	Anterior_nares	#8000ff	12	6.0	2.0	#34e4d9	#3c68f9	Mixed	#cccccc
Alloiococcus	Anterior_nares	#8000ff	2	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Barnesiella	Stool	#e8cb72	20	16.0	7.0	#ff2f18	#6efebe	Mixed	#cccccc
Bergeyella	R_Retroauricular_crease	#acf59a	1	9.0	6.0	#8efeac	#4df3ce	Mixed	#cccccc
Blautia	Stool	#e8cb72	5	16.0	7.0	#ff2f18	#6efebe	Mixed	#cccccc
Bulleidia	Throat	#ff5c2f	1	5.0	8.0	#17cbe4	#90feab	Mixed	#cccccc
Butyricimonas	Stool	#e8cb72	9	16.0	7.0	#ff2f18	#6efebe	Mixed	#cccccc
Butyrivibrio	Stool	#e8cb72	5	5.0	8.0	#17cbe4	#90feab	Mixed	#cccccc
Capnocytophaga	Supragingival_plaque	#ff8646	16	1.0	0.0	#622ffe	#8000ff	Mixed	#cccccc
Catenibacterium	Stool	#e8cb72	2	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Caulobacter	Anterior_nares	#8000ff	3	10.0	1.0	#acf59a	#5e35fe	Mixed	#cccccc
Chryseobacterium	R_Retroauricular_crease	#acf59a	3	3.0	4.0	#2686f5	#08bee9	Mixed	#cccccc
Collinsella	Stool	#e8cb72	3	12.0	5.0	#e8cb72	#2adddd	Mixed	#cccccc
Corynebacterium	Supragingival_plaque	#ff8646	44	1.0	0.0	#622ffe	#8000ff	Mixed	#cccccc
Curvibacter	Anterior_nares	#8000ff	3	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Dolosigranulum	Anterior_nares	#8000ff	3	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
Elizabethkingia	Anterior_nares	#8000ff	3	10.0	1.0	#acf59a	#5e35fe	Mixed	#cccccc
Empedobacter	Anterior_nares	#8000ff	1	11.0	6.0	#cbe486	#4df3ce	Mixed	#cccccc
Enhydrobacter	R_Retroauricular_crease	#acf59a	3	17.0	10.0	#ff0000	#d4dd80	Mixed	#cccccc
Enterobacter	Anterior_nares	#8000ff	3	14.0	6.0	#ff8646	#4df3ce	Mixed	#cccccc
