TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Acidithiobacillus	Buccal_mucosa	#445cfb	1	5.0	3.0	#01b3ec	#3c68f9	Mixed	#cccccc
Aerococcus	Posterior_fornix	#8efeac	5	15.0	2.0	#feb562	#5247fc	Mixed	#cccccc
Aeromonas	L_Retroauricular_crease	#34e4d9	3	15.0	2.0	#feb562	#5247fc	Mixed	#cccccc
Agrobacterium	R_Retroauricular_crease	#acf59a	11	15.0	2.0	#feb562	#5247fc	Mixed	#cccccc
Akkermansia	Stool	#e8cb72	10	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Alcaligenes	Anterior_nares	#8000ff	1	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Aliihoeflea	R_Retroauricular_crease	#acf59a	3	15.0	2.0	#feb562	#5247fc	Mixed	#cccccc
Alkaliphilus	Anterior_nares	#8000ff	2	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Alloprevotella	Keratinized_gingiva	#17cbe4	34	17.0	0.0	#ff763d	#8000ff	Mixed	#cccccc
Altererythrobacter	L_Retroauricular_crease	#34e4d9	1	19.0	0.0	#ff2914	#8000ff	Mixed	#cccccc
Arcobacter	L_Retroauricular_crease	#34e4d9	2	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Asticcacaulis	R_Retroauricular_crease	#acf59a	1	19.0	0.0	#ff2914	#8000ff	Mixed	#cccccc
Aureimonas	R_Retroauricular_crease	#acf59a	8	12.0	2.0	#b2f396	#5247fc	Mixed	#cccccc
Azohydromonas	Anterior_nares	#8000ff	1	6.0	4.0	#18cde4	#2489f5	Mixed	#cccccc
Azotobacter	R_Retroauricular_crease	#acf59a	1	5.0	3.0	#01b3ec	#3c68f9	Mixed	#cccccc
Bacteroides	Stool	#e8cb72	40	5.0	6.0	#01b3ec	#0ac0e8	Mixed	#cccccc
Barnesiella	Stool	#e8cb72	14	5.0	6.0	#01b3ec	#0ac0e8	Mixed	#cccccc
Bergeyella	R_Retroauricular_crease	#acf59a	7	14.0	7.0	#e4cf74	#22d6e0	Mixed	#cccccc
Bhargavaea	R_Retroauricular_crease	#acf59a	2	17.0	0.0	#ff763d	#8000ff	Mixed	#cccccc
Bilophila	Stool	#e8cb72	1	5.0	3.0	#01b3ec	#3c68f9	Mixed	#cccccc
Blautia	Stool	#e8cb72	12	5.0	6.0	#01b3ec	#0ac0e8	Mixed	#cccccc
Bradyrhizobium	Anterior_nares	#8000ff	13	19.0	0.0	#ff2914	#8000ff	Mixed	#cccccc
Brevundimonas	R_Retroauricular_crease	#acf59a	16	15.0	2.0	#feb562	#5247fc	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	5	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Butyricicoccus	Stool	#e8cb72	3	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Butyrivibrio	Stool	#e8cb72	7	5.0	6.0	#01b3ec	#0ac0e8	Mixed	#cccccc
Caballeronia	R_Retroauricular_crease	#acf59a	1	6.0	4.0	#18cde4	#2489f5	Mixed	#cccccc
Campylobacter	Attached	#622ffe	35	4.0	5.0	#1996f3	#0ea5ef	Mixed	#cccccc
Casaltella	L_Retroauricular_crease	#34e4d9	7	4.0	5.0	#1996f3	#0ea5ef	Mixed	#cccccc
Cellulomonas	Stool	#e8cb72	1	6.0	4.0	#18cde4	#2489f5	Mixed	#cccccc
Centipeda	Subgingival_plaque	#ffac5c	1	18.0	10.0	#ff5029	#66fcc2	Mixed	#cccccc
Chlamydia	Keratinized_gingiva	#17cbe4	6	15.0	2.0	#feb562	#5247fc	Mixed	#cccccc
Chryseobacterium	R_Retroauricular_crease	#acf59a	17	12.0	2.0	#b2f396	#5247fc	Mixed	#cccccc
Citrobacter	Anterior_nares	#8000ff	2	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Conchiformibius	R_Retroauricular_crease	#acf59a	8	19.0	0.0	#ff2914	#8000ff	Mixed	#cccccc
Coprococcus	Stool	#e8cb72	6	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Cryptobacterium	Saliva	#cbe486	2	17.0	0.0	#ff763d	#8000ff	Mixed	#cccccc
Cupriavidus	Mid_vagina	#52f5cb	1	6.0	4.0	#18cde4	#2489f5	Mixed	#cccccc
Curtobacterium	L_Retroauricular_crease	#34e4d9	2	6.0	4.0	#18cde4	#2489f5	Mixed	#cccccc
Curvibacter	Anterior_nares	#8000ff	2	6.0	4.0	#18cde4	#2489f5	Mixed	#cccccc
Dechloromonas	Buccal_mucosa	#445cfb	3	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Defluviitalea	L_Retroauricular_crease	#34e4d9	9	18.0	18.0	#ff5029	#ff8c49	Mixed	#cccccc
Dermacoccus	Anterior_nares	#8000ff	4	15.0	2.0	#feb562	#5247fc	Mixed	#cccccc
Desulfovibrio	Stool	#e8cb72	1	6.0	4.0	#18cde4	#2489f5	Mixed	#cccccc
Devosia	L_Retroauricular_crease	#34e4d9	24	18.0	11.0	#ff5029	#7effb5	Mixed	#cccccc
Dialister	Stool	#e8cb72	22	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Diaphorobacter	Buccal_mucosa	#445cfb	1	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Dietzia	L_Retroauricular_crease	#34e4d9	11	13.0	9.0	#cbe486	#50f4cc	Mixed	#cccccc
Dolosigranulum	Anterior_nares	#8000ff	22	19.0	0.0	#ff2914	#8000ff	Mixed	#cccccc
Dorea	Stool	#e8cb72	8	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
Dyadobacter	R_Retroauricular_crease	#acf59a	2	5.0	1.0	#01b3ec	#6a22fe	Mixed	#cccccc
