TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Aliihoeflea	R_Retroauricular_crease	#acf59a	3	10.0	4.0	#3dead5	#3c68f9	Mixed	#cccccc
Alkaliphilus	Anterior_nares	#8000ff	2	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Altererythrobacter	L_Retroauricular_crease	#34e4d9	1	9.0	6.0	#2adddd	#1996f3	Mixed	#cccccc
Arcobacter	L_Retroauricular_crease	#34e4d9	2	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Asticcacaulis	R_Retroauricular_crease	#acf59a	1	9.0	6.0	#2adddd	#1996f3	Mixed	#cccccc
Azohydromonas	Anterior_nares	#8000ff	1	24.0	3.0	#ff592d	#4e4dfc	Mixed	#cccccc
Azotobacter	R_Retroauricular_crease	#acf59a	1	25.0	1.0	#ff3b1e	#7019ff	Mixed	#cccccc
Bilophila	Stool	#e8cb72	1	25.0	1.0	#ff3b1e	#7019ff	Mixed	#cccccc
Butyricicoccus	Stool	#e8cb72	3	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Caballeronia	R_Retroauricular_crease	#acf59a	1	24.0	3.0	#ff592d	#4e4dfc	Mixed	#cccccc
Cellulomonas	Stool	#e8cb72	1	24.0	3.0	#ff592d	#4e4dfc	Mixed	#cccccc
Centipeda	Subgingival_plaque	#ffac5c	1	23.0	14.0	#ff733b	#6efebe	Mixed	#cccccc
Chlamydia	Keratinized_gingiva	#17cbe4	6	21.0	9.0	#ffa558	#18cde4	Mixed	#cccccc
Citrobacter	Anterior_nares	#8000ff	2	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Conchiformibius	R_Retroauricular_crease	#acf59a	8	5.0	12.0	#218cf4	#4df3ce	Mixed	#cccccc
Cryptobacterium	Saliva	#cbe486	2	12.0	13.0	#62fbc4	#5df9c7	Mixed	#cccccc
Cupriavidus	Mid_vagina	#52f5cb	1	24.0	3.0	#ff592d	#4e4dfc	Mixed	#cccccc
Curtobacterium	L_Retroauricular_crease	#34e4d9	2	6.0	8.0	#10a2f0	#08bee9	Mixed	#cccccc
Curvibacter	Anterior_nares	#8000ff	2	6.0	8.0	#10a2f0	#08bee9	Mixed	#cccccc
Dechloromonas	Buccal_mucosa	#445cfb	3	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Defluviitalea	L_Retroauricular_crease	#34e4d9	9	6.0	19.0	#10a2f0	#c2ea8c	Mixed	#cccccc
Dermacoccus	Anterior_nares	#8000ff	4	8.0	4.0	#17cbe4	#3c68f9	Mixed	#cccccc
Desulfovibrio	Stool	#e8cb72	1	24.0	3.0	#ff592d	#4e4dfc	Mixed	#cccccc
Diaphorobacter	Buccal_mucosa	#445cfb	1	1.0	5.0	#6e1cff	#2c7ef7	Mixed	#cccccc
Dyadobacter	R_Retroauricular_crease	#acf59a	2	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
Enorma	R_Retroauricular_crease	#acf59a	1	19.0	11.0	#e6cd73	#3ae8d6	Mixed	#cccccc
Epilithonimonas	R_Retroauricular_crease	#acf59a	3	10.0	4.0	#3dead5	#3c68f9	Mixed	#cccccc
Ewingella	Anterior_nares	#8000ff	2	10.0	4.0	#3dead5	#3c68f9	Mixed	#cccccc
Fenollaria	Anterior_nares	#8000ff	3	17.0	0.0	#c0eb8d	#8000ff	Mixed	#cccccc
