	source	target	weight	edge_sample	edge_color
0	Actinobacillus	Acinetobacter	0.845154254729	Mixed	#cccccc
1	Brochothrix	Bifidobacterium	1.0	Mixed	#cccccc
2	Clostridium	Alistipes	0.836660026534	Stool	#e8cb72
3	Cryptobacterium	Butyrivibrio	0.816496580928	Mixed	#cccccc
4	Eggerthia	Butyrivibrio	1.0	Mixed	#cccccc
5	Eggerthia	Cryptobacterium	0.816496580928	Mixed	#cccccc
6	Eikenella	Acinetobacter	0.836660026534	Mixed	#cccccc
7	Escherichia	Bifidobacterium	1.0	Mixed	#cccccc
8	Escherichia	Brochothrix	1.0	Mixed	#cccccc
9	Faecalibacterium	Alistipes	1.0	Stool	#e8cb72
10	Faecalibacterium	Clostridium	0.836660026534	Stool	#e8cb72
11	Gallibacterium	Chryseobacterium	1.0	Mixed	#cccccc
12	Gardnerella	Bifidobacterium	1.0	Mixed	#cccccc
13	Gardnerella	Brochothrix	1.0	Mixed	#cccccc
14	Gardnerella	Escherichia	1.0	Mixed	#cccccc
15	Johnsonella	Acinetobacter	0.836660026534	Mixed	#cccccc
16	Johnsonella	Eikenella	1.0	Subgingival_plaque	#ffac5c
17	Lactococcus	Acinetobacter	0.845154254729	Anterior_nares	#8000ff
18	Lactococcus	Actinobacillus	1.0	Mixed	#cccccc
19	Leuconostoc	Bifidobacterium	1.0	Mixed	#cccccc
20	Leuconostoc	Brochothrix	1.0	Mixed	#cccccc
21	Leuconostoc	Escherichia	1.0	Mixed	#cccccc
22	Leuconostoc	Gardnerella	1.0	Mixed	#cccccc
23	Mannheimia	Actinobacillus	0.845154254729	Mixed	#cccccc
24	Mannheimia	Chryseobacterium	0.836660026534	Mixed	#cccccc
25	Mannheimia	Gallibacterium	0.836660026534	Mixed	#cccccc
26	Mannheimia	Lactococcus	0.845154254729	Mixed	#cccccc
27	Megasphaera	Lactobacillus	1.0	Mixed	#cccccc
28	Mitsuokella	Bifidobacterium	1.0	Mixed	#cccccc
29	Mitsuokella	Brochothrix	1.0	Mixed	#cccccc
30	Mitsuokella	Escherichia	1.0	Mixed	#cccccc
31	Mitsuokella	Gardnerella	1.0	Mixed	#cccccc
32	Mitsuokella	Leuconostoc	1.0	Mixed	#cccccc
33	Mobiluncus	Bifidobacterium	1.0	Mixed	#cccccc
34	Mobiluncus	Brochothrix	1.0	Mixed	#cccccc
35	Mobiluncus	Escherichia	1.0	Stool	#e8cb72
36	Mobiluncus	Gardnerella	1.0	Mixed	#cccccc
37	Mobiluncus	Leuconostoc	1.0	Mixed	#cccccc
38	Mobiluncus	Mitsuokella	1.0	Mixed	#cccccc
39	Mogibacterium	Lactobacillus	1.0	Mixed	#cccccc
40	Mogibacterium	Megasphaera	1.0	Mixed	#cccccc
41	Morococcus	Acinetobacter	0.836660026534	Mixed	#cccccc
42	Morococcus	Eikenella	1.0	Mixed	#cccccc
43	Morococcus	Johnsonella	1.0	Mixed	#cccccc
44	Neisseria	Acinetobacter	0.836660026534	Mixed	#cccccc
45	Neisseria	Eikenella	1.0	Mixed	#cccccc
46	Neisseria	Johnsonella	1.0	Mixed	#cccccc
47	Neisseria	Morococcus	1.0	Mixed	#cccccc
48	Odoribacter	Alistipes	1.0	Stool	#e8cb72
49	Odoribacter	Clostridium	0.836660026534	Stool	#e8cb72
50	Odoribacter	Faecalibacterium	1.0	Stool	#e8cb72
51	Olsenella	Bifidobacterium	1.0	Mixed	#cccccc
52	Olsenella	Brochothrix	1.0	Mixed	#cccccc
53	Olsenella	Escherichia	1.0	Mixed	#cccccc
54	Olsenella	Gardnerella	1.0	Mixed	#cccccc
55	Olsenella	Leuconostoc	1.0	Mixed	#cccccc
56	Olsenella	Mitsuokella	1.0	Mixed	#cccccc
57	Olsenella	Mobiluncus	1.0	Mixed	#cccccc
58	Oscillibacter	Hallella	1.0	Mixed	#cccccc
59	Ottowia	Acinetobacter	0.836660026534	Mixed	#cccccc
60	Ottowia	Eikenella	1.0	Mixed	#cccccc
61	Ottowia	Johnsonella	1.0	Mixed	#cccccc
62	Ottowia	Morococcus	1.0	Mixed	#cccccc
63	Ottowia	Neisseria	1.0	Mixed	#cccccc
64	Parabacteroides	Alistipes	1.0	Stool	#e8cb72
65	Parabacteroides	Clostridium	0.836660026534	Stool	#e8cb72
66	Parabacteroides	Faecalibacterium	1.0	Stool	#e8cb72
67	Parabacteroides	Odoribacter	1.0	Stool	#e8cb72
68	Pasteurella	Acinetobacter	0.836660026534	Mixed	#cccccc
69	Pasteurella	Eikenella	1.0	Mixed	#cccccc
70	Pasteurella	Johnsonella	1.0	Mixed	#cccccc
71	Pasteurella	Morococcus	1.0	Mixed	#cccccc
72	Pasteurella	Neisseria	1.0	Mixed	#cccccc
73	Pasteurella	Ottowia	1.0	Mixed	#cccccc
74	Peptoclostridium	Acinetobacter	1.0	Mixed	#cccccc
75	Peptoclostridium	Actinobacillus	0.845154254729	Mixed	#cccccc
76	Peptoclostridium	Eikenella	0.836660026534	Mixed	#cccccc
77	Peptoclostridium	Johnsonella	0.836660026534	Mixed	#cccccc
78	Peptoclostridium	Lactococcus	0.845154254729	Mixed	#cccccc
79	Peptoclostridium	Morococcus	0.836660026534	Mixed	#cccccc
80	Peptoclostridium	Neisseria	0.836660026534	Mixed	#cccccc
81	Peptoclostridium	Ottowia	0.836660026534	Mixed	#cccccc
82	Peptoclostridium	Pasteurella	0.836660026534	Mixed	#cccccc
83	Porphyrobacter	Acinetobacter	0.845154254729	Mixed	#cccccc
84	Porphyrobacter	Actinobacillus	1.0	Mixed	#cccccc
85	Porphyrobacter	Lactococcus	1.0	Mixed	#cccccc
86	Porphyrobacter	Mannheimia	0.845154254729	Mixed	#cccccc
87	Porphyrobacter	Peptoclostridium	0.845154254729	Mixed	#cccccc
88	Pseudomonas	Bifidobacterium	1.0	Mixed	#cccccc
89	Pseudomonas	Brochothrix	1.0	Mixed	#cccccc
90	Pseudomonas	Escherichia	1.0	Mixed	#cccccc
91	Pseudomonas	Gardnerella	1.0	Vaginal_introitus	#ff0000
92	Pseudomonas	Leuconostoc	1.0	Mixed	#cccccc
93	Pseudomonas	Mitsuokella	1.0	Mixed	#cccccc
94	Pseudomonas	Mobiluncus	1.0	Mixed	#cccccc
95	Pseudomonas	Olsenella	1.0	Mixed	#cccccc
96	Psychrobacter	Bifidobacterium	1.0	Mixed	#cccccc
97	Psychrobacter	Brochothrix	1.0	Saliva	#cbe486
98	Psychrobacter	Escherichia	1.0	Mixed	#cccccc
99	Psychrobacter	Gardnerella	1.0	Mixed	#cccccc
100	Psychrobacter	Leuconostoc	1.0	Mixed	#cccccc
101	Psychrobacter	Mitsuokella	1.0	Mixed	#cccccc
102	Psychrobacter	Mobiluncus	1.0	Mixed	#cccccc
103	Psychrobacter	Olsenella	1.0	Mixed	#cccccc
104	Psychrobacter	Pseudomonas	1.0	Mixed	#cccccc
105	Riemerella	Mannheimia	0.836660026534	Mixed	#cccccc
106	Roseburia	Alistipes	1.0	Stool	#e8cb72
107	Roseburia	Clostridium	0.836660026534	Stool	#e8cb72
108	Roseburia	Faecalibacterium	1.0	Stool	#e8cb72
109	Roseburia	Odoribacter	1.0	Stool	#e8cb72
110	Roseburia	Parabacteroides	1.0	Stool	#e8cb72
111	Ruminiclostridium	Alistipes	0.816496580928	Mixed	#cccccc
112	Ruminiclostridium	Faecalibacterium	0.816496580928	Mixed	#cccccc
113	Ruminiclostridium	Odoribacter	0.816496580928	Mixed	#cccccc
114	Ruminiclostridium	Parabacteroides	0.816496580928	Mixed	#cccccc
115	Ruminiclostridium	Roseburia	0.816496580928	Mixed	#cccccc
116	Scardovia	Butyrivibrio	1.0	Mixed	#cccccc
117	Scardovia	Cryptobacterium	0.816496580928	Mixed	#cccccc
118	Scardovia	Eggerthia	1.0	Mixed	#cccccc
119	Serratia	Bifidobacterium	1.0	Mixed	#cccccc
120	Serratia	Brochothrix	1.0	Saliva	#cbe486
121	Serratia	Escherichia	1.0	Mixed	#cccccc
122	Serratia	Gardnerella	1.0	Mixed	#cccccc
123	Serratia	Leuconostoc	1.0	Mixed	#cccccc
124	Serratia	Mitsuokella	1.0	Mixed	#cccccc
125	Serratia	Mobiluncus	1.0	Mixed	#cccccc
126	Serratia	Olsenella	1.0	Mixed	#cccccc
127	Serratia	Pseudomonas	1.0	Mixed	#cccccc
128	Serratia	Psychrobacter	1.0	Saliva	#cbe486
129	Simonsiella	Acinetobacter	0.836660026534	Mixed	#cccccc
130	Simonsiella	Eikenella	1.0	Mixed	#cccccc
131	Simonsiella	Johnsonella	1.0	Mixed	#cccccc
132	Simonsiella	Morococcus	1.0	Mixed	#cccccc
133	Simonsiella	Neisseria	1.0	Keratinized_gingiva	#17cbe4
134	Simonsiella	Ottowia	1.0	Mixed	#cccccc
135	Simonsiella	Pasteurella	1.0	Mixed	#cccccc
136	Simonsiella	Peptoclostridium	0.836660026534	Mixed	#cccccc
137	Slackia	Avibacterium	1.0	Mixed	#cccccc
138	Vibrio	Blautia	1.0	Mixed	#cccccc
139	Xylanimonas	Kytococcus	1.0	Throat	#ff5c2f
