TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color	Gender_type	Gender_color
Actinobacillus	Attached	#622ffe	6	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Brochothrix	Saliva	#cbe486	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Clostridium	Stool	#e8cb72	5	1.0	1.0	#4856fb	#425ffa	Mixed	#cccccc
Cryptobacterium	Saliva	#cbe486	3	2.0	5.0	#10a2f0	#beec8e	Mixed	#cccccc
Eggerthia	Subgingival_plaque	#ffac5c	4	2.0	5.0	#10a2f0	#beec8e	Mixed	#cccccc
Eikenella	Subgingival_plaque	#ffac5c	8	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Escherichia	Stool	#e8cb72	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Faecalibacterium	Stool	#e8cb72	4	1.0	1.0	#4856fb	#425ffa	Mixed	#cccccc
Gallibacterium	Keratinized_gingiva	#17cbe4	4	4.0	0.0	#62fbc4	#8000ff	Mixed	#cccccc
Gardnerella	Vaginal_introitus	#ff0000	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Johnsonella	Subgingival_plaque	#ffac5c	8	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Lactococcus	Anterior_nares	#8000ff	6	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Leuconostoc	L_Retroauricular_crease	#34e4d9	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Mannheimia	Buccal_mucosa_NA	#2686f5	5	4.0	0.0	#62fbc4	#8000ff	Mixed	#cccccc
Megasphaera	Saliva	#cbe486	12	6.0	8.0	#d4dd80	#ff0000	Mixed	#cccccc
Mitsuokella	Subgingival_plaque	#ffac5c	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Mobiluncus	Stool	#e8cb72	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Mogibacterium	Palatine_Tonsils	#70febc	10	6.0	8.0	#d4dd80	#ff0000	Mixed	#cccccc
Morococcus	Palatine_Tonsils	#70febc	8	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Neisseria	Keratinized_gingiva	#17cbe4	12	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Odoribacter	Stool	#e8cb72	4	1.0	1.0	#4856fb	#425ffa	Mixed	#cccccc
Olsenella	Palatine_Tonsils	#70febc	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Oscillibacter	Stool	#e8cb72	2	8.0	6.0	#ff592d	#feb562	Mixed	#cccccc
Ottowia	Supragingival_plaque	#ff8646	8	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Parabacteroides	Stool	#e8cb72	4	1.0	1.0	#4856fb	#425ffa	Mixed	#cccccc
Pasteurella	Buccal_mucosa	#445cfb	8	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Peptoclostridium	L_Retroauricular_crease	#34e4d9	7	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Porphyrobacter	Saliva	#cbe486	6	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Pseudomonas	Vaginal_introitus	#ff0000	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Psychrobacter	Saliva	#cbe486	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Riemerella	Buccal_mucosa	#445cfb	4	4.0	0.0	#62fbc4	#8000ff	Mixed	#cccccc
Roseburia	Stool	#e8cb72	4	1.0	1.0	#4856fb	#425ffa	Mixed	#cccccc
Ruminiclostridium	L_Retroauricular_crease	#34e4d9	3	1.0	1.0	#4856fb	#425ffa	Mixed	#cccccc
Scardovia	Buccal_mucosa	#445cfb	4	2.0	5.0	#10a2f0	#beec8e	Mixed	#cccccc
Serratia	Saliva	#cbe486	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Simonsiella	Keratinized_gingiva	#17cbe4	8	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Slackia	Palatine_Tonsils	#70febc	1	3.0	2.0	#2adddd	#01b3ec	Mixed	#cccccc
Vibrio	Anterior_nares	#8000ff	1	0.0	4.0	#8000ff	#7effb5	Mixed	#cccccc
Xylanimonas	Throat	#ff5c2f	10	9.0	7.0	#ff0000	#ff6232	Mixed	#cccccc
Acinetobacter	Anterior_nares	#8000ff	7	7.0	0.0	#ffa558	#8000ff	Mixed	#cccccc
Bifidobacterium	Posterior_fornix	#8efeac	2	5.0	3.0	#9bfba5	#3febd5	Mixed	#cccccc
Alistipes	Stool	#e8cb72	4	1.0	1.0	#4856fb	#425ffa	Mixed	#cccccc
Butyrivibrio	Stool	#e8cb72	4	2.0	5.0	#10a2f0	#beec8e	Mixed	#cccccc
Chryseobacterium	R_Retroauricular_crease	#acf59a	4	4.0	0.0	#62fbc4	#8000ff	Mixed	#cccccc
Lactobacillus	Mid_vagina	#52f5cb	10	6.0	8.0	#d4dd80	#ff0000	Mixed	#cccccc
Hallella	Subgingival_plaque	#ffac5c	2	8.0	6.0	#ff592d	#feb562	Mixed	#cccccc
Avibacterium	Attached	#622ffe	1	3.0	2.0	#2adddd	#01b3ec	Mixed	#cccccc
Blautia	Stool	#e8cb72	1	0.0	4.0	#8000ff	#7effb5	Mixed	#cccccc
Kytococcus	Throat	#ff5c2f	10	9.0	7.0	#ff0000	#ff6232	Mixed	#cccccc
